date,target_federal_funds_rate_upper_limit
"March 15, 2020",0.25%
"March 3, 2020",1.25%
"Jan. 29, 2020",1.75%
"Dec. 11, 2019",1.75%
"Oct. 30, 2019",1.75%
"Sept. 18, 2019",2.00%
"July 31, 2019",2.25%
"June 19, 2019",2.50%
"May 1, 2019",2.50%
"March 20, 2019",2.50%
"Jan. 30, 2019",2.50%
"Dec. 19, 2018",2.50%
"Nov. 8, 2018",2.25%
"Sept. 26, 2018",2.25%
"June 13, 2018",2.00%
"May 2, 2018",1.75%
"March 21, 2018",1.75%
"Jan. 31, 2018",1.50%
"Dec. 13, 2017",1.50%
"Sept. 20, 2017",1.25%
"July 26, 2017",1.25%
"June 14, 2017",1.25%
"March 15, 2017",1.00%
"Feb. 1, 2017",0.75%
"Dec. 14, 2016",0.75%
"Nov. 2, 2016",0.50%
"Sept. 21, 2016",0.50%
"July 27, 2016",0.50%
"June 15, 2016",0.50%
"April 27, 2016",0.50%
"March 16, 2016",0.50%
"Jan. 27, 2016",0.50%
"Dec. 16, 2015",0.50%
"Oct. 28, 2015",0.25%
"Sept. 17, 2015",0.25%
"July 29, 2015",0.25%
"June 17, 2015",0.25%
"April 29, 2015",0.25%
"March 18, 2015",0.25%
"Jan. 28, 2015",0.25%
"Dec. 17, 2014",0.25%
"Oct. 29, 2014",0.25%
"Sept. 17, 2014",0.25%
"July 30, 2014",0.25%
"June 18, 2014",0.25%
"April 30, 2014",0.25%
"March 19, 2014",0.25%
"Jan. 29, 2014",0.25%
"Dec. 18, 2013",0.25%
"Oct. 30, 2013",0.25%
"Sept. 18, 2013",0.25%
"July 31, 2013",0.25%
"June 19, 2013",0.25%
"May 1, 2013",0.25%
"March 20, 2013",0.25%
"Jan. 29, 2013",0.25%
"Dec. 12, 2012",0.25%
"Oct. 24, 2012",0.25%
"Sept. 13, 2012",0.25%
"Aug. 1, 2012",0.25%
"June 20, 2012",0.25%
"April 25, 2012",0.25%
"March 13, 2012",0.25%
"Jan. 25, 2012",0.25%
"Dec. 13, 2011",0.25%
"Nov. 2, 2011",0.25%
"Sept. 21, 2011",0.25%
"Aug. 9, 2011",0.25%
"June 22, 2011",0.25%
"April 27, 2011",0.25%
"March 15, 2011",0.25%
"Jan. 26, 2011",0.25%
"Dec. 14, 2010",0.25%
"Nov. 3, 2010",0.25%
"Sept. 21, 2010",0.25%
"Aug. 10, 2010",0.25%
"June 23, 2010",0.25%
"April 28, 2010",0.25%
"March 16, 2010",0.25%
"Jan. 27, 2010",0.25%
"Dec. 16, 2009",0.25%
"Nov. 4, 2009",0.25%
"Sept. 23, 2009",0.25%
"Aug. 12, 2009",0.25%
"June 24, 2009",0.25%
"April 29, 2009",0.25%
"March 18, 2009",0.25%
"Jan. 28, 2009",0.25%
"Dec. 16, 2008",0.25%
"Oct. 29, 2008",1.00%
"Oct. 8, 2008",1.50%
"Sept. 16, 2008",2.00%
"Aug. 5, 2008",2.00%
"June 25, 2008",2.00%
"April 30, 2008",2.00%
"March 18, 2008",2.25%
"Jan. 30, 2008",3.00%
"Jan. 22, 2008",3.50%
"Dec. 11, 2007",4.25%
"Oct. 31, 2007",4.50%
"Sept. 18, 2007",4.75%
"Aug. 7, 2007",5.25%
"June 28, 2007",5.25%
"May 9, 2007",5.25%
"March 21, 2007",5.25%
"Jan. 31, 2007",5.25%
"Dec. 12, 2006",5.25%
"Oct. 25, 2006",5.25%
"Sept. 20, 2006",5.25%
"Aug. 8, 2006",5.25%
"June 29, 2006",5.25%
"May 10, 2006",5.00%
"March 28, 2006",4.75%
"Jan. 31, 2006",4.50%
"Dec. 13, 2005",4.25%
"Nov. 1, 2005",4.00%
"Sept. 20, 2005",3.75%
"Aug. 9, 2005",3.50%
"June 30, 2005",3.25%
"May 3, 2005",3.00%
"March 22, 2005",2.75%
"Feb. 2, 2005",2.50%
"Dec. 14, 2004",2.25%
"Nov. 10, 2004",2.00%
"Sept. 21, 2004",1.75%
"Aug. 10, 2004",1.50%
"June 30, 2004",1.25%
"May 4, 2004",1.00%
"March 16, 2004",1.00%
"Jan. 28, 2004",1.00%
"Dec. 9, 2003",1.00%
"Oct. 28, 2003",1.00%
"Sept. 16, 2003",1.00%
"Aug. 12, 2003",1.00%
"June 25, 2003",1.00%
"May 6, 2003",1.25%
"March 18, 2003",1.25%
"Jan. 29, 2003",1.25%
"Dec. 10, 2002",1.25%
"Nov. 6, 2002",1.25%
"Sept. 24, 2002",1.75%
"Aug. 13, 2002",1.75%
"June 26, 2002",1.75%
"May 7, 2002",1.75%
"March 19, 2002",1.75%
"Jan. 30, 2002",1.75%
"Dec. 11, 2001",1.75%
"Nov. 6, 2001",2.00%
"Oct. 2, 2001",2.50%
"Sept. 17, 2001",3.00%
"Aug. 21, 2001",3.50%
"June 27, 2001",3.75%
"May 15, 2001",4.00%
"April 18, 2001",4.50%
"March 20, 2001",5.00%
"Jan. 31, 2001",5.50%
"Jan. 3, 2001",6.00%
"Dec. 19, 2000",6.50%
"Nov. 15, 2000",6.50%
"Oct. 3, 2000",6.50%
"Aug. 22, 2000",6.50%
"June 28, 2000",6.50%
"May 16, 2000",6.50%
"March 21, 2000",6.00%
"Feb. 2, 2000",5.75%
"Dec. 21, 1999",5.50%
"Nov. 16, 1999",5.50%
"Oct. 5, 1999",5.25%
"Aug. 24, 1999",5.25%
"June 30, 1999",5.00%
"May 18, 1999",4.75%
"March 30, 1999",4.75%
"Feb. 2, 1999",4.75%
"Dec. 22, 1998",4.75%
"Nov. 17, 1998",4.75%
"Oct. 15, 1998",5.00%
"Sept. 29, 1998",5.25%
"Aug. 18, 1998",5.50%
"June 30, 1998",5.50%
"May 19, 1998",5.50%
"March 31, 1998",5.50%
"Feb. 3, 1998",5.50%
"Dec. 16, 1997",5.50%
"Nov. 12, 1997",5.50%
"Sept. 30, 1997",5.50%
"Aug. 19, 1997",5.50%
"July 1, 1997",5.50%
"May 20, 1997",5.50%
"March 25, 1997",5.50%
"Feb. 4, 1997",5.25%
"Dec. 17, 1996",5.25%
"Nov. 13, 1996",5.25%
"Sept. 24, 1996",5.25%
"Aug. 20, 1996",5.25%
"July 2, 1996",5.25%
"May 21, 1996",5.25%
"March 26, 1996",5.25%
"Jan. 31, 1996",5.25%
"Dec. 19, 1995",5.50%
"Nov. 15, 1995",5.75%
"Sept. 26, 1995",5.75%
"Aug. 22, 1995",5.75%
"July 6, 1995",5.75%
"May 23, 1995",6.00%
"March 28, 1995",6.00%
"Feb. 1, 1995",6.00%
"Dec. 20, 1994",5.50%
"Nov. 15, 1994",5.50%
"Sept. 27, 1994",4.75%
"Aug. 16, 1994",4.75%
"July 6, 1994",4.25%
"May 17, 1994",4.25%
"April 18, 1994",3.75%
"March 22, 1994",3.50%
"Feb. 4, 1994",3.25%
