date,us_crude_oil_production
"April 30, 1946",140.20M
"March 31, 1946",136.84M
"Feb. 28, 1946",132.13M
"Jan. 31, 1946",143.37M
"Dec. 31, 1945",138.63M
"Nov. 30, 1945",135.51M
"Oct. 31, 1945",132.80M
"Sept. 30, 1945",132.69M
"Aug. 31, 1945",151.20M
"July 31, 1945",151.80M
"June 30, 1945",145.78M
"May 31, 1945",151.18M
"April 30, 1945",144.22M
"March 31, 1945",148.94M
"Feb. 28, 1945",133.46M
"Jan. 31, 1945",147.45M
"Dec. 31, 1944",145.32M
"Nov. 30, 1944",142.46M
"Oct. 31, 1944",146.91M
"Sept. 30, 1944",142.98M
"Aug. 31, 1944",145.41M
"July 31, 1944",141.44M
"June 30, 1944",137.26M
"May 31, 1944",141.19M
"April 30, 1944",133.59M
"March 31, 1944",136.81M
"Feb. 29, 1944",128.84M
"Jan. 31, 1944",135.68M
"Dec. 31, 1943",135.29M
"Nov. 30, 1943",133.82M
"Oct. 31, 1943",136.84M
"Sept. 30, 1943",130.56M
"Aug. 31, 1943",130.80M
"July 31, 1943",127.63M
"June 30, 1943",120.11M
"May 31, 1943",123.96M
"April 30, 1943",119.10M
"March 31, 1943",121.65M
"Feb. 28, 1943",108.49M
"Jan. 31, 1943",117.37M
"Dec. 31, 1942",120.52M
"Nov. 30, 1942",116.10M
"Oct. 31, 1942",120.31M
"Sept. 30, 1942",115.80M
"Aug. 31, 1942",120.43M
"July 31, 1942",111.78M
"June 30, 1942",108.60M
"May 31, 1942",110.19M
"April 30, 1942",105.05M
"March 31, 1942",114.47M
"Feb. 28, 1942",113.96M
"Jan. 31, 1942",128.26M
"Dec. 31, 1941",128.29M
"Nov. 30, 1941",123.36M
"Oct. 31, 1941",126.14M
"Sept. 30, 1941",119.45M
"Aug. 31, 1941",121.35M
"July 31, 1941",118.25M
"June 30, 1941",115.03M
"May 31, 1941",116.98M
"April 30, 1941",111.08M
"March 31, 1941",112.82M
"Feb. 28, 1941",100.79M
"Jan. 31, 1941",110.65M
"Dec. 31, 1940",135.15M
"Nov. 30, 1940",133.65M
"Oct. 31, 1940",136.50M
"Sept. 30, 1940",130.41M
"Aug. 31, 1940",130.63M
"July 31, 1940",127.49M
"June 30, 1940",119.30M
"May 31, 1940",123.85M
"April 30, 1940",119.00M
"March 31, 1940",121.56M
"Feb. 29, 1940",108.40M
"Jan. 31, 1940",117.23M
"Dec. 31, 1939",114.81M
"Nov. 30, 1939",111.89M
"Oct. 31, 1939",114.20M
"Sept. 30, 1939",108.17M
"Aug. 31, 1939",80.86M
"July 31, 1939",110.94M
"June 30, 1939",104.61M
"May 31, 1939",110.54M
"April 30, 1939",105.51M
"March 31, 1939",106.77M
"Feb. 28, 1939",93.48M
"Jan. 31, 1939",102.49M
"Dec. 31, 1938",102.29M
"Nov. 30, 1938",98.57M
"Oct. 31, 1938",101.83M
"Sept. 30, 1938",98.66M
"Aug. 31, 1938",106.16M
"July 31, 1938",102.90M
"June 30, 1938",94.28M
"May 31, 1938",98.67M
"April 30, 1938",102.70M
"March 31, 1938",106.52M
"Feb. 28, 1938",94.66M
"Jan. 31, 1938",106.01M
"Dec. 31, 1937",106.58M
"Nov. 30, 1937",104.21M
"Oct. 31, 1937",110.91M
"Sept. 30, 1937",109.98M
"Aug. 31, 1937",115.09M
"July 31, 1937",110.72M
"June 30, 1937",105.81M
"May 31, 1937",110.91M
"April 30, 1937",104.98M
"March 31, 1937",106.72M
"Feb. 28, 1937",93.17M
"Jan. 31, 1937",98.57M
"Dec. 31, 1936",97.65M
"Nov. 30, 1936",91.02M
"Oct. 31, 1936",95.80M
"Sept. 30, 1936",90.97M
"Aug. 31, 1936",95.09M
"July 31, 1936",92.08M
"June 30, 1936",90.18M
"May 31, 1936",93.74M
"April 30, 1936",90.48M
"March 31, 1936",90.57M
"Feb. 29, 1936",82.12M
"Jan. 31, 1936",88.82M
"Dec. 31, 1935",88.71M
"Nov. 30, 1935",86.48M
"Oct. 31, 1935",88.16M
"Sept. 30, 1935",84.11M
"Aug. 31, 1935",84.82M
"July 31, 1935",85.48M
"June 30, 1935",82.34M
"May 31, 1935",82.45M
"April 30, 1935",78.43M
"March 31, 1935",81.49M
"Feb. 28, 1935",72.76M
"Jan. 31, 1935",78.72M
"Dec. 31, 1934",74.80M
"Nov. 30, 1934",72.40M
"Oct. 31, 1934",76.59M
"Sept. 30, 1934",75.76M
"Aug. 31, 1934",79.10M
"July 31, 1934",81.34M
"June 30, 1934",79.64M
"May 31, 1934",79.97M
"April 30, 1934",75.64M
"March 31, 1934",75.43M
"Feb. 28, 1934",65.38M
"Jan. 31, 1934",72.02M
"Dec. 31, 1933",72.16M
"Nov. 30, 1933",69.97M
"Oct. 31, 1933",76.08M
"Sept. 30, 1933",78.32M
"Aug. 31, 1933",85.48M
"July 31, 1933",85.32M
"June 30, 1933",84.39M
"May 31, 1933",86.64M
"April 30, 1933",65.71M
"March 31, 1933",75.18M
"Feb. 28, 1933",61.25M
"Jan. 31, 1933",65.16M
"Dec. 31, 1932",58.30M
"Nov. 30, 1932",63.63M
"Oct. 31, 1932",65.60M
"Sept. 30, 1932",65.52M
"Aug. 31, 1932",66.57M
"July 31, 1932",66.66M
"June 30, 1932",65.14M
"May 31, 1932",68.85M
"April 30, 1932",67.92M
"March 31, 1932",67.46M
"Feb. 29, 1932",62.51M
"Jan. 31, 1932",67.01M
"Dec. 31, 1931",73.33M
"Nov. 30, 1931",73.46M
"Oct. 31, 1931",73.30M
"Sept. 30, 1931",64.38M
"Aug. 31, 1931",68.01M
"July 31, 1931",78.21M
"June 30, 1931",75.01M
"May 31, 1931",76.82M
"April 30, 1931",72.86M
"March 31, 1931",69.43M
"Feb. 28, 1931",60.54M
"Jan. 31, 1931",65.74M
"Dec. 31, 1930",66.97M
"Nov. 30, 1930",67.96M
"Oct. 31, 1930",72.89M
"Sept. 30, 1930",71.22M
"Aug. 31, 1930",74.83M
"July 31, 1930",76.92M
"June 30, 1930",77.06M
"May 31, 1930",80.53M
"April 30, 1930",77.48M
"March 31, 1930",78.23M
"Feb. 28, 1930",74.29M
"Jan. 31, 1930",79.63M
"Dec. 31, 1929",80.92M
"Nov. 30, 1929",78.76M
"Oct. 31, 1929",88.43M
"Sept. 30, 1929",87.45M
"Aug. 31, 1929",92.16M
"July 31, 1929",91.31M
"June 30, 1929",83.41M
"May 31, 1929",84.50M
"April 30, 1929",80.41M
"March 31, 1929",82.46M
"Feb. 28, 1929",75.46M
"Jan. 31, 1929",82.05M
"Dec. 31, 1928",79.49M
"Nov. 30, 1928",76.12M
"Oct. 31, 1928",79.75M
"Sept. 30, 1928",76.48M
"Aug. 31, 1928",77.81M
"July 31, 1928",75.58M
"June 30, 1928",72.68M
"May 31, 1928",75.28M
"April 30, 1928",72.39M
"March 31, 1928",74.53M
"Feb. 29, 1928",68.56M
"Jan. 31, 1928",72.79M
"Dec. 31, 1927",74.95M
"Nov. 30, 1927",74.49M
"Oct. 31, 1927",77.53M
"Sept. 30, 1927",75.91M
"Aug. 31, 1927",78.79M
"July 31, 1927",78.78M
"June 30, 1927",75.30M
"May 31, 1927",76.84M
"April 30, 1927",73.13M
"March 31, 1927",75.51M
"Feb. 28, 1927",68.12M
"Jan. 31, 1927",71.76M
"Dec. 31, 1926",72.62M
"Nov. 30, 1926",69.89M
"Oct. 31, 1926",69.66M
"Sept. 30, 1926",65.78M
"Aug. 31, 1926",67.01M
"July 31, 1926",65.17M
"June 30, 1926",61.79M
"May 31, 1926",62.82M
"April 30, 1926",60.37M
"March 31, 1926",60.88M
"Feb. 28, 1926",54.89M
"Jan. 31, 1926",59.98M
"Dec. 31, 1925",49.62M
"Nov. 30, 1925",49.92M
"Oct. 31, 1925",51.77M
"Sept. 30, 1925",51.56M
"Aug. 31, 1925",52.20M
"July 31, 1925",52.14M
"June 30, 1925",51.92M
"May 31, 1925",53.37M
"April 30, 1925",51.91M
"March 31, 1925",53.60M
"Feb. 28, 1925",48.57M
"Jan. 31, 1925",53.80M
"Dec. 31, 1924",57.43M
"Nov. 30, 1924",56.78M
"Oct. 31, 1924",60.47M
"Sept. 30, 1924",60.38M
"Aug. 31, 1924",62.40M
"July 31, 1924",61.93M
"June 30, 1924",59.58M
"May 31, 1924",61.83M
"April 30, 1924",59.83M
"March 31, 1924",60.14M
"Feb. 29, 1924",55.89M
"Jan. 31, 1924",57.27M
"Dec. 31, 1923",59.55M
"Nov. 30, 1923",65.39M
"Oct. 31, 1923",67.51M
"Sept. 30, 1923",65.31M
"Aug. 31, 1923",66.42M
"July 31, 1923",65.92M
"June 30, 1923",62.84M
"May 31, 1923",62.38M
"April 30, 1923",59.01M
"March 31, 1923",56.97M
"Feb. 28, 1923",48.59M
"Jan. 31, 1923",52.53M
"Dec. 31, 1922",50.64M
"Nov. 30, 1922",48.03M
"Oct. 31, 1922",48.41M
"Sept. 30, 1922",45.80M
"Aug. 31, 1922",47.06M
"July 31, 1922",47.13M
"June 30, 1922",46.09M
"May 31, 1922",47.00M
"April 30, 1922",45.17M
"March 31, 1922",47.19M
"Feb. 28, 1922",41.31M
"Jan. 31, 1922",43.70M
"Dec. 31, 1921",42.17M
"Nov. 30, 1921",38.11M
"Oct. 31, 1921",35.83M
"Sept. 30, 1921",36.76M
"Aug. 31, 1921",41.11M
"July 31, 1921",40.46M
"June 30, 1921",40.55M
"May 31, 1921",42.19M
"April 30, 1921",40.23M
"March 31, 1921",41.10M
"Feb. 28, 1921",35.52M
"Jan. 31, 1921",38.14M
"Dec. 31, 1920",38.96M
"Nov. 30, 1920",38.61M
"Oct. 31, 1920",39.58M
"Sept. 30, 1920",37.52M
"Aug. 31, 1920",38.91M
"July 31, 1920",37.75M
"June 30, 1920",36.66M
"May 31, 1920",36.62M
"April 30, 1920",34.94M
"March 31, 1920",36.17M
"Feb. 29, 1920",33.19M
"Jan. 31, 1920",34.01M
