date,us_crude_oil_production
"May 31, 2014",265.90M
"April 30, 2014",257.03M
"March 31, 2014",255.56M
"Feb. 28, 2014",226.45M
"Jan. 31, 2014",247.93M
"Dec. 31, 2013",244.07M
"Nov. 30, 2013",236.92M
"Oct. 31, 2013",238.77M
"Sept. 30, 2013",231.82M
"Aug. 31, 2013",232.58M
"July 31, 2013",231.06M
"June 30, 2013",217.91M
"May 31, 2013",226.33M
"April 30, 2013",221.26M
"March 31, 2013",221.99M
"Feb. 28, 2013",198.66M
"Jan. 31, 2013",219.41M
"Dec. 31, 2012",219.44M
"Nov. 30, 2012",210.53M
"Oct. 31, 2012",214.88M
"Sept. 30, 2012",196.68M
"Aug. 31, 2012",194.90M
"July 31, 2012",198.96M
"June 30, 2012",187.78M
"May 31, 2012",195.34M
"April 30, 2012",187.34M
"March 31, 2012",192.93M
"Feb. 29, 2012",180.97M
"Jan. 31, 2012",190.36M
"Dec. 31, 2011",185.71M
"Nov. 30, 2011",179.10M
"Oct. 31, 2011",181.49M
"Sept. 30, 2011",166.85M
"Aug. 31, 2011",174.68M
"July 31, 2011",168.00M
"June 30, 2011",167.07M
"May 31, 2011",173.75M
"April 30, 2011",166.35M
"March 31, 2011",173.63M
"Feb. 28, 2011",150.92M
"Jan. 31, 2011",170.06M
"Dec. 31, 2010",173.53M
"Nov. 30, 2010",166.95M
"Oct. 31, 2010",174.18M
"Sept. 30, 2010",168.24M
"Aug. 31, 2010",168.62M
"July 31, 2010",164.20M
"June 30, 2010",161.37M
"May 31, 2010",167.05M
"April 30, 2010",161.46M
"March 31, 2010",170.59M
"Feb. 28, 2010",155.27M
"Jan. 31, 2010",167.13M
"Dec. 31, 2009",169.03M
"Nov. 30, 2009",161.60M
"Oct. 31, 2009",171.04M
"Sept. 30, 2009",166.85M
"Aug. 31, 2009",166.58M
"July 31, 2009",167.40M
"June 30, 2009",158.22M
"May 31, 2009",166.90M
"April 30, 2009",158.58M
"March 31, 2009",161.74M
"Feb. 28, 2009",146.87M
"Jan. 31, 2009",159.42M
"Dec. 31, 2008",158.50M
"Nov. 30, 2008",152.61M
"Oct. 31, 2008",146.93M
"Sept. 30, 2008",119.41M
"Aug. 31, 2008",155.26M
"July 31, 2008",160.54M
"June 30, 2008",154.10M
"May 31, 2008",159.56M
"April 30, 2008",154.70M
"March 31, 2008",160.98M
"Feb. 29, 2008",149.29M
"Jan. 31, 2008",158.54M
"Dec. 31, 2007",158.39M
"Nov. 30, 2007",151.09M
"Oct. 31, 2007",156.68M
"Sept. 30, 2007",147.06M
"Aug. 31, 2007",154.53M
"July 31, 2007",156.14M
"June 30, 2007",152.18M
"May 31, 2007",161.35M
"April 30, 2007",155.53M
"March 31, 2007",158.70M
"Feb. 28, 2007",143.31M
"Jan. 31, 2007",158.25M
"Dec. 31, 2006",160.78M
"Nov. 30, 2006",151.95M
"Oct. 31, 2006",158.37M
"Sept. 30, 2006",150.91M
"Aug. 31, 2006",156.26M
"July 31, 2006",157.95M
"June 30, 2006",154.91M
"May 31, 2006",159.67M
"April 30, 2006",152.49M
"March 31, 2006",155.86M
"Feb. 28, 2006",140.94M
"Jan. 31, 2006",156.51M
"Dec. 31, 2005",154.63M
"Nov. 30, 2005",145.71M
"Oct. 31, 2005",141.20M
"Sept. 30, 2005",126.42M
"Aug. 31, 2005",161.15M
"July 31, 2005",162.85M
"June 30, 2005",163.26M
"May 31, 2005",173.49M
"April 30, 2005",166.88M
"March 31, 2005",173.63M
"Feb. 28, 2005",154.04M
"Jan. 31, 2005",168.83M
"Dec. 31, 2004",170.82M
"Nov. 30, 2004",162.70M
"Oct. 31, 2004",160.27M
"Sept. 30, 2004",152.44M
"Aug. 31, 2004",165.07M
"July 31, 2004",170.01M
