date,us_gdp
"March 31, 1992",6.363T
"Dec. 31, 1991",6.265T
"Sept. 30, 1991",6.206T
"June 30, 1991",6.127T
"March 31, 1991",6.035T
"Dec. 31, 1990",6.005T
"Sept. 30, 1990",6.015T
"June 30, 1990",5.960T
"March 31, 1990",5.873T
"Dec. 31, 1989",5.747T
"Sept. 30, 1989",5.695T
"June 30, 1989",5.612T
"March 31, 1989",5.511T
"Dec. 31, 1988",5.400T
"Sept. 30, 1988",5.283T
"June 30, 1988",5.190T
"March 31, 1988",5.073T
"Dec. 31, 1987",5.008T
"Sept. 30, 1987",4.885T
"June 30, 1987",4.806T
"March 31, 1987",4.722T
"Dec. 31, 1986",4.658T
"Sept. 30, 1986",4.608T
"June 30, 1986",4.545T
"March 31, 1986",4.508T
"Dec. 31, 1985",4.444T
"Sept. 30, 1985",4.387T
"June 30, 1985",4.295T
"March 31, 1985",4.230T
"Dec. 31, 1984",4.149T
"Sept. 30, 1984",4.084T
"June 30, 1984",4.010T
"March 31, 1984",3.908T
"Dec. 31, 1983",3.795T
"Sept. 30, 1983",3.689T
"June 30, 1983",3.579T
"March 31, 1983",3.473T
"Dec. 31, 1982",3.403T
"Sept. 30, 1982",3.366T
"June 30, 1982",3.332T
"March 31, 1982",3.274T
"Dec. 31, 1981",3.281T
"Sept. 30, 1981",3.261T
"June 30, 1981",3.163T
"March 31, 1981",3.124T
"Dec. 31, 1980",2.986T
"Sept. 30, 1980",2.856T
"June 30, 1980",2.797T
"March 31, 1980",2.790T
"Dec. 31, 1979",2.724T
"Sept. 30, 1979",2.668T
"June 30, 1979",2.591T
"March 31, 1979",2.527T
"Dec. 31, 1978",2.477T
"Sept. 30, 1978",2.395T
"June 30, 1978",2.332T
"March 31, 1978",2.203T
"Dec. 31, 1977",2.164T
"Sept. 30, 1977",2.118T
"June 30, 1977",2.056T
"March 31, 1977",1.989T
"Dec. 31, 1976",1.934T
"Sept. 30, 1976",1.887T
"June 30, 1976",1.852T
"March 31, 1976",1.820T
"Dec. 31, 1975",1.762T
"Sept. 30, 1975",1.710T
"June 30, 1975",1.652T
"March 31, 1975",1.616T
"Dec. 31, 1974",1.600T
"Sept. 30, 1974",1.560T
"June 30, 1974",1.530T
"March 31, 1974",1.491T
"Dec. 31, 1973",1.476T
"Sept. 30, 1973",1.434T
"June 30, 1973",1.414T
"March 31, 1973",1.377T
"Dec. 31, 1972",1.329T
"Sept. 30, 1972",1.291T
"June 30, 1972",1.266T
"March 31, 1972",1.231T
"Dec. 31, 1971",1.190T
"Sept. 30, 1971",1.178T
