date,market_cap
"March 19, 2020",72.55B
"March 18, 2020",68.77B
"March 17, 2020",80.41B
"March 16, 2020",78.76B
"March 13, 2020",91.29B
"March 12, 2020",88.78B
"March 11, 2020",93.12B
"March 10, 2020",103.39B
"March 9, 2020",99.92B
"March 6, 2020",109.55B
"March 5, 2020",109.52B
"March 4, 2020",120.43B
"March 3, 2020",114.79B
"March 2, 2020",116.01B
"Feb. 28, 2020",113.00B
"Feb. 27, 2020",114.38B
"Feb. 26, 2020",119.74B
"Feb. 25, 2020",120.11B
"Feb. 24, 2020",126.84B
"Feb. 21, 2020",131.11B
"Feb. 20, 2020",129.71B
"Feb. 19, 2020",130.38B
"Feb. 18, 2020",130.90B
"Feb. 14, 2020",132.79B
"Feb. 13, 2020",132.44B
"Feb. 12, 2020",134.28B
"Feb. 11, 2020",134.34B
"Feb. 10, 2020",135.46B
"Feb. 7, 2020",135.71B
"Feb. 6, 2020",135.16B
"Feb. 5, 2020",134.67B
"Feb. 4, 2020",132.39B
"Feb. 3, 2020",129.75B
"Jan. 31, 2020",129.97B
"Jan. 30, 2020",133.11B
"Jan. 29, 2020",132.09B
"Jan. 28, 2020",132.13B
"Jan. 27, 2020",130.55B
"Jan. 24, 2020",132.41B
"Jan. 23, 2020",132.94B
"Jan. 22, 2020",132.93B
"Jan. 21, 2020",133.52B
"Jan. 17, 2020",133.46B
"Jan. 16, 2020",132.72B
"Jan. 15, 2020",131.35B
"Jan. 14, 2020",130.99B
"Jan. 13, 2020",131.43B
"Jan. 10, 2020",131.26B
"Jan. 9, 2020",132.81B
"Jan. 8, 2020",132.61B
"Jan. 7, 2020",132.41B
"Jan. 6, 2020",132.84B
"Jan. 3, 2020",132.55B
"Jan. 2, 2020",132.37B
"Dec. 31, 2019",129.45B
"Dec. 30, 2019",129.39B
"Dec. 27, 2019",129.73B
"Dec. 26, 2019",130.10B
"Dec. 24, 2019",129.12B
"Dec. 23, 2019",129.33B
"Dec. 20, 2019",129.05B
"Dec. 19, 2019",128.38B
"Dec. 18, 2019",127.51B
"Dec. 17, 2019",128.30B
"Dec. 16, 2019",129.02B
"Dec. 13, 2019",128.69B
"Dec. 12, 2019",128.98B
"Dec. 11, 2019",127.13B
"Dec. 10, 2019",125.49B
"Dec. 9, 2019",126.23B
"Dec. 6, 2019",126.89B
"Dec. 5, 2019",125.40B
"Dec. 4, 2019",124.76B
"Dec. 3, 2019",124.08B
"Dec. 2, 2019",125.17B
"Nov. 29, 2019",128.06B
"Nov. 27, 2019",128.47B
"Nov. 26, 2019",127.87B
"Nov. 25, 2019",127.35B
"Nov. 22, 2019",127.50B
"Nov. 21, 2019",127.16B
"Nov. 20, 2019",126.60B
"Nov. 19, 2019",128.08B
"Nov. 18, 2019",128.72B
"Nov. 15, 2019",128.94B
"Nov. 14, 2019",127.86B
"Nov. 13, 2019",128.03B
"Nov. 12, 2019",128.10B
"Nov. 11, 2019",127.95B
"Nov. 8, 2019",128.52B
"Nov. 7, 2019",128.39B
"Nov. 6, 2019",128.03B
"Nov. 5, 2019",127.63B
"Nov. 4, 2019",127.34B
"Nov. 1, 2019",126.62B
"Oct. 31, 2019",123.95B
"Oct. 30, 2019",124.17B
"Oct. 29, 2019",122.58B
"Oct. 28, 2019",123.48B
"Oct. 25, 2019",123.41B
"Oct. 24, 2019",123.83B
"Oct. 23, 2019",120.78B
"Oct. 22, 2019",122.07B
"Oct. 21, 2019",119.43B
"Oct. 18, 2019",118.10B
"Oct. 17, 2019",119.28B
"Oct. 16, 2019",118.02B
"Oct. 15, 2019",117.53B
"Oct. 14, 2019",117.34B
"Oct. 11, 2019",117.53B
"Oct. 10, 2019",115.61B
"Oct. 9, 2019",113.92B
"Oct. 8, 2019",112.91B
"Oct. 7, 2019",114.55B
"Oct. 4, 2019",115.00B
"Oct. 3, 2019",113.27B
"Oct. 2, 2019",112.63B
"Oct. 1, 2019",115.50B
"Sept. 30, 2019",117.85B
"Sept. 27, 2019",117.72B
"Sept. 26, 2019",118.70B
"Sept. 25, 2019",118.10B
"Sept. 24, 2019",116.93B
"Sept. 23, 2019",117.10B
"Sept. 20, 2019",117.01B
"Sept. 19, 2019",118.70B
"Sept. 18, 2019",118.81B
"Sept. 17, 2019",118.43B
"Sept. 16, 2019",119.18B
"Sept. 13, 2019",119.16B
"Sept. 12, 2019",118.64B
"Sept. 11, 2019",117.34B
"Sept. 10, 2019",115.58B
"Sept. 9, 2019",115.71B
"Sept. 6, 2019",115.35B
"Sept. 5, 2019",114.78B
"Sept. 4, 2019",113.07B
"Sept. 3, 2019",111.28B
"Aug. 30, 2019",112.38B
"Aug. 29, 2019",111.75B
"Aug. 28, 2019",109.47B
"Aug. 27, 2019",107.48B
"Aug. 26, 2019",108.28B
"Aug. 23, 2019",106.49B
"Aug. 22, 2019",110.41B
"Aug. 21, 2019",109.86B
"Aug. 20, 2019",109.30B
"Aug. 19, 2019",109.27B
"Aug. 16, 2019",107.90B
"Aug. 15, 2019",106.77B
"Aug. 14, 2019",107.25B
"Aug. 13, 2019",111.26B
"Aug. 12, 2019",110.46B
"Aug. 9, 2019",113.24B
"Aug. 8, 2019",113.45B
"Aug. 7, 2019",111.31B
"Aug. 6, 2019",111.13B
"Aug. 5, 2019",108.50B
"Aug. 2, 2019",112.87B
"Aug. 1, 2019",113.76B
"July 31, 2019",115.27B
"July 30, 2019",116.74B
"July 29, 2019",117.10B
"July 26, 2019",117.03B
"July 25, 2019",117.66B
"July 24, 2019",115.84B
"July 23, 2019",116.43B
"July 22, 2019",114.71B
"July 19, 2019",114.23B
"July 18, 2019",113.29B
"July 17, 2019",112.25B
"July 16, 2019",114.92B
"July 15, 2019",114.96B
"July 12, 2019",115.38B
"July 11, 2019",113.32B
"July 10, 2019",112.56B
"July 9, 2019",112.50B
"July 8, 2019",112.92B
"July 5, 2019",114.36B
"July 3, 2019",114.76B
"July 2, 2019",113.86B
"July 1, 2019",113.32B
"June 28, 2019",112.35B
"June 27, 2019",111.29B
"June 26, 2019",110.24B
"June 25, 2019",111.33B
"June 24, 2019",112.33B
"June 21, 2019",111.10B
"June 20, 2019",112.20B
"June 19, 2019",109.38B
"June 18, 2019",109.26B
"June 17, 2019",107.20B
"June 14, 2019",108.12B
"June 13, 2019",107.70B
"June 12, 2019",107.06B
"June 11, 2019",106.09B
"June 10, 2019",110.46B
"June 7, 2019",114.03B
"June 6, 2019",113.62B
"June 5, 2019",113.35B
"June 4, 2019",111.55B
"June 3, 2019",109.39B
"May 31, 2019",108.91B
"May 30, 2019",110.72B
"May 29, 2019",111.64B
"May 28, 2019",112.03B
"May 24, 2019",113.31B
"May 23, 2019",112.49B
"May 22, 2019",116.76B
"May 21, 2019",117.30B
