date,springate_score
"Dec. 31, 2019",0.696
"Sept. 30, 2019",0.7185
"June 30, 2019",0.7116
"March 31, 2019",0.7771
"Dec. 31, 2018",0.8056
"Sept. 30, 2018",0.9251
"June 30, 2018",0.9458
"March 31, 2018",0.8764
"Dec. 31, 2017",0.9018
"Sept. 30, 2017",0.888
"June 30, 2017",0.9197
"March 31, 2017",0.9035
"Dec. 31, 2016",0.8999
"Sept. 30, 2016",0.7975
"June 30, 2016",0.7902
"March 31, 2016",0.8001
"Dec. 31, 2015",0.7728
"Sept. 30, 2015",0.9387
"June 30, 2015",0.9404
"March 31, 2015",0.9226
"Dec. 31, 2014",0.9745
"Sept. 30, 2014",0.8848
"June 30, 2014",0.8757
"March 31, 2014",0.9083
"Dec. 31, 2013",0.8993
"Sept. 30, 2013",0.9106
"June 30, 2013",0.9172
"March 31, 2013",0.9426
"Dec. 31, 2012",0.952
"Sept. 30, 2012",0.9975
"June 30, 2012",1.285
"March 31, 2012",1.214
"Dec. 31, 2011",1.183
"Sept. 30, 2011",1.130
"June 30, 2011",1.117
"March 31, 2011",1.102
"Dec. 31, 2010",1.097
"Sept. 30, 2010",1.116
"June 30, 2010",1.115
"March 31, 2010",1.101
"Dec. 31, 2009",1.075
"Sept. 30, 2009",1.079
"June 30, 2009",1.101
"March 31, 2009",1.164
"Dec. 31, 2008",1.200
"Sept. 30, 2008",1.206
"June 30, 2008",1.208
"March 31, 2008",1.212
"Dec. 31, 2007",1.232
"Sept. 30, 2007",1.186
