date,operating_margin_ttm
"Dec. 31, 2019",11.64%
"Sept. 30, 2019",11.95%
"June 30, 2019",11.55%
"March 31, 2019",12.45%
"Dec. 31, 2018",12.86%
"Sept. 30, 2018",13.16%
"June 30, 2018",13.77%
"March 31, 2018",12.93%
"Dec. 31, 2017",13.60%
"Sept. 30, 2017",13.65%
"June 30, 2017",14.19%
"March 31, 2017",14.59%
"Dec. 31, 2016",14.36%
"Sept. 30, 2016",12.17%
"June 30, 2016",12.39%
"March 31, 2016",12.57%
"Dec. 31, 2015",13.00%
"Sept. 30, 2015",16.17%
"June 30, 2015",16.47%
"March 31, 2015",15.69%
"Dec. 31, 2014",15.19%
"Sept. 30, 2014",15.25%
"June 30, 2014",14.60%
"March 31, 2014",15.17%
"Dec. 31, 2013",15.10%
"Sept. 30, 2013",13.85%
"June 30, 2013",13.42%
"March 31, 2013",13.36%
"Dec. 31, 2012",13.32%
"Sept. 30, 2012",14.96%
"June 30, 2012",14.96%
"March 31, 2012",14.73%
"Dec. 31, 2011",14.44%
"Sept. 30, 2011",13.21%
"June 30, 2011",13.80%
"March 31, 2011",13.47%
"Dec. 31, 2010",13.51%
"Sept. 30, 2010",13.72%
"June 30, 2010",13.05%
"March 31, 2010",12.74%
"Dec. 31, 2009",12.16%
"Sept. 30, 2009",12.06%
"June 30, 2009",12.19%
"March 31, 2009",12.41%
"Dec. 31, 2008",12.76%
"Sept. 30, 2008",12.76%
"June 30, 2008",12.75%
"March 31, 2008",12.79%
"Dec. 31, 2007",12.87%
"Sept. 30, 2007",12.65%
"June 30, 2007",12.60%
"March 31, 2007",12.77%
"Dec. 31, 2006",12.75%
"Sept. 30, 2006",12.72%
"June 30, 2006",12.49%
"March 31, 2006",12.24%
"Dec. 31, 2005",12.13%
"Sept. 30, 2005",11.94%
"June 30, 2005",11.77%
"March 31, 2005",11.53%
"Dec. 31, 2004",11.32%
"Sept. 30, 2004",11.59%
"June 30, 2004",11.81%
"March 31, 2004",11.91%
"Dec. 31, 2003",12.39%
"Sept. 30, 2003",12.63%
"June 30, 2003",12.75%
"March 31, 2003",12.95%
"Dec. 31, 2002",12.96%
"Sept. 30, 2002",12.42%
"June 30, 2002",11.94%
"March 31, 2002",11.79%
"Dec. 31, 2001",11.59%
"Sept. 30, 2001",12.98%
"June 30, 2001",12.89%
"March 31, 2001",12.37%
"Dec. 31, 2000",11.81%
"Sept. 30, 2000",8.27%
"June 30, 2000",5.99%
"March 31, 2000",5.60%
"Dec. 31, 1999",5.18%
"Sept. 30, 1999",7.20%
"June 30, 1999",9.31%
"March 31, 1999",9.12%
"Dec. 31, 1998",8.71%
"Sept. 30, 1998",8.41%
"June 30, 1998",7.88%
"March 31, 1998",7.26%
"Dec. 31, 1997",7.29%
"Sept. 30, 1997",6.75%
"June 30, 1997",6.59%
"March 31, 1997",6.54%
"Dec. 31, 1996",6.38%
"Sept. 30, 1996",6.79%
"June 30, 1996",6.59%
"March 31, 1996",6.31%
"Dec. 31, 1995",6.23%
"Sept. 30, 1995",6.13%
"June 30, 1995",5.79%
"March 31, 1995",5.03%
"Dec. 31, 1994",4.59%
"Sept. 30, 1994",4.26%
"June 30, 1994",4.23%
"March 31, 1994",4.41%
"Dec. 31, 1993",3.93%
"Sept. 30, 1993",-1.01%
"June 30, 1993",-0.71%
"March 31, 1993",-0.13%
"Dec. 31, 1992",0.81%
"Sept. 30, 1992",2.80%
"June 30, 1992",2.70%
"March 31, 1992",1.90%
"Dec. 31, 1991",1.44%
"Sept. 30, 1991",4.70%
"June 30, 1991",5.61%
"March 31, 1991",6.82%
"Dec. 31, 1990",7.29%
"Sept. 30, 1990",7.44%
"June 30, 1990",7.12%
"March 31, 1990",31.46%
"Dec. 31, 1989",53.30%
"Sept. 30, 1989",-8.83%
"June 30, 1989",11.56%
"March 31, 1989",7.16%
"Dec. 31, 1988",5.33%
"Sept. 30, 1988",8.88%
"June 30, 1988",8.13%
"March 31, 1988",7.74%
"Dec. 31, 1987",6.81%
"Sept. 30, 1987",7.86%
"June 30, 1987",5.82%
"March 31, 1987",4.20%
"Dec. 31, 1986",1.56%
"Sept. 30, 1986",11.23%
"June 30, 1986",8.67%
"March 31, 1986",7.22%
"Dec. 31, 1985",7.86%
"Sept. 30, 1985",-0.68%
"June 30, 1985",2.37%
"March 31, 1985",4.85%
"Dec. 31, 1984",6.51%
