date,total_employee_number
"Dec. 31, 2019",243200
"Dec. 31, 2018",240000
"Dec. 31, 2017",204700
"Dec. 31, 2016",202000
"Dec. 31, 2015",197000
"Dec. 31, 2014",211500
"Dec. 31, 2013",212000
"Dec. 31, 2012",218000
"Dec. 31, 2011",199900
"Dec. 31, 2010",208200
"Dec. 31, 2009",206700
"Dec. 31, 2008",223100
"Dec. 31, 2007",225600
"Dec. 31, 2006",214500
"Dec. 31, 2005",222200
"Dec. 31, 2004",209700
"Dec. 31, 2003",203300
"Dec. 31, 2002",155000
"Dec. 31, 2001",152000
"Dec. 31, 2000",153800
"Dec. 31, 1999",148300
"Dec. 31, 1998",178800
"Dec. 31, 1997",180100
"Dec. 31, 1996",173800
"Dec. 31, 1995",170600
"Dec. 31, 1994",171500
"Dec. 31, 1993",168600
"Dec. 31, 1992",185100
"Dec. 31, 1991",192600
"Dec. 31, 1990",192600
"Dec. 31, 1989",201400
