date,gross_profit_margin
"Dec. 31, 2019",24.64%
"Sept. 30, 2019",27.11%
"June 30, 2019",26.59%
"March 31, 2019",25.36%
"Dec. 31, 2018",23.81%
"Sept. 30, 2018",24.07%
"June 30, 2018",25.64%
"March 31, 2018",25.99%
"Dec. 31, 2017",24.78%
"Sept. 30, 2017",26.26%
"June 30, 2017",26.94%
"March 31, 2017",26.63%
"Dec. 31, 2016",26.78%
"Sept. 30, 2016",27.95%
"June 30, 2016",27.79%
"March 31, 2016",27.72%
"Dec. 31, 2015",25.50%
"Sept. 30, 2015",28.92%
"June 30, 2015",28.71%
"March 31, 2015",28.63%
"Dec. 31, 2014",28.36%
"Sept. 30, 2014",30.44%
"June 30, 2014",24.78%
"March 31, 2014",27.50%
"Dec. 31, 2013",30.76%
"Sept. 30, 2013",28.73%
"June 30, 2013",27.83%
"March 31, 2013",27.32%
"Dec. 31, 2012",25.28%
"Sept. 30, 2012",26.85%
"June 30, 2012",28.05%
"March 31, 2012",28.08%
"Dec. 31, 2011",27.59%
"Sept. 30, 2011",27.38%
"June 30, 2011",27.65%
"March 31, 2011",27.73%
"Dec. 31, 2010",25.54%
"Sept. 30, 2010",29.02%
"June 30, 2010",27.44%
"March 31, 2010",27.48%
"Dec. 31, 2009",24.17%
"Sept. 30, 2009",26.46%
"June 30, 2009",27.24%
"March 31, 2009",25.65%
"Dec. 31, 2008",26.69%
"Sept. 30, 2008",27.51%
"June 30, 2008",27.02%
"March 31, 2008",26.65%
"Dec. 31, 2007",27.08%
"Sept. 30, 2007",27.38%
"June 30, 2007",27.15%
"March 31, 2007",26.73%
"Dec. 31, 2006",25.54%
"Sept. 30, 2006",27.70%
"June 30, 2006",28.45%
"March 31, 2006",27.93%
"Dec. 31, 2005",26.84%
"Sept. 30, 2005",27.64%
"June 30, 2005",28.35%
"March 31, 2005",27.55%
"Dec. 31, 2004",30.78%
"Sept. 30, 2004",27.17%
"June 30, 2004",27.50%
"March 31, 2004",27.42%
"Dec. 31, 2003",26.53%
"Sept. 30, 2003",28.17%
"June 30, 2003",27.87%
"March 31, 2003",27.39%
"Dec. 31, 2002",27.26%
"Sept. 30, 2002",28.24%
"June 30, 2002",29.14%
"March 31, 2002",29.64%
"Dec. 31, 2001",25.90%
"Sept. 30, 2001",28.86%
"June 30, 2001",29.30%
"March 31, 2001",31.19%
"Dec. 31, 2000",22.60%
"Sept. 30, 2000",31.93%
"June 30, 2000",30.58%
"March 31, 2000",29.98%
"Dec. 31, 1999",25.52%
"Sept. 30, 1999",23.40%
"June 30, 1999",30.65%
"March 31, 1999",29.51%
"Dec. 31, 1998",29.46%
"Sept. 30, 1998",30.19%
"June 30, 1998",29.98%
"March 31, 1998",27.59%
"Dec. 31, 1997",33.62%
"Sept. 30, 1997",27.88%
"June 30, 1997",27.41%
"March 31, 1997",26.52%
"Dec. 31, 1996",26.46%
"Sept. 30, 1996",27.81%
"June 30, 1996",27.64%
"March 31, 1996",27.09%
"Dec. 31, 1995",26.06%
"Sept. 30, 1995",26.39%
"June 30, 1995",26.01%
"March 31, 1995",25.24%
"Dec. 31, 1994",25.82%
"Sept. 30, 1994",25.90%
"June 30, 1994",24.73%
"March 31, 1994",25.58%
"Dec. 31, 1993",25.87%
"Sept. 30, 1993",26.54%
"June 30, 1993",25.13%
"March 31, 1993",24.89%
"Dec. 31, 1992",11.54%
"Sept. 30, 1992",29.02%
"June 30, 1992",27.53%
"March 31, 1992",29.00%
"Dec. 31, 1991",10.12%
"Sept. 30, 1991",28.24%
"June 30, 1991",26.73%
"March 31, 1991",28.75%
"Dec. 31, 1990",26.81%
"Sept. 30, 1990",32.02%
"June 30, 1990",29.00%
"March 31, 1990",30.06%
"Dec. 31, 1989",28.59%
"Sept. 30, 1989",30.22%
