date,days_payables_outstanding
"Dec. 31, 2019",68.39
"Sept. 30, 2019",68.97
"June 30, 2019",65.87
"March 31, 2019",69.40
"Dec. 31, 2018",66.73
"Sept. 30, 2018",72.75
"June 30, 2018",67.72
"March 31, 2018",81.45
"Dec. 31, 2017",73.11
"Sept. 30, 2017",70.64
"June 30, 2017",62.97
"March 31, 2017",63.28
"Dec. 31, 2016",65.70
"Sept. 30, 2016",62.71
"June 30, 2016",57.42
"March 31, 2016",61.22
"Dec. 31, 2015",58.31
"Sept. 30, 2015",77.32
"June 30, 2015",61.59
"March 31, 2015",49.29
"Dec. 31, 2014",75.53
"Sept. 30, 2014",61.68
"June 30, 2014",54.92
"March 31, 2014",55.92
"Dec. 31, 2013",88.65
"Sept. 30, 2013",52.42
"June 30, 2013",50.39
"March 31, 2013",51.94
"Dec. 31, 2012",50.57
"Sept. 30, 2012",41.90
"June 30, 2012",49.99
"March 31, 2012",52.12
"Dec. 31, 2011",53.12
"Sept. 30, 2011",50.67
"June 30, 2011",49.49
"March 31, 2011",48.37
"Dec. 31, 2010",52.28
"Sept. 30, 2010",45.66
"June 30, 2010",45.31
"March 31, 2010",45.82
"Dec. 31, 2009",42.46
"Sept. 30, 2009",43.90
"June 30, 2009",45.02
"March 31, 2009",50.69
"Dec. 31, 2008",48.06
"Sept. 30, 2008",44.86
"June 30, 2008",43.42
"March 31, 2008",42.98
"Dec. 31, 2007",44.54
"Sept. 30, 2007",43.19
"June 30, 2007",42.57
"March 31, 2007",41.93
"Dec. 31, 2006",43.22
"Sept. 30, 2006",42.88
"June 30, 2006",41.63
"March 31, 2006",42.25
"Dec. 31, 2005",43.13
"Sept. 30, 2005",43.76
"June 30, 2005",40.36
"March 31, 2005",46.00
"Dec. 31, 2004",39.33
"Sept. 30, 2004",41.62
"June 30, 2004",41.26
"March 31, 2004",40.26
"Dec. 31, 2003",35.78
"Sept. 30, 2003",40.32
"June 30, 2003",38.45
"March 31, 2003",39.82
"Dec. 31, 2002",38.14
"Sept. 30, 2002",42.16
"June 30, 2002",41.37
"March 31, 2002",42.94
"Dec. 31, 2001",41.42
"Sept. 30, 2001",42.73
"June 30, 2001",41.74
"March 31, 2001",43.32
"Dec. 31, 2000",35.86
"Sept. 30, 2000",43.44
"June 30, 2000",40.63
"March 31, 2000",40.45
"Dec. 31, 1999",35.79
"Sept. 30, 1999",35.38
"June 30, 1999",36.55
"March 31, 1999",40.99
"Dec. 31, 1998",41.04
"Sept. 30, 1998",46.15
"June 30, 1998",47.59
"March 31, 1998",44.47
"Dec. 31, 1997",105.88
"Sept. 30, 1997",41.68
"June 30, 1997",41.74
"March 31, 1997",42.21
"Dec. 31, 1996",44.79
"Sept. 30, 1996",42.64
"June 30, 1996",42.28
"March 31, 1996",43.79
"Dec. 31, 1995",40.99
"Sept. 30, 1995",43.02
"June 30, 1995",39.55
"March 31, 1995",40.75
"Dec. 31, 1994",40.54
"Sept. 30, 1994",39.95
"June 30, 1994",37.14
"March 31, 1994",40.00
"Dec. 31, 1993",34.65
"Sept. 30, 1993",35.97
"June 30, 1993",38.64
"March 31, 1993",47.57
"Dec. 31, 1992",40.96
"Sept. 30, 1992",42.63
"June 30, 1992",39.10
"March 31, 1992",42.09
"Dec. 31, 1991",33.63
"Sept. 30, 1991",40.36
"June 30, 1991",38.05
"March 31, 1991",45.35
"Dec. 31, 1990",37.97
"Sept. 30, 1990",39.11
"June 30, 1990",33.25
"March 31, 1990",43.00
"Dec. 31, 1989",41.01
