date,revenue_per_employee_annual
"Dec. 31, 2019",318899.0
"Dec. 31, 2018",299082.5
"Dec. 31, 2017",294256.2
"Dec. 31, 2016",286937.3
"Dec. 31, 2015",274653.6
"Dec. 31, 2014",273435.7
"Dec. 31, 2013",263255.8
"Dec. 31, 2012",276180.9
"Dec. 31, 2011",273237.0
"Dec. 31, 2010",251988.4
"Dec. 31, 2009",243950.7
"Dec. 31, 2008",266356.1
"Dec. 31, 2007",248848.0
"Dec. 31, 2006",219047.4
"Dec. 31, 2005",197846.7
"Dec. 31, 2004",181331.7
"Dec. 31, 2003",173229.1
"Dec. 31, 2002",183791.5
"Dec. 31, 2001",182452.6
"Dec. 31, 2000",175988.1
"Dec. 31, 1999",145790.3
"Dec. 31, 1998",126982.4
"Dec. 31, 1997",119028.0
"Dec. 31, 1996",132334.5
"Dec. 31, 1995",132265.4
"Dec. 31, 1994",122322.8
"Dec. 31, 1993",117251.9
"Dec. 31, 1992",114593.6
"Dec. 31, 1991",108203.5
"Dec. 31, 1990",110574.6
