date,return_on_assets
"Dec. 31, 2019",4.02%
"Sept. 30, 2019",3.82%
"June 30, 2019",4.12%
"March 31, 2019",4.53%
"Dec. 31, 2018",4.82%
"Sept. 30, 2018",4.90%
"June 30, 2018",5.19%
"March 31, 2018",4.68%
"Dec. 31, 2017",4.86%
"Sept. 30, 2017",5.60%
"June 30, 2017",5.85%
"March 31, 2017",5.87%
"Dec. 31, 2016",5.68%
"Sept. 30, 2016",8.17%
"June 30, 2016",7.99%
"March 31, 2016",8.14%
"Dec. 31, 2015",8.36%
"Sept. 30, 2015",6.32%
"June 30, 2015",6.85%
"March 31, 2015",7.03%
"Dec. 31, 2014",6.81%
"Sept. 30, 2014",6.81%
"June 30, 2014",6.39%
"March 31, 2014",6.31%
"Dec. 31, 2013",6.39%
"Sept. 30, 2013",7.03%
"June 30, 2013",7.27%
"March 31, 2013",7.47%
"Dec. 31, 2012",6.76%
"Sept. 30, 2012",6.25%
"June 30, 2012",6.69%
"March 31, 2012",6.98%
"Dec. 31, 2011",8.17%
"Sept. 30, 2011",7.98%
"June 30, 2011",7.87%
"March 31, 2011",7.62%
"Dec. 31, 2010",7.50%
"Sept. 30, 2010",7.30%
"June 30, 2010",7.16%
"March 31, 2010",7.02%
"Dec. 31, 2009",6.80%
"Sept. 30, 2009",6.90%
"June 30, 2009",7.25%
"March 31, 2009",7.77%
"Dec. 31, 2008",8.26%
"Sept. 30, 2008",8.21%
"June 30, 2008",8.26%
"March 31, 2008",8.33%
"Dec. 31, 2007",8.30%
"Sept. 30, 2007",8.08%
"June 30, 2007",7.81%
"March 31, 2007",7.83%
"Dec. 31, 2006",7.81%
"Sept. 30, 2006",7.34%
"June 30, 2006",7.12%
"March 31, 2006",7.10%
"Dec. 31, 2005",7.05%
"Sept. 30, 2005",7.29%
"June 30, 2005",7.31%
"March 31, 2005",7.25%
"Dec. 31, 2004",7.19%
"Sept. 30, 2004",7.38%
"June 30, 2004",7.51%
"March 31, 2004",7.26%
"Dec. 31, 2003",7.42%
"Sept. 30, 2003",7.57%
"June 30, 2003",7.77%
"March 31, 2003",7.95%
"Dec. 31, 2002",7.98%
"Sept. 30, 2002",7.45%
"June 30, 2002",7.41%
"March 31, 2002",7.42%
"Dec. 31, 2001",7.41%
"Sept. 30, 2001",7.90%
"June 30, 2001",7.77%
"March 31, 2001",7.56%
"Dec. 31, 2000",7.39%
"Sept. 30, 2000",5.99%
"June 30, 2000",4.37%
"March 31, 2000",7.17%
"Dec. 31, 1999",7.28%
"Sept. 30, 1999",8.89%
"June 30, 1999",10.81%
"March 31, 1999",7.34%
"Dec. 31, 1998",7.19%
"Sept. 30, 1998",7.01%
"June 30, 1998",6.83%
"March 31, 1998",6.56%
"Dec. 31, 1997",6.39%
"Sept. 30, 1997",6.31%
"June 30, 1997",6.09%
"March 31, 1997",5.89%
"Dec. 31, 1996",5.57%
"Sept. 30, 1996",5.38%
"June 30, 1996",5.14%
"March 31, 1996",4.92%
"Dec. 31, 1995",4.76%
"Sept. 30, 1995",4.30%
"June 30, 1995",4.19%
"March 31, 1995",3.91%
"Dec. 31, 1994",3.48%
"Sept. 30, 1994",3.63%
"June 30, 1994",3.39%
"March 31, 1994",3.11%
"Dec. 31, 1993",3.08%
"Sept. 30, 1993",-2.22%
"June 30, 1993",-2.29%
"March 31, 1993",-2.07%
"Dec. 31, 1992",-1.79%
"Sept. 30, 1992",-5.02%
"June 30, 1992",-5.16%
"March 31, 1992",-5.93%
"Dec. 31, 1991",-6.36%
"Sept. 30, 1991",2.33%
"June 30, 1991",3.12%
"March 31, 1991",4.22%
"Dec. 31, 1990",4.92%
"Sept. 30, 1990",5.20%
"June 30, 1990",4.96%
"March 31, 1990",4.98%
"Dec. 31, 1989",5.17%
