date,kz_index
"Dec. 31, 2019",-6.920
"Dec. 31, 2018",-7.600
"Dec. 31, 2017",-8.494
"Dec. 31, 2016",-8.888
"Dec. 31, 2015",
"Dec. 31, 2014",-8.644
"Dec. 31, 2013",
"Dec. 31, 2012",-10.93
"Dec. 31, 2011",-10.47
"Dec. 31, 2010",
"Dec. 31, 2009",
"Dec. 31, 2008",-7.248
"Dec. 31, 2007",-7.157
"Dec. 31, 2006",-6.146
"Dec. 31, 2005",-5.653
"Dec. 31, 2004",-4.491
"Dec. 31, 2003",-3.612
"Dec. 31, 2002",-3.145
"Dec. 31, 2001",-2.630
"Dec. 31, 2000",-1.661
"Dec. 31, 1999",-4.182
"Dec. 31, 1998",-2.533
"Dec. 31, 1997",
"Dec. 31, 1996",-1.819
"Dec. 31, 1995",-2.017
"Dec. 31, 1994",-1.638
"Dec. 31, 1993",
"Dec. 31, 1992",-0.5932
"Dec. 31, 1991",
"Dec. 31, 1990",-1.421
"Dec. 31, 1989",-1.741
"Dec. 31, 1988",0.9935
"Dec. 31, 1987",1.022
"Dec. 31, 1986",1.521
