date,price_target_upside
"March 19, 2020",82.92%
"March 18, 2020",95.28%
"March 17, 2020",69.33%
"March 16, 2020",77.81%
"March 13, 2020",53.20%
"March 12, 2020",58.56%
"March 11, 2020",52.35%
"March 10, 2020",38.23%
"March 9, 2020",43.03%
"March 6, 2020",30.95%
"March 5, 2020",32.04%
"March 4, 2020",20.79%
"March 3, 2020",26.72%
"March 2, 2020",25.27%
"Feb. 28, 2020",28.61%
"Feb. 27, 2020",27.06%
"Feb. 26, 2020",21.37%
"Feb. 25, 2020",20.99%
"Feb. 24, 2020",14.58%
"Feb. 21, 2020",11.02%
"Feb. 20, 2020",12.22%
"Feb. 19, 2020",11.49%
"Feb. 18, 2020",11.05%
"Feb. 14, 2020",9.47%
"Feb. 13, 2020",9.76%
"Feb. 12, 2020",8.26%
"Feb. 11, 2020",8.25%
"Feb. 10, 2020",7.28%
"Feb. 7, 2020",7.09%
"Feb. 6, 2020",7.52%
"Feb. 5, 2020",7.91%
"Feb. 4, 2020",9.77%
"Feb. 3, 2020",12.00%
"Jan. 31, 2020",12.87%
"Jan. 30, 2020",9.38%
"Jan. 29, 2020",10.22%
"Jan. 28, 2020",9.00%
"Jan. 27, 2020",10.32%
"Jan. 24, 2020",8.76%
"Jan. 23, 2020",8.33%
"Jan. 22, 2020",8.34%
"Jan. 21, 2020",7.86%
"Jan. 17, 2020",7.66%
"Jan. 16, 2020",7.96%
"Jan. 15, 2020",9.09%
"Jan. 14, 2020",8.85%
"Jan. 13, 2020",8.48%
"Jan. 10, 2020",8.62%
"Jan. 9, 2020",7.35%
"Jan. 8, 2020",7.40%
"Jan. 7, 2020",7.56%
"Jan. 6, 2020",5.86%
"Jan. 3, 2020",6.09%
"Jan. 2, 2020",6.23%
"Dec. 31, 2019",8.10%
"Dec. 30, 2019",8.02%
"Dec. 27, 2019",7.62%
"Dec. 26, 2019",7.32%
"Dec. 24, 2019",8.13%
"Dec. 23, 2019",7.95%
"Dec. 20, 2019",8.19%
"Dec. 19, 2019",8.76%
"Dec. 18, 2019",9.50%
"Dec. 17, 2019",8.83%
"Dec. 16, 2019",8.21%
"Dec. 13, 2019",8.50%
"Dec. 12, 2019",8.25%
"Dec. 11, 2019",9.82%
"Dec. 10, 2019",11.26%
"Dec. 9, 2019",10.61%
"Dec. 6, 2019",10.03%
"Dec. 5, 2019",11.02%
"Dec. 4, 2019",11.59%
"Dec. 3, 2019",11.50%
"Dec. 2, 2019",10.53%
"Nov. 29, 2019",8.04%
"Nov. 27, 2019",7.69%
"Nov. 26, 2019",8.09%
"Nov. 25, 2019",8.53%
"Nov. 22, 2019",8.40%
"Nov. 21, 2019",8.69%
"Nov. 20, 2019",8.28%
"Nov. 19, 2019",7.02%
"Nov. 18, 2019",6.49%
"Nov. 15, 2019",6.31%
"Nov. 14, 2019",7.21%
"Nov. 13, 2019",7.07%
"Nov. 12, 2019",7.01%
"Nov. 11, 2019",7.13%
"Nov. 8, 2019",6.66%
"Nov. 7, 2019",6.76%
"Nov. 6, 2019",7.07%
"Nov. 5, 2019",7.40%
"Nov. 4, 2019",7.65%
"Nov. 1, 2019",8.26%
"Oct. 31, 2019",10.59%
"Oct. 30, 2019",10.39%
"Oct. 29, 2019",11.82%
"Oct. 28, 2019",11.01%
"Oct. 25, 2019",10.81%
"Oct. 24, 2019",10.08%
"Oct. 23, 2019",12.85%
"Oct. 22, 2019",10.76%
"Oct. 21, 2019",12.80%
"Oct. 18, 2019",14.07%
"Oct. 17, 2019",12.94%
"Oct. 16, 2019",14.15%
"Oct. 15, 2019",14.62%
"Oct. 14, 2019",15.35%
"Oct. 11, 2019",15.15%
"Oct. 10, 2019",16.53%
"Oct. 9, 2019",18.05%
"Oct. 8, 2019",19.11%
"Oct. 7, 2019",17.40%
"Oct. 4, 2019",16.94%
"Oct. 3, 2019",18.72%
"Oct. 2, 2019",19.03%
"Oct. 1, 2019",16.07%
"Sept. 30, 2019",13.75%
"Sept. 27, 2019",13.40%
"Sept. 26, 2019",12.46%
"Sept. 25, 2019",13.04%
"Sept. 24, 2019",14.16%
"Sept. 23, 2019",14.00%
"Sept. 20, 2019",14.09%
"Sept. 19, 2019",12.46%
"Sept. 18, 2019",12.35%
"Sept. 17, 2019",12.92%
"Sept. 16, 2019",12.21%
"Sept. 13, 2019",11.79%
"Sept. 12, 2019",12.28%
"Sept. 11, 2019",13.52%
"Sept. 10, 2019",15.25%
"Sept. 9, 2019",15.08%
"Sept. 6, 2019",15.44%
"Sept. 5, 2019",16.01%
"Sept. 4, 2019",17.77%
"Sept. 3, 2019",19.67%
"Aug. 30, 2019",18.50%
"Aug. 29, 2019",19.17%
"Aug. 28, 2019",21.65%
"Aug. 27, 2019",23.89%
"Aug. 26, 2019",23.47%
"Aug. 23, 2019",25.54%
"Aug. 22, 2019",21.09%
"Aug. 21, 2019",21.68%
"Aug. 20, 2019",22.31%
"Aug. 19, 2019",22.35%
"Aug. 16, 2019",23.90%
"Aug. 15, 2019",25.22%
"Aug. 14, 2019",24.65%
"Aug. 13, 2019",20.16%
"Aug. 12, 2019",21.03%
"Aug. 9, 2019",18.06%
"Aug. 8, 2019",17.84%
"Aug. 7, 2019",20.10%
"Aug. 6, 2019",20.30%
"Aug. 5, 2019",23.21%
"Aug. 2, 2019",18.45%
"Aug. 1, 2019",17.52%
"July 31, 2019",15.97%
"July 30, 2019",14.52%
"July 29, 2019",14.16%
"July 26, 2019",14.24%
"July 25, 2019",13.37%
"July 24, 2019",14.71%
"July 23, 2019",13.17%
"July 22, 2019",14.82%
"July 19, 2019",15.30%
"July 18, 2019",16.26%
"July 17, 2019",17.33%
"July 16, 2019",14.61%
"July 15, 2019",14.57%
"July 12, 2019",14.15%
"July 11, 2019",16.22%
"July 10, 2019",17.02%
"July 9, 2019",17.07%
"July 8, 2019",16.64%
"July 5, 2019",15.17%
"July 3, 2019",14.77%
"July 2, 2019",15.68%
"July 1, 2019",16.22%
"June 28, 2019",17.24%
"June 27, 2019",18.36%
"June 26, 2019",19.48%
"June 25, 2019",18.31%
"June 24, 2019",17.26%
"June 21, 2019",17.88%
"June 20, 2019",17.17%
"June 19, 2019",20.19%
"June 18, 2019",20.32%
"June 17, 2019",22.64%
"June 14, 2019",21.89%
"June 13, 2019",21.96%
"June 12, 2019",22.69%
"June 11, 2019",23.82%
"June 10, 2019",18.91%
"June 7, 2019",14.95%
"June 6, 2019",15.36%
"June 5, 2019",15.64%
"June 4, 2019",17.42%
"June 3, 2019",19.74%
"May 31, 2019",20.27%
"May 30, 2019",18.30%
"May 29, 2019",17.32%
"May 28, 2019",16.92%
"May 24, 2019",15.60%
"May 23, 2019",16.44%
"May 22, 2019",12.18%
"May 21, 2019",11.67%
"May 20, 2019",13.80%
"May 17, 2019",13.23%
"May 16, 2019",11.98%
"May 15, 2019",13.14%
"May 14, 2019",13.14%
"May 13, 2019",14.87%
"May 10, 2019",10.50%
"May 9, 2019",10.75%
"May 8, 2019",10.59%
"May 7, 2019",11.92%
"May 6, 2019",8.12%
"May 3, 2019",7.02%
"May 2, 2019",8.43%
"May 1, 2019",7.06%
"April 30, 2019",6.29%
"April 29, 2019",6.29%
"April 26, 2019",6.77%
"April 25, 2019",7.58%
"April 24, 2019",7.68%
"April 23, 2019",5.10%
"April 22, 2019",6.20%
"April 18, 2019",6.13%
"April 17, 2019",6.60%
"April 16, 2019",6.95%
"April 15, 2019",7.02%
"April 12, 2019",6.36%
"April 11, 2019",8.34%
"April 10, 2019",9.30%
"April 9, 2019",8.81%
"April 8, 2019",7.74%
"April 5, 2019",7.61%
"April 4, 2019",8.44%
"April 3, 2019",9.59%
"April 2, 2019",9.10%
"April 1, 2019",7.93%
"March 29, 2019",11.22%
"March 28, 2019",12.63%
"March 27, 2019",13.50%
"March 26, 2019",13.64%
"March 25, 2019",14.31%
"March 22, 2019",14.54%
"March 21, 2019",12.98%
"March 20, 2019",14.40%
"March 19, 2019",13.31%
"March 18, 2019",12.96%
"March 15, 2019",13.05%
"March 14, 2019",12.18%
"March 13, 2019",12.41%
"March 12, 2019",14.18%
"March 11, 2019",12.97%
"March 8, 2019",14.78%
"March 7, 2019",14.37%
"March 6, 2019",13.53%
"March 5, 2019",13.03%
"March 4, 2019",13.21%
"March 1, 2019",13.18%
"Feb. 28, 2019",13.27%
"Feb. 27, 2019",12.17%
"Feb. 26, 2019",11.92%
"Feb. 25, 2019",10.98%
"Feb. 22, 2019",11.41%
"Feb. 21, 2019",13.12%
"Feb. 20, 2019",11.26%
"Feb. 19, 2019",11.08%
"Feb. 15, 2019",11.85%
"Feb. 14, 2019",15.12%
"Feb. 13, 2019",14.85%
"Feb. 12, 2019",15.26%
"Feb. 11, 2019",16.44%
