date,beneish_m_score
"Dec. 31, 2019",-2.655
"Dec. 31, 2018",-2.302
"Dec. 31, 2017",-2.442
"Dec. 31, 2016",-2.339
"Dec. 31, 2015",-2.534
"Dec. 31, 2014",-2.615
"Dec. 31, 2013",-2.523
"Dec. 31, 2012",-2.338
"Dec. 31, 2011",-2.536
"Dec. 31, 2010",-2.554
"Dec. 31, 2009",-2.609
"Dec. 31, 2008",-2.566
"Dec. 31, 2007",-2.402
"Dec. 31, 2006",-2.514
"Dec. 31, 2005",-2.478
"Dec. 31, 2004",-2.417
"Dec. 31, 2003",-2.285
"Dec. 31, 2002",-2.448
"Dec. 31, 2001",-2.656
"Dec. 31, 2000",-2.572
"Dec. 31, 1999",-2.696
"Dec. 31, 1998",-2.776
"Dec. 31, 1997",-2.643
"Dec. 31, 1996",-2.831
"Dec. 31, 1995",-2.909
"Dec. 31, 1994",-2.519
"Dec. 31, 1993",-2.798
"Dec. 31, 1992",-3.629
"Dec. 31, 1991",-4.127
"Dec. 31, 1990",-3.371
