date,shareholders_equity
"Dec. 31, 2019",41.77B
"Sept. 30, 2019",40.47B
"June 30, 2019",40.75B
"March 31, 2019",39.74B
"Dec. 31, 2018",38.45B
"Sept. 30, 2018",32.11B
"June 30, 2018",31.36B
"March 31, 2018",30.53B
"Dec. 31, 2017",29.61B
"Sept. 30, 2017",29.88B
"June 30, 2017",28.44B
"March 31, 2017",27.59B
"Dec. 31, 2016",27.58B
"Sept. 30, 2016",29.19B
"June 30, 2016",29.09B
"March 31, 2016",28.35B
"Dec. 31, 2015",27.36B
"Sept. 30, 2015",30.52B
"June 30, 2015",30.38B
"March 31, 2015",28.65B
"Dec. 31, 2014",31.21B
"Sept. 30, 2014",34.05B
"June 30, 2014",33.78B
"March 31, 2014",32.32B
"Dec. 31, 2013",31.87B
"Sept. 30, 2013",28.58B
"June 30, 2013",26.99B
"March 31, 2013",26.19B
"Dec. 31, 2012",25.91B
"Sept. 30, 2012",24.96B
"June 30, 2012",22.60B
"March 31, 2012",22.49B
"Dec. 31, 2011",21.88B
"Sept. 30, 2011",22.59B
"June 30, 2011",22.72B
"March 31, 2011",22.13B
"Dec. 31, 2010",21.38B
"Sept. 30, 2010",21.25B
"June 30, 2010",19.93B
"March 31, 2010",19.96B
"Dec. 31, 2009",20.07B
"Sept. 30, 2009",18.49B
"June 30, 2009",17.38B
"March 31, 2009",15.81B
"Dec. 31, 2008",15.76B
"Sept. 30, 2008",21.08B
"June 30, 2008",21.91B
"March 31, 2008",21.59B
"Dec. 31, 2007",21.36B
"Sept. 30, 2007",20.28B
"June 30, 2007",19.20B
"March 31, 2007",18.11B
"Dec. 31, 2006",17.30B
"Sept. 30, 2006",18.93B
"June 30, 2006",18.45B
"March 31, 2006",17.36B
"Dec. 31, 2005",16.99B
"Sept. 30, 2005",15.74B
"June 30, 2005",15.27B
"March 31, 2005",14.70B
"Dec. 31, 2004",14.27B
"Sept. 30, 2004",13.04B
"June 30, 2004",12.48B
"March 31, 2004",12.08B
"Dec. 31, 2003",11.71B
"Sept. 30, 2003",10.12B
"June 30, 2003",9.526B
"March 31, 2003",8.68B
"Dec. 31, 2002",8.355B
"Sept. 30, 2002",9.676B
"June 30, 2002",9.163B
"March 31, 2002",8.646B
"Dec. 31, 2001",8.369B
"Sept. 30, 2001",8.432B
"June 30, 2001",8.149B
"March 31, 2001",7.738B
"Dec. 31, 2000",7.662B
"Sept. 30, 2000",7.86B
"June 30, 2000",7.57B
"March 31, 2000",7.479B
"Dec. 31, 1999",7.566B
"Sept. 30, 1999",7.551B
"June 30, 1999",7.768B
"March 31, 1999",4.953B
"Dec. 31, 1998",4.834B
"Sept. 30, 1998",4.832B
"June 30, 1998",4.743B
"March 31, 1998",4.688B
"Dec. 31, 1997",4.523B
"Sept. 30, 1997",5.164B
"June 30, 1997",4.774B
"March 31, 1997",4.678B
"Dec. 31, 1996",4.74B
"Sept. 30, 1996",4.686B
"June 30, 1996",4.56B
"March 31, 1996",4.481B
"Dec. 31, 1995",4.419B
"Sept. 30, 1995",4.338B
"June 30, 1995",4.299B
"March 31, 1995",4.161B
"Dec. 31, 1994",4.091B
"Sept. 30, 1994",3.998B
"June 30, 1994",3.891B
"March 31, 1994",3.814B
"Dec. 31, 1993",3.774B
"Sept. 30, 1993",3.634B
"June 30, 1993",3.595B
"March 31, 1993",3.489B
"Dec. 31, 1992",3.521B
"Sept. 30, 1992",4.39B
"June 30, 1992",4.256B
"March 31, 1992",4.163B
"Dec. 31, 1991",4.087B
"Sept. 30, 1991",5.347B
"June 30, 1991",5.287B
"March 31, 1991",5.391B
"Dec. 31, 1990",5.424B
"Sept. 30, 1990",5.211B
"June 30, 1990",4.984B
"March 31, 1990",4.798B
"Dec. 31, 1989",4.740B
"Sept. 30, 1989",4.908B
"Dec. 31, 1988",4.822B
"Dec. 31, 1987",4.291B
"Dec. 31, 1986",3.802B
"Dec. 31, 1985",3.845B
"Dec. 31, 1984",3.642B
