date,free_cash_flow
"Dec. 31, 2019",1.793B
"Sept. 30, 2019",1.871B
"June 30, 2019",1.562B
"March 31, 2019",1.05B
"Dec. 31, 2018",1.127B
"Sept. 30, 2018",1.228B
"June 30, 2018",1.627B
"March 31, 2018",38.00M
"Dec. 31, 2017",1.631B
"Sept. 30, 2017",-567.00M
"June 30, 2017",1.606B
"March 31, 2017",567.00M
"Dec. 31, 2016",1.056B
"Sept. 30, 2016",1.442B
"June 30, 2016",1.108B
"March 31, 2016",-1.813B
"Dec. 31, 2015",1.924B
"Sept. 30, 2015",423.00M
"June 30, 2015",1.092B
"March 31, 2015",855.00M
"Dec. 31, 2014",1.631B
"Sept. 30, 2014",1.473B
"June 30, 2014",1.17B
"March 31, 2014",860.00M
"Dec. 31, 2013",1.892B
"Sept. 30, 2013",1.004B
"June 30, 2013",1.448B
"March 31, 2013",242.00M
"Dec. 31, 2012",1.183B
"Sept. 30, 2012",1.177B
"June 30, 2012",239.00M
"March 31, 2012",1.115B
"Dec. 31, 2011",1.653B
"Sept. 30, 2011",1.76B
"June 30, 2011",1.058B
"March 31, 2011",1.19B
"Dec. 31, 2010",1.317B
"Sept. 30, 2010",1.499B
"June 30, 2010",1.245B
"March 31, 2010",1.007B
"Dec. 31, 2009",1.15B
"Sept. 30, 2009",1.692B
"June 30, 2009",1.367B
"March 31, 2009",318.00M
"Dec. 31, 2008",1.614B
"Sept. 30, 2008",1.567B
"June 30, 2008",1.113B
"March 31, 2008",651.00M
"Dec. 31, 2007",1.589B
"Sept. 30, 2007",1.145B
"June 30, 2007",1.198B
"March 31, 2007",245.00M
"Dec. 31, 2006",1.304B
"Sept. 30, 2006",1.177B
"June 30, 2006",594.00M
"March 31, 2006",774.00M
"Dec. 31, 2005",800.00M
"Sept. 30, 2005",906.00M
"June 30, 2005",1.005B
"March 31, 2005",694.00M
"Dec. 31, 2004",411.00M
"Sept. 30, 2004",807.00M
"June 30, 2004",946.00M
"March 31, 2004",637.00M
"Dec. 31, 2003",590.00M
"Sept. 30, 2003",896.00M
"June 30, 2003",694.00M
"March 31, 2003",165.00M
"Dec. 31, 2002",422.00M
"Sept. 30, 2002",695.00M
"June 30, 2002",733.00M
"March 31, 2002",417.00M
"Dec. 31, 2001",747.00M
"Sept. 30, 2001",467.00M
"June 30, 2001",543.00M
"March 31, 2001",426.00M
"Dec. 31, 2000",344.00M
"Sept. 30, 2000",401.00M
"June 30, 2000",444.00M
"March 31, 2000",377.00M
"Dec. 31, 1999",3.051B
"Sept. 30, 1999",-145.00M
"June 30, 1999",619.00M
"March 31, 1999",182.00M
"Dec. 31, 1998",1.357B
"Sept. 30, 1998",-291.00M
"June 30, 1998",360.00M
"March 31, 1998",206.00M
"Dec. 31, 1997",-408.00M
"Sept. 30, 1997",467.00M
"June 30, 1997",339.00M
"March 31, 1997",302.00M
"Dec. 31, 1996",110.00M
"Sept. 30, 1996",151.00M
"June 30, 1996",553.00M
"March 31, 1996",178.00M
"Dec. 31, 1995",183.00M
"Sept. 30, 1995",380.00M
"June 30, 1995",549.00M
"March 31, 1995",-52.00M
"Dec. 31, 1994",293.00M
"Sept. 30, 1994",540.00M
"June 30, 1994",-108.00M
"March 31, 1994",-127.00M
"Dec. 31, 1993",343.00M
"Sept. 30, 1993",436.00M
"June 30, 1993",438.00M
"March 31, 1993",-555.00M
"Dec. 31, 1992",393.00M
"Sept. 30, 1992",139.00M
"June 30, 1992",112.00M
"March 31, 1992",-361.00M
"Dec. 31, 1991",443.90M
"Sept. 30, 1991",451.90M
"June 30, 1991",265.40M
"March 31, 1991",-319.20M
"Dec. 31, 1990",124.50M
"Sept. 30, 1990",631.50M
"June 30, 1990",-319.90M
"March 31, 1990",-485.20M
