date,cash_operations_ttm
"Dec. 31, 2019",8.883B
"Sept. 30, 2019",8.106B
"June 30, 2019",7.378B
"March 31, 2019",7.369B
"Dec. 31, 2018",6.322B
"Sept. 30, 2018",6.838B
"June 30, 2018",5.047B
"March 31, 2018",5.091B
"Dec. 31, 2017",5.631B
"Sept. 30, 2017",4.909B
"June 30, 2017",6.876B
"March 31, 2017",6.302B
"Dec. 31, 2016",3.88B
"Sept. 30, 2016",4.719B
"June 30, 2016",3.678B
"March 31, 2016",3.644B
"Dec. 31, 2015",6.383B
"Sept. 30, 2015",6.041B
"June 30, 2015",7.092B
"March 31, 2015",7.296B
"Dec. 31, 2014",7.321B
"Sept. 30, 2014",7.614B
"June 30, 2014",7.30B
"March 31, 2014",7.518B
"Dec. 31, 2013",6.877B
"Sept. 30, 2013",6.261B
"June 30, 2013",6.271B
"March 31, 2013",6.038B
"Dec. 31, 2012",6.646B
"Sept. 30, 2012",6.685B
"June 30, 2012",7.00B
"March 31, 2012",6.531B
"Dec. 31, 2011",6.59B
"Sept. 30, 2011",6.254B
"June 30, 2011",5.971B
"March 31, 2011",6.113B
"Dec. 31, 2010",5.906B
"Sept. 30, 2010",5.705B
"June 30, 2010",5.882B
"March 31, 2010",6.022B
"Dec. 31, 2009",5.353B
"Sept. 30, 2009",5.898B
"June 30, 2009",5.88B
"March 31, 2009",5.758B
"Dec. 31, 2008",6.161B
"Sept. 30, 2008",6.186B
"June 30, 2008",5.734B
"March 31, 2008",5.765B
"Dec. 31, 2007",5.33B
"Sept. 30, 2007",4.94B
"June 30, 2007",4.918B
"March 31, 2007",4.281B
"Dec. 31, 2006",4.803B
"Sept. 30, 2006",4.293B
"June 30, 2006",4.087B
"March 31, 2006",4.463B
"Dec. 31, 2005",4.334B
"Sept. 30, 2005",3.944B
"June 30, 2005",3.776B
"March 31, 2005",3.682B
"Dec. 31, 2004",3.596B
"Sept. 30, 2004",3.639B
"June 30, 2004",3.674B
"March 31, 2004",3.383B
"Dec. 31, 2003",2.875B
"Sept. 30, 2003",2.68B
"June 30, 2003",2.483B
"March 31, 2003",2.532B
"Dec. 31, 2002",2.853B
"Sept. 30, 2002",3.202B
"June 30, 2002",3.018B
"March 31, 2002",2.916B
"Dec. 31, 2001",2.976B
"Sept. 30, 2001",2.705B
"June 30, 2001",2.739B
"March 31, 2001",2.61B
"Dec. 31, 2000",2.503B
"Sept. 30, 2000",2.538B
"June 30, 2000",2.454B
"March 31, 2000",4.589B
"Dec. 31, 1999",4.469B
"Sept. 30, 1999",4.276B
"June 30, 1999",4.235B
"March 31, 1999",2.164B
"Dec. 31, 1998",2.305B
"Sept. 30, 1998",2.057B
"June 30, 1998",2.045B
"March 31, 1998",1.943B
"Dec. 31, 1997",1.905B
"Sept. 30, 1997",2.16B
"June 30, 1997",2.133B
"March 31, 1997",2.255B
"Dec. 31, 1996",2.079B
"Sept. 30, 1996",2.079B
"June 30, 1996",2.237B
"March 31, 1996",2.272B
"Dec. 31, 1995",2.044B
"Sept. 30, 1995",1.971B
"June 30, 1995",2.064B
"March 31, 1995",1.461B
"Dec. 31, 1994",1.357B
"Sept. 30, 1994",1.538B
"June 30, 1994",1.413B
"March 31, 1994",1.895B
"Dec. 31, 1993",1.508B
"Sept. 30, 1993",1.556B
"June 30, 1993",1.273B
"March 31, 1993",967.00M
"Dec. 31, 1992",1.203B
"Sept. 30, 1992",1.299B
"June 30, 1992",1.607B
"March 31, 1992",1.803B
"Dec. 31, 1991",1.89B
"Sept. 30, 1991",1.642B
"June 30, 1991",1.877B
"March 31, 1991",1.334B
"Dec. 31, 1990",1.151B
