date,times_interest_earned
"Dec. 31, 2019",6.217
"Sept. 30, 2019",6.726
"June 30, 2019",6.894
"March 31, 2019",7.767
"Dec. 31, 2018",9.157
"Sept. 30, 2018",9.614
"June 30, 2018",10.09
"March 31, 2018",9.336
"Dec. 31, 2017",9.659
"Sept. 30, 2017",8.265
"June 30, 2017",8.326
"March 31, 2017",8.378
"Dec. 31, 2016",7.983
"Sept. 30, 2016",7.992
"June 30, 2016",8.458
"March 31, 2016",8.640
"Dec. 31, 2015",8.995
"Sept. 30, 2015",10.61
"June 30, 2015",10.96
"March 31, 2015",11.04
"Dec. 31, 2014",10.84
"Sept. 30, 2014",10.68
"June 30, 2014",9.861
"March 31, 2014",9.929
"Dec. 31, 2013",9.705
"Sept. 30, 2013",9.313
"June 30, 2013",9.087
"March 31, 2013",9.183
"Dec. 31, 2012",10.10
"Sept. 30, 2012",13.77
"June 30, 2012",16.07
"March 31, 2012",16.92
"Dec. 31, 2011",16.18
"Sept. 30, 2011",12.80
"June 30, 2011",11.98
"March 31, 2011",11.36
"Dec. 31, 2010",10.70
"Sept. 30, 2010",12.46
"June 30, 2010",11.96
"March 31, 2010",11.02
"Dec. 31, 2009",10.48
"Sept. 30, 2009",9.323
"June 30, 2009",9.627
"March 31, 2009",10.30
"Dec. 31, 2008",11.07
"Sept. 30, 2008",11.00
"June 30, 2008",10.74
"March 31, 2008",13.94
"Dec. 31, 2007",19.97
"Sept. 30, 2007",37.35
