date,shares_outstanding
"March 3, 2020",866.16M
"Jan. 31, 2020",865.31M
"Dec. 31, 2019",864.37M
"Sept. 30, 2019",863.27M
"Sept. 10, 2019",863.10M
"June 30, 2019",862.83M
"June 5, 2019",862.91M
"March 31, 2019",862.29M
"Feb. 28, 2019",862.33M
"Jan. 31, 2019",861.75M
"Dec. 31, 2018",861.48M
"Nov. 26, 2018",863.38M
"Sept. 30, 2018",800.98M
"June 30, 2018",800.09M
"March 31, 2018",800.06M
"March 2, 2018",800.09M
"Jan. 31, 2018",799.78M
"Dec. 31, 2017",799.13M
"Sept. 30, 2017",798.57M
"Aug. 30, 2017",798.55M
"June 30, 2017",798.77M
"March 31, 2017",801.23M
"Feb. 28, 2017",801.69M
"Jan. 31, 2017",805.86M
"Dec. 31, 2016",808.70M
"Sept. 30, 2016",823.41M
"June 30, 2016",836.93M
"March 31, 2016",836.87M
"Feb. 29, 2016",836.73M
"Jan. 31, 2016",836.43M
"Dec. 31, 2015",838.34M
"Sept. 30, 2015",887.02M
"June 30, 2015",890.60M
"March 31, 2015",890.20M
"March 2, 2015",908.45M
"Jan. 31, 2015",907.16M
"Dec. 31, 2014",909.38M
"Sept. 30, 2014",911.66M
"June 30, 2014",914.81M
"March 31, 2014",916.73M
"March 3, 2014",916.44M
"Jan. 31, 2014",915.24M
"Dec. 31, 2013",916.69M
"Sept. 30, 2013",917.58M
"June 30, 2013",917.51M
"March 31, 2013",919.30M
"March 1, 2013",918.26M
"Jan. 31, 2013",916.64M
"Dec. 31, 2012",918.85M
"Sept. 30, 2012",916.54M
"June 30, 2012",911.79M
"March 31, 2012",911.36M
"Feb. 15, 2012",910.16M
"Jan. 31, 2012",908.86M
"Dec. 31, 2011",907.22M
"Sept. 30, 2011",906.09M
"June 30, 2011",908.71M
"March 31, 2011",915.26M
"Feb. 15, 2011",921.19M
"Jan. 31, 2011",920.46M
"Dec. 31, 2010",921.27M
"Sept. 30, 2010",923.41M
"June 30, 2010",929.07M
"March 31, 2010",933.08M
"Feb. 16, 2010",936.41M
"Jan. 31, 2010",937.40M
"Dec. 31, 2009",936.74M
"Sept. 30, 2009",937.54M
"June 30, 2009",941.27M
"March 31, 2009",942.04M
"Jan. 31, 2009",942.29M
"Sept. 30, 2008",950.62M
"June 30, 2008",964.36M
"March 31, 2008",973.20M
"Jan. 31, 2008",981.52M
"Dec. 31, 2007",983.55M
"Sept. 30, 2007",988.51M
"June 30, 2007",991.78M
"March 31, 2007",994.43M
"Jan. 31, 2007",995.79M
"Dec. 31, 2006",995.70M
"Sept. 30, 2006",1.004B
"June 30, 2006",1.011B
"March 31, 2006",1.011B
"Jan. 31, 2006",1.015B
"Dec. 31, 2005",1.014B
"Sept. 30, 2005",1.019B
"June 30, 2005",1.025B
"March 31, 2005",1.024B
"Jan. 31, 2005",1.024B
"Dec. 31, 2004",1.022B
"Sept. 30, 2004",1.022B
"June 30, 2004",1.023B
"March 31, 2004",1.028B
"Jan. 31, 2004",1.031B
"Dec. 31, 2003",1.028B
"Sept. 30, 2003",941.12M
"June 30, 2003",937.63M
"March 31, 2003",935.79M
"Jan. 31, 2003",940.73M
"Dec. 31, 2002",939.24M
"Sept. 30, 2002",947.33M
"June 30, 2002",943.45M
"March 31, 2002",945.72M
"Jan. 31, 2002",945.23M
"Dec. 31, 2001",944.32M
"Sept. 30, 2001",937.08M
"June 30, 2001",941.89M
"March 31, 2001",941.47M
"Jan. 31, 2001",941.37M
"Dec. 31, 2000",940.61M
"Sept. 30, 2000",936.72M
"June 30, 2000",936.34M
"March 31, 2000",941.04M
"Jan. 31, 2000",948.19M
"Dec. 31, 1999",949.09M
"Sept. 30, 1999",957.48M
"June 30, 1999",962.71M
"March 31, 1999",903.01M
"Jan. 29, 1999",900.56M
"Dec. 31, 1998",900.21M
"Sept. 30, 1998",903.31M
"June 30, 1998",912.12M
"March 31, 1998",918.05M
"Jan. 31, 1998",916.75M
"Dec. 31, 1997",916.28M
"Sept. 30, 1997",931.91M
"June 30, 1997",941.70M
"March 31, 1997",947.56M
"Jan. 31, 1997",949.39M
"Dec. 31, 1996",951.90M
"June 30, 1996",966.86M
"March 31, 1996",974.34M
"Feb. 1, 1996",973.80M
"Dec. 31, 1995",976.57M
"Sept. 30, 1995",976.06M
"June 30, 1995",985.88M
"March 31, 1995",986.99M
"Feb. 1, 1995",985.29M
"Dec. 31, 1994",985.09M
"Sept. 30, 1994",997.26M
"June 30, 1994",1.010B
"March 31, 1994",1.035B
"Dec. 31, 1993",1.008B
"Sept. 30, 1993",999.91M
"June 30, 1993",994.71M
"March 31, 1993",992.01M
"Dec. 31, 1992",990.20M
"Sept. 30, 1992",984.06M
"June 30, 1992",985.54M
"March 31, 1992",975.18M
"Dec. 31, 1991",975.18M
"Sept. 30, 1991",973.06M
"June 30, 1991",972.37M
"March 31, 1991",973.65M
"Dec. 31, 1990",969.25M
"Sept. 30, 1990",965.41M
"June 30, 1990",964.38M
"March 31, 1990",962.02M
"Dec. 31, 1989",968.74M
"Sept. 30, 1989",1.019B
"June 30, 1989",1.046B
"March 31, 1989",1.046B
"Dec. 31, 1988",1.046B
"Sept. 30, 1988",1.045B
"June 30, 1988",1.043B
"March 31, 1988",1.043B
"Dec. 31, 1987",1.043B
"Sept. 30, 1987",1.049B
"June 30, 1987",1.049B
"March 31, 1987",1.043B
"Dec. 31, 1986",1.044B
"Sept. 30, 1986",1.043B
"June 30, 1986",983.16M
"March 31, 1986",983.16M
"Dec. 31, 1985",983.16M
"Sept. 30, 1985",983.16M
"June 30, 1985",983.16M
"March 31, 1985",983.16M
"Dec. 31, 1984",970.96M
"Sept. 30, 1984",966.78M
"June 30, 1984",961.22M
"March 31, 1984",961.22M
