date,ni_per_employee_annual
"Dec. 31, 2019",22918.05
"Dec. 31, 2018",23696.87
"Dec. 31, 2017",22385.05
"Dec. 31, 2016",25338.35
"Dec. 31, 2015",37248.47
"Dec. 31, 2014",29374.26
"Dec. 31, 2013",26609.30
"Dec. 31, 2012",24551.33
"Dec. 31, 2011",24400.88
"Dec. 31, 2010",21079.78
"Dec. 31, 2009",17817.59
"Dec. 31, 2008",20900.38
"Dec. 31, 2007",19195.64
"Dec. 31, 2006",17091.83
"Dec. 31, 2005",14211.62
"Dec. 31, 2004",12944.31
"Dec. 31, 2003",13178.90
"Dec. 31, 2002",14566.78
"Dec. 31, 2001",12674.95
"Dec. 31, 2000",11969.55
"Dec. 31, 1999",9361.05
"Dec. 31, 1998",6993.59
"Dec. 31, 1997",6058.21
"Dec. 31, 1996",5261.32
"Dec. 31, 1995",4384.68
"Dec. 31, 1994",3440.16
"Dec. 31, 1993",2753.75
"Dec. 31, 1992",-1519.72
"Dec. 31, 1991",-5301.14
"Dec. 31, 1990",3810.15
