date,cash_dividend_payout_ratio
"Dec. 31, 2019",38.91%
"Sept. 30, 2019",42.67%
"June 30, 2019",46.69%
"March 31, 2019",44.59%
"Dec. 31, 2018",53.98%
"Sept. 30, 2018",47.28%
"June 30, 2018",78.27%
"March 31, 2018",77.70%
"Dec. 31, 2017",64.07%
"Sept. 30, 2017",76.97%
"June 30, 2017",43.72%
"March 31, 2017",49.48%
"Dec. 31, 2016",115.4%
"Sept. 30, 2016",78.99%
"June 30, 2016",129.3%
"March 31, 2016",131.6%
"Dec. 31, 2015",50.86%
"Sept. 30, 2015",53.81%
"June 30, 2015",41.93%
"March 31, 2015",40.69%
"Dec. 31, 2014",39.89%
"Sept. 30, 2014",38.02%
"June 30, 2014",40.68%
"March 31, 2014",37.61%
"Dec. 31, 2013",41.60%
"Sept. 30, 2013",47.95%
"June 30, 2013",45.85%
"March 31, 2013",63.53%
"Dec. 31, 2012",47.17%
"Sept. 30, 2012",40.58%
"June 30, 2012",34.53%
"March 31, 2012",29.47%
"Dec. 31, 2011",28.30%
"Sept. 30, 2011",29.30%
"June 30, 2011",30.00%
"March 31, 2011",28.13%
"Dec. 31, 2010",29.24%
"Sept. 30, 2010",29.63%
"June 30, 2010",27.90%
"March 31, 2010",26.65%
"Dec. 31, 2009",29.95%
"Sept. 30, 2009",27.23%
"June 30, 2009",26.84%
"March 31, 2009",27.23%
"Dec. 31, 2008",24.47%
"Sept. 30, 2008",23.64%
"June 30, 2008",26.08%
"March 31, 2008",24.61%
"Dec. 31, 2007",25.86%
"Sept. 30, 2007",26.52%
"June 30, 2007",25.10%
"March 31, 2007",29.79%
"Dec. 31, 2006",24.71%
"Sept. 30, 2006",27.26%
"June 30, 2006",28.33%
"March 31, 2006",23.84%
"Dec. 31, 2005",24.43%
"Sept. 30, 2005",26.16%
"June 30, 2005",25.57%
"March 31, 2005",24.56%
"Dec. 31, 2004",23.56%
"Sept. 30, 2004",22.15%
"June 30, 2004",20.27%
"March 31, 2004",20.73%
"Dec. 31, 2003",22.73%
"Sept. 30, 2003",22.19%
"June 30, 2003",23.89%
"March 31, 2003",22.88%
"Dec. 31, 2002",20.38%
"Sept. 30, 2002",17.48%
"June 30, 2002",18.74%
"March 31, 2002",19.92%
"Dec. 31, 2001",19.38%
"Sept. 30, 2001",23.76%
"June 30, 2001",23.92%
"March 31, 2001",24.71%
"Dec. 31, 2000",24.71%
"Sept. 30, 2000",12.54%
"June 30, 2000",14.46%
"March 31, 2000",13.45%
"Dec. 31, 1999",13.81%
"Sept. 30, 1999",23.70%
"June 30, 1999",24.75%
"March 31, 1999",28.86%
"Dec. 31, 1998",27.82%
"Sept. 30, 1998",-302.3%
"June 30, 1998",62.88%
"March 31, 1998",63.41%
"Dec. 31, 1997",55.14%
"Sept. 30, 1997",28.41%
"June 30, 1997",37.69%
"March 31, 1997",29.84%
"Dec. 31, 1996",32.86%
"Sept. 30, 1996",35.40%
"June 30, 1996",28.83%
"March 31, 1996",28.53%
"Dec. 31, 1995",34.25%
"Sept. 30, 1995",27.01%
"June 30, 1995",24.66%
"March 31, 1995",51.26%
"Dec. 31, 1994",56.86%
"Sept. 30, 1994",42.75%
"June 30, 1994",49.45%
"March 31, 1994",23.67%
"Dec. 31, 1993",40.33%
"Sept. 30, 1993",37.78%
"June 30, 1993",64.34%
"March 31, 1993",298.9%
"Dec. 31, 1992",93.29%
"Sept. 30, 1992",84.64%
"June 30, 1992",43.72%
"March 31, 1992",35.10%
"Dec. 31, 1991",33.37%
"Sept. 30, 1991",49.04%
"June 30, 1991",36.49%
"March 31, 1991",214.8%
"Dec. 31, 1990",-516.3%
