date,net_income_ttm
"Dec. 31, 2019",5.537B
"Sept. 30, 2019",5.08B
"June 30, 2019",5.17B
"March 31, 2019",5.318B
"Dec. 31, 2018",5.269B
"Sept. 30, 2018",4.98B
"June 30, 2018",5.072B
"March 31, 2018",4.463B
"Dec. 31, 2017",4.552B
"Sept. 30, 2017",5.168B
"June 30, 2017",5.318B
"March 31, 2017",5.258B
"Dec. 31, 2016",5.055B
"Sept. 30, 2016",7.32B
"June 30, 2016",7.202B
"March 31, 2016",7.365B
"Dec. 31, 2015",7.608B
"Sept. 30, 2015",5.803B
"June 30, 2015",6.295B
"March 31, 2015",6.433B
"Dec. 31, 2014",6.22B
"Sept. 30, 2014",6.21B
"June 30, 2014",5.788B
"March 31, 2014",5.668B
"Dec. 31, 2013",5.721B
"Sept. 30, 2013",6.315B
"June 30, 2013",6.298B
"March 31, 2013",6.066B
"Dec. 31, 2012",5.13B
"Sept. 30, 2012",4.398B
"June 30, 2012",4.307B
"March 31, 2012",4.297B
"Dec. 31, 2011",4.979B
"Sept. 30, 2011",4.853B
"June 30, 2011",4.727B
"March 31, 2011",4.519B
"Dec. 31, 2010",4.373B
"Sept. 30, 2010",4.247B
"June 30, 2010",4.107B
"March 31, 2010",3.973B
"Dec. 31, 2009",3.829B
"Sept. 30, 2009",3.901B
"June 30, 2009",4.112B
"March 31, 2009",4.411B
"Dec. 31, 2008",4.689B
"Sept. 30, 2008",4.604B
"June 30, 2008",4.532B
"March 31, 2008",4.405B
"Dec. 31, 2007",4.224B
"Sept. 30, 2007",4.029B
"June 30, 2007",3.828B
"March 31, 2007",3.783B
"Dec. 31, 2006",3.732B
"Sept. 30, 2006",3.493B
"June 30, 2006",3.318B
"March 31, 2006",3.186B
"Dec. 31, 2005",3.069B
"Sept. 30, 2005",3.055B
"June 30, 2005",2.927B
"March 31, 2005",2.773B
"Dec. 31, 2004",2.673B
"Sept. 30, 2004",2.649B
"June 30, 2004",2.595B
"March 31, 2004",2.41B
"Dec. 31, 2003",2.361B
"Sept. 30, 2003",2.306B
"June 30, 2003",2.279B
"March 31, 2003",2.271B
"Dec. 31, 2002",2.236B
"Sept. 30, 2002",2.048B
"June 30, 2002",2.001B
"March 31, 2002",1.965B
"Dec. 31, 2001",1.938B
"Sept. 30, 2001",2.019B
"June 30, 2001",1.95B
"March 31, 2001",1.871B
"Dec. 31, 2000",1.808B
"Sept. 30, 2000",1.438B
"June 30, 2000",1.032B
"March 31, 2000",1.60B
"Dec. 31, 1999",1.531B
"Sept. 30, 1999",1.762B
"June 30, 1999",2.02B
"March 31, 1999",1.303B
"Dec. 31, 1998",1.255B
"Sept. 30, 1998",1.212B
"June 30, 1998",1.164B
"March 31, 1998",1.108B
"Dec. 31, 1997",1.072B
"Sept. 30, 1997",1.057B
"June 30, 1997",1.011B
"March 31, 1997",966.00M
"Dec. 31, 1996",906.00M
"Sept. 30, 1996",864.00M
"June 30, 1996",820.00M
"March 31, 1996",779.00M
"Dec. 31, 1995",750.00M
"Sept. 30, 1995",676.00M
"June 30, 1995",660.00M
"March 31, 1995",614.00M
"Dec. 31, 1994",546.00M
"Sept. 30, 1994",569.00M
"June 30, 1994",532.00M
"March 31, 1994",490.00M
"Dec. 31, 1993",487.00M
"Sept. 30, 1993",-353.00M
"June 30, 1993",-368.00M
"March 31, 1993",-332.00M
"Dec. 31, 1992",-287.00M
"Sept. 30, 1992",-807.10M
"June 30, 1992",-829.60M
"March 31, 1992",-952.20M
"Dec. 31, 1991",-1.021B
"Sept. 30, 1991",371.90M
"June 30, 1991",492.20M
"March 31, 1991",656.30M
"Dec. 31, 1990",750.60M
"Sept. 30, 1990",766.20M
"June 30, 1990",723.10M
"March 31, 1990",712.90M
"Dec. 31, 1989",702.10M
"Sept. 30, 1989",668.30M
"June 30, 1989",661.70M
"March 31, 1989",660.60M
"Dec. 31, 1988",659.10M
"Sept. 30, 1988",681.00M
"June 30, 1988",655.90M
"March 31, 1988",615.70M
"Dec. 31, 1987",591.70M
"Sept. 30, 1987",166.60M
"June 30, 1987",109.80M
"March 31, 1987",18.70M
"Dec. 31, 1986",48.10M
"Sept. 30, 1986",466.60M
"June 30, 1986",312.80M
"March 31, 1986",302.70M
"Dec. 31, 1985",312.70M
"Sept. 30, 1985",296.60M
"June 30, 1985",534.90M
"March 31, 1985",649.10M
"Dec. 31, 1984",645.00M
