date,accruals
"Dec. 31, 2019",-1.639B
"Sept. 30, 2019",-1.342B
"June 30, 2019",-211.00M
"March 31, 2019",-154.00M
"Dec. 31, 2018",-1.319B
"Sept. 30, 2018",-524.00M
"June 30, 2018",-54.00M
"March 31, 2018",844.00M
"Dec. 31, 2017",-2.124B
"Sept. 30, 2017",1.359B
"June 30, 2017",-707.00M
"March 31, 2017",393.00M
"Dec. 31, 2016",-786.00M
"Sept. 30, 2016",-458.00M
"June 30, 2016",-193.00M
"March 31, 2016",2.612B
"Dec. 31, 2015",640.00M
"Sept. 30, 2015",465.00M
"June 30, 2015",4.00M
"March 31, 2015",116.00M
"Dec. 31, 2014",-823.00M
"Sept. 30, 2014",-94.00M
"June 30, 2014",-62.00M
"March 31, 2014",-122.00M
"Dec. 31, 2013",-1.126B
"Sept. 30, 2013",-202.00M
"June 30, 2013",-400.00M
"March 31, 2013",572.00M
"Dec. 31, 2012",84.00M
"Sept. 30, 2012",-229.00M
"June 30, 2012",-399.00M
"March 31, 2012",-972.00M
"Dec. 31, 2011",-687.00M
"Sept. 30, 2011",-635.00M
"June 30, 2011",60.00M
"March 31, 2011",-349.00M
"Dec. 31, 2010",-477.00M
"Sept. 30, 2010",-478.00M
"June 30, 2010",-290.00M
"March 31, 2010",-288.00M
"Dec. 31, 2009",-402.00M
"Sept. 30, 2009",-795.00M
"June 30, 2009",-564.00M
"March 31, 2009",237.00M
"Dec. 31, 2008",-875.00M
"Sept. 30, 2008",-566.00M
"June 30, 2008",-143.00M
"March 31, 2008",112.00M
"Dec. 31, 2007",-985.00M
"Sept. 30, 2007",-186.00M
"June 30, 2007",-301.00M
"March 31, 2007",366.00M
"Dec. 31, 2006",-790.00M
"Sept. 30, 2006",-365.00M
"June 30, 2006",291.00M
"March 31, 2006",-207.00M
"Dec. 31, 2005",-519.00M
"Sept. 30, 2005",-334.00M
"June 30, 2005",-217.00M
"March 31, 2005",-195.00M
"Dec. 31, 2004",-143.00M
"Sept. 30, 2004",-294.00M
"June 30, 2004",-277.00M
"March 31, 2004",-209.00M
"Dec. 31, 2003",-210.00M
"Sept. 30, 2003",-383.00M
"June 30, 2003",-171.00M
"March 31, 2003",250.00M
"Dec. 31, 2002",-70.00M
"Sept. 30, 2002",-213.00M
"June 30, 2002",-228.00M
"March 31, 2002",-106.00M
"Dec. 31, 2001",-607.00M
"Sept. 30, 2001",-76.00M
"June 30, 2001",-162.00M
"March 31, 2001",-193.00M
"Dec. 31, 2000",-255.00M
"Sept. 30, 2000",-179.00M
"June 30, 2000",-112.00M
"March 31, 2000",-149.00M
"Dec. 31, 1999",-660.00M
"Sept. 30, 1999",-501.00M
"June 30, 1999",-1.679B
"March 31, 1999",-98.00M
"Dec. 31, 1998",-236.00M
"Sept. 30, 1998",-202.00M
"June 30, 1998",-325.00M
"March 31, 1998",-287.00M
"Dec. 31, 1997",-31.00M
"Sept. 30, 1997",-238.00M
"June 30, 1997",-279.00M
"March 31, 1997",-285.00M
"Dec. 31, 1996",-301.00M
"Sept. 30, 1996",-257.00M
"June 30, 1996",-446.00M
"March 31, 1996",-169.00M
"Dec. 31, 1995",-343.00M
"Sept. 30, 1995",-459.00M
"June 30, 1995",-522.00M
"March 31, 1995",30.00M
"Dec. 31, 1994",-344.00M
"Sept. 30, 1994",-568.00M
"June 30, 1994",35.00M
"March 31, 1994",66.00M
"Dec. 31, 1993",-502.00M
"Sept. 30, 1993",-480.00M
"June 30, 1993",-489.00M
"March 31, 1993",450.00M
"Dec. 31, 1992",-1.39B
"Sept. 30, 1992",-212.00M
"June 30, 1992",-147.00M
"March 31, 1992",259.00M
"Dec. 31, 1991",-2.006B
"Sept. 30, 1991",-543.00M
"June 30, 1991",-465.60M
"March 31, 1991",103.60M
"Dec. 31, 1990",-365.20M
"Sept. 30, 1990",-657.80M
"June 30, 1990",241.60M
"March 31, 1990",380.70M
