date,return_on_invested_capital
"Dec. 31, 2019",6.34%
"Sept. 30, 2019",6.00%
"June 30, 2019",6.51%
"March 31, 2019",7.21%
"Dec. 31, 2018",7.73%
"Sept. 30, 2018",7.94%
"June 30, 2018",8.56%
"March 31, 2018",7.74%
"Dec. 31, 2017",8.08%
"Sept. 30, 2017",9.36%
"June 30, 2017",9.84%
"March 31, 2017",9.87%
"Dec. 31, 2016",9.65%
"Sept. 30, 2016",13.89%
"June 30, 2016",13.61%
"March 31, 2016",13.98%
"Dec. 31, 2015",14.48%
"Sept. 30, 2015",10.79%
"June 30, 2015",11.68%
"March 31, 2015",11.97%
"Dec. 31, 2014",11.51%
"Sept. 30, 2014",11.54%
"June 30, 2014",10.98%
"March 31, 2014",10.95%
"Dec. 31, 2013",11.21%
"Sept. 30, 2013",12.29%
"June 30, 2013",12.59%
"March 31, 2013",12.99%
"Dec. 31, 2012",11.87%
"Sept. 30, 2012",10.93%
"June 30, 2012",11.86%
"March 31, 2012",12.56%
"Dec. 31, 2011",14.58%
"Sept. 30, 2011",14.09%
"June 30, 2011",13.91%
"March 31, 2011",13.51%
"Dec. 31, 2010",13.29%
"Sept. 30, 2010",13.14%
"June 30, 2010",13.14%
"March 31, 2010",13.16%
"Dec. 31, 2009",13.09%
"Sept. 30, 2009",13.22%
"June 30, 2009",13.62%
"March 31, 2009",14.29%
"Dec. 31, 2008",14.82%
"Sept. 30, 2008",14.34%
"June 30, 2008",14.46%
"March 31, 2008",14.65%
"Dec. 31, 2007",14.68%
"Sept. 30, 2007",14.34%
"June 30, 2007",13.86%
"March 31, 2007",13.93%
"Dec. 31, 2006",13.86%
"Sept. 30, 2006",13.13%
"June 30, 2006",12.93%
"March 31, 2006",13.19%
"Dec. 31, 2005",13.33%
"Sept. 30, 2005",14.14%
"June 30, 2005",14.37%
"March 31, 2005",14.40%
"Dec. 31, 2004",14.28%
"Sept. 30, 2004",14.88%
"June 30, 2004",15.24%
"March 31, 2004",14.86%
"Dec. 31, 2003",15.33%
"Sept. 30, 2003",15.59%
"June 30, 2003",15.85%
"March 31, 2003",16.20%
"Dec. 31, 2002",16.02%
"Sept. 30, 2002",14.70%
"June 30, 2002",14.36%
"March 31, 2002",14.42%
"Dec. 31, 2001",14.28%
"Sept. 30, 2001",15.28%
"June 30, 2001",15.14%
"March 31, 2001",15.23%
"Dec. 31, 2000",14.77%
"Sept. 30, 2000",12.12%
"June 30, 2000",8.97%
"March 31, 2000",15.19%
"Dec. 31, 1999",15.84%
"Sept. 30, 1999",20.55%
"June 30, 1999",26.53%
"March 31, 1999",19.13%
"Dec. 31, 1998",18.81%
"Sept. 30, 1998",18.49%
"June 30, 1998",17.99%
"March 31, 1998",17.05%
"Dec. 31, 1997",16.13%
"Sept. 30, 1997",15.87%
"June 30, 1997",15.41%
"March 31, 1997",14.71%
"Dec. 31, 1996",13.59%
"Sept. 30, 1996",13.19%
"June 30, 1996",12.52%
"March 31, 1996",11.76%
"Dec. 31, 1995",11.19%
"Sept. 30, 1995",10.12%
"June 30, 1995",9.69%
"March 31, 1995",8.92%
"Dec. 31, 1994",7.84%
"Sept. 30, 1994",8.48%
"June 30, 1994",7.87%
"March 31, 1994",7.21%
"Dec. 31, 1993",7.14%
"Sept. 30, 1993",-5.06%
"June 30, 1993",-4.98%
"March 31, 1993",-4.42%
"Dec. 31, 1992",-3.77%
"Sept. 30, 1992",-10.01%
"June 30, 1992",-9.93%
"March 31, 1992",-10.96%
"Dec. 31, 1991",-11.32%
"Sept. 30, 1991",4.03%
"June 30, 1991",5.34%
"March 31, 1991",7.19%
"Dec. 31, 1990",8.63%
"Sept. 30, 1990",9.12%
"June 30, 1990",8.72%
"March 31, 1990",8.92%
"Dec. 31, 1989",9.50%
