date,liabilities
"Dec. 31, 2019",95.48B
"Sept. 30, 2019",96.19B
"June 30, 2019",96.01B
"March 31, 2019",95.43B
"Dec. 31, 2018",93.60B
"Sept. 30, 2018",80.69B
"June 30, 2018",68.22B
"March 31, 2018",66.29B
"Dec. 31, 2017",65.50B
"Sept. 30, 2017",64.66B
"June 30, 2017",64.64B
"March 31, 2017",61.10B
"Dec. 31, 2016",60.54B
"Sept. 30, 2016",59.30B
"June 30, 2016",58.83B
"March 31, 2016",58.67B
"Dec. 31, 2015",58.64B
"Sept. 30, 2015",60.08B
"June 30, 2015",60.84B
"March 31, 2015",61.16B
"Dec. 31, 2014",58.64B
"Sept. 30, 2014",56.38B
"June 30, 2014",56.95B
"March 31, 2014",57.53B
"Dec. 31, 2013",57.38B
"Sept. 30, 2013",60.41B
"June 30, 2013",60.38B
"March 31, 2013",60.95B
"Dec. 31, 2012",62.34B
"Sept. 30, 2012",65.62B
"June 30, 2012",50.93B
"March 31, 2012",38.18B
"Dec. 31, 2011",38.63B
"Sept. 30, 2011",38.03B
"June 30, 2011",38.06B
"March 31, 2011",37.22B
"Dec. 31, 2010",35.84B
"Sept. 30, 2010",38.40B
"June 30, 2010",37.43B
"March 31, 2010",37.46B
"Dec. 31, 2009",34.37B
"Sept. 30, 2009",37.93B
"June 30, 2009",38.14B
"March 31, 2009",38.01B
"Dec. 31, 2008",40.16B
"Sept. 30, 2008",34.76B
"June 30, 2008",35.62B
"March 31, 2008",34.48B
"Dec. 31, 2007",32.31B
"Sept. 30, 2007",32.36B
"June 30, 2007",30.48B
"March 31, 2007",29.62B
"Dec. 31, 2006",29.01B
"Sept. 30, 2006",29.81B
"June 30, 2006",29.89B
"March 31, 2006",28.87B
"Dec. 31, 2005",28.16B
"Sept. 30, 2005",29.41B
"June 30, 2005",28.60B
"March 31, 2005",24.91B
"Dec. 31, 2004",25.26B
"Sept. 30, 2004",23.76B
"June 30, 2004",23.40B
"March 31, 2004",23.04B
"Dec. 31, 2003",22.86B
"Sept. 30, 2003",23.28B
"June 30, 2003",20.74B
"March 31, 2003",20.44B
"Dec. 31, 2002",20.25B
"Sept. 30, 2002",18.82B
"June 30, 2002",19.22B
"March 31, 2002",18.36B
"Dec. 31, 2001",18.09B
"Sept. 30, 2001",18.18B
"June 30, 2001",17.87B
"March 31, 2001",17.95B
"Dec. 31, 2000",17.20B
"Sept. 30, 2000",16.30B
"June 30, 2000",16.75B
"March 31, 2000",16.72B
"Dec. 31, 1999",16.27B
"Sept. 30, 1999",15.53B
"June 30, 1999",14.26B
"March 31, 1999",12.96B
"Dec. 31, 1998",12.51B
"Sept. 30, 1998",13.46B
"June 30, 1998",12.72B
"March 31, 1998",12.65B
"Dec. 31, 1997",11.57B
"Sept. 30, 1997",11.76B
"June 30, 1997",12.26B
"March 31, 1997",12.01B
"Dec. 31, 1996",11.53B
"Sept. 30, 1996",11.73B
"June 30, 1996",11.62B
"March 31, 1996",11.54B
"Dec. 31, 1995",11.07B
"Sept. 30, 1995",11.40B
"June 30, 1995",11.53B
"March 31, 1995",11.53B
"Dec. 31, 1994",11.13B
"Sept. 30, 1994",11.70B
"June 30, 1994",11.96B
"March 31, 1994",11.84B
"Dec. 31, 1993",11.48B
"Sept. 30, 1993",11.82B
"June 30, 1993",12.29B
"March 31, 1993",12.66B
"Dec. 31, 1992",12.06B
"Sept. 30, 1992",11.72B
"June 30, 1992",11.96B
"March 31, 1992",11.77B
"Dec. 31, 1991",11.56B
"Sept. 30, 1991",10.81B
"June 30, 1991",10.84B
"March 31, 1991",10.68B
"Dec. 31, 1990",10.17B
"Sept. 30, 1990",10.23B
"June 30, 1990",10.38B
"March 31, 1990",10.12B
"Dec. 31, 1989",9.582B
"Sept. 30, 1989",8.505B
"Dec. 31, 1988",7.926B
"Dec. 31, 1987",7.638B
"Dec. 31, 1986",7.290B
"Dec. 31, 1985",6.683B
"Dec. 31, 1984",6.262B
