date,enterprise_value
"March 19, 2020",111.28B
"March 18, 2020",107.50B
"March 17, 2020",119.14B
"March 16, 2020",117.49B
"March 13, 2020",130.02B
"March 12, 2020",127.51B
"March 11, 2020",131.85B
"March 10, 2020",142.12B
"March 9, 2020",138.65B
"March 6, 2020",148.28B
"March 5, 2020",148.24B
"March 4, 2020",159.16B
"March 3, 2020",153.52B
"March 2, 2020",154.74B
"Feb. 28, 2020",151.73B
"Feb. 27, 2020",153.10B
"Feb. 26, 2020",158.47B
"Feb. 25, 2020",158.84B
"Feb. 24, 2020",165.56B
"Feb. 21, 2020",169.84B
"Feb. 20, 2020",168.44B
"Feb. 19, 2020",169.11B
"Feb. 18, 2020",169.63B
"Feb. 14, 2020",171.52B
"Feb. 13, 2020",171.17B
"Feb. 12, 2020",173.01B
"Feb. 11, 2020",173.07B
"Feb. 10, 2020",174.19B
"Feb. 7, 2020",174.43B
"Feb. 6, 2020",173.89B
"Feb. 5, 2020",173.40B
"Feb. 4, 2020",171.12B
"Feb. 3, 2020",168.48B
"Jan. 31, 2020",168.70B
"Jan. 30, 2020",171.84B
"Jan. 29, 2020",170.82B
"Jan. 28, 2020",170.85B
"Jan. 27, 2020",169.27B
"Jan. 24, 2020",171.14B
"Jan. 23, 2020",171.67B
"Jan. 22, 2020",171.66B
"Jan. 21, 2020",172.25B
"Jan. 17, 2020",172.19B
"Jan. 16, 2020",171.45B
"Jan. 15, 2020",170.08B
"Jan. 14, 2020",169.71B
"Jan. 13, 2020",170.15B
"Jan. 10, 2020",169.99B
"Jan. 9, 2020",171.54B
"Jan. 8, 2020",171.34B
"Jan. 7, 2020",171.14B
"Jan. 6, 2020",171.56B
"Jan. 3, 2020",171.28B
"Jan. 2, 2020",171.10B
"Dec. 31, 2019",168.17B
"Dec. 30, 2019",169.00B
"Dec. 27, 2019",169.35B
"Dec. 26, 2019",169.72B
"Dec. 24, 2019",168.73B
"Dec. 23, 2019",168.95B
"Dec. 20, 2019",168.66B
"Dec. 19, 2019",167.99B
"Dec. 18, 2019",167.13B
"Dec. 17, 2019",167.91B
"Dec. 16, 2019",168.64B
"Dec. 13, 2019",168.30B
"Dec. 12, 2019",168.60B
"Dec. 11, 2019",166.75B
"Dec. 10, 2019",165.11B
"Dec. 9, 2019",165.84B
"Dec. 6, 2019",166.51B
"Dec. 5, 2019",165.01B
"Dec. 4, 2019",164.37B
"Dec. 3, 2019",163.69B
"Dec. 2, 2019",164.78B
"Nov. 29, 2019",167.67B
"Nov. 27, 2019",168.09B
"Nov. 26, 2019",167.48B
"Nov. 25, 2019",166.96B
"Nov. 22, 2019",167.12B
"Nov. 21, 2019",166.77B
"Nov. 20, 2019",166.21B
"Nov. 19, 2019",167.70B
"Nov. 18, 2019",168.34B
"Nov. 15, 2019",168.55B
"Nov. 14, 2019",167.47B
"Nov. 13, 2019",167.65B
"Nov. 12, 2019",167.71B
"Nov. 11, 2019",167.57B
"Nov. 8, 2019",168.14B
"Nov. 7, 2019",168.01B
"Nov. 6, 2019",167.65B
"Nov. 5, 2019",167.25B
"Nov. 4, 2019",166.95B
"Nov. 1, 2019",166.24B
"Oct. 31, 2019",163.56B
"Oct. 30, 2019",163.79B
"Oct. 29, 2019",162.20B
"Oct. 28, 2019",163.10B
"Oct. 25, 2019",163.03B
"Oct. 24, 2019",163.44B
"Oct. 23, 2019",160.39B
"Oct. 22, 2019",161.69B
"Oct. 21, 2019",159.05B
"Oct. 18, 2019",157.71B
"Oct. 17, 2019",158.89B
"Oct. 16, 2019",157.63B
"Oct. 15, 2019",157.15B
"Oct. 14, 2019",156.95B
"Oct. 11, 2019",157.15B
"Oct. 10, 2019",155.22B
"Oct. 9, 2019",153.53B
"Oct. 8, 2019",152.52B
"Oct. 7, 2019",154.16B
"Oct. 4, 2019",154.61B
"Oct. 3, 2019",152.88B
"Oct. 2, 2019",152.24B
"Oct. 1, 2019",155.11B
"Sept. 30, 2019",157.47B
"Sept. 27, 2019",158.37B
"Sept. 26, 2019",159.36B
"Sept. 25, 2019",158.75B
"Sept. 24, 2019",157.59B
"Sept. 23, 2019",157.75B
"Sept. 20, 2019",157.67B
"Sept. 19, 2019",159.36B
"Sept. 18, 2019",159.47B
"Sept. 17, 2019",159.08B
"Sept. 16, 2019",159.83B
"Sept. 13, 2019",159.81B
"Sept. 12, 2019",159.30B
"Sept. 11, 2019",157.99B
"Sept. 10, 2019",156.23B
"Sept. 9, 2019",156.37B
"Sept. 6, 2019",156.01B
"Sept. 5, 2019",155.44B
"Sept. 4, 2019",153.73B
"Sept. 3, 2019",151.93B
"Aug. 30, 2019",153.03B
"Aug. 29, 2019",152.40B
"Aug. 28, 2019",150.12B
"Aug. 27, 2019",148.14B
"Aug. 26, 2019",148.93B
"Aug. 23, 2019",147.15B
"Aug. 22, 2019",151.06B
"Aug. 21, 2019",150.52B
"Aug. 20, 2019",149.96B
"Aug. 19, 2019",149.92B
"Aug. 16, 2019",148.55B
"Aug. 15, 2019",147.42B
"Aug. 14, 2019",147.90B
"Aug. 13, 2019",151.92B
"Aug. 12, 2019",151.11B
"Aug. 9, 2019",153.89B
"Aug. 8, 2019",154.10B
"Aug. 7, 2019",151.97B
"Aug. 6, 2019",151.79B
"Aug. 5, 2019",149.16B
"Aug. 2, 2019",153.52B
"Aug. 1, 2019",154.41B
"July 31, 2019",155.93B
"July 30, 2019",157.40B
"July 29, 2019",157.76B
"July 26, 2019",157.68B
"July 25, 2019",158.31B
"July 24, 2019",156.49B
"July 23, 2019",157.09B
"July 22, 2019",155.37B
"July 19, 2019",154.89B
"July 18, 2019",153.94B
"July 17, 2019",152.91B
"July 16, 2019",155.58B
"July 15, 2019",155.61B
"July 12, 2019",156.03B
"July 11, 2019",153.98B
"July 10, 2019",153.21B
"July 9, 2019",153.16B
"July 8, 2019",153.57B
"July 5, 2019",155.01B
"July 3, 2019",155.41B
"July 2, 2019",154.51B
"July 1, 2019",153.98B
"June 30, 2019",153.00B
"June 28, 2019",153.50B
"June 27, 2019",152.44B
"June 26, 2019",151.40B
"June 25, 2019",152.49B
"June 24, 2019",153.49B
"June 21, 2019",152.25B
"June 20, 2019",153.36B
"June 19, 2019",150.54B
"June 18, 2019",150.42B
"June 17, 2019",148.35B
"June 14, 2019",149.28B
"June 13, 2019",148.85B
"June 12, 2019",148.21B
"June 11, 2019",147.24B
"June 10, 2019",151.61B
"June 7, 2019",155.19B
"June 6, 2019",154.77B
"June 5, 2019",154.51B
"June 4, 2019",152.71B
"June 3, 2019",150.54B
"May 31, 2019",150.06B
"May 30, 2019",151.87B
"May 29, 2019",152.79B
"May 28, 2019",153.18B
"May 24, 2019",154.46B
"May 23, 2019",153.64B
"May 22, 2019",157.92B
"May 21, 2019",158.45B
"May 20, 2019",156.25B
"May 17, 2019",156.49B
"May 16, 2019",157.78B
"May 15, 2019",156.68B
"May 14, 2019",156.68B
"May 13, 2019",154.94B
"May 10, 2019",159.43B
"May 9, 2019",159.17B
"May 8, 2019",159.35B
"May 7, 2019",157.94B
"May 6, 2019",162.05B
"May 3, 2019",163.28B
"May 2, 2019",161.70B
"May 1, 2019",163.24B
"April 30, 2019",164.13B
"April 29, 2019",163.70B
"April 26, 2019",162.55B
"April 25, 2019",161.64B
"April 24, 2019",161.52B
"April 23, 2019",161.89B
"April 22, 2019",159.21B
"April 18, 2019",159.29B
"April 17, 2019",158.24B
"April 16, 2019",157.86B
"April 15, 2019",157.18B
"April 12, 2019",157.82B
"April 11, 2019",155.68B
"April 10, 2019",154.68B
"April 9, 2019",155.19B
"April 8, 2019",156.32B
"April 5, 2019",156.46B
"April 4, 2019",155.58B
"April 3, 2019",154.38B
"April 2, 2019",154.89B
"April 1, 2019",156.00B
"March 31, 2019",152.29B
"March 29, 2019",152.70B
"March 28, 2019",151.30B
"March 27, 2019",150.46B
"March 26, 2019",150.32B
"March 25, 2019",149.69B
"March 22, 2019",149.47B
"March 21, 2019",150.96B
"March 20, 2019",149.61B
"March 19, 2019",150.64B
"March 18, 2019",150.98B
"March 15, 2019",150.13B
"March 14, 2019",150.97B
"March 13, 2019",150.75B
"March 12, 2019",149.06B
"March 11, 2019",150.21B
"March 8, 2019",148.50B
"March 7, 2019",148.87B
"March 6, 2019",149.68B
"March 5, 2019",150.15B
"March 4, 2019",149.98B
"March 1, 2019",150.00B
"Feb. 28, 2019",149.92B
"Feb. 27, 2019",150.90B
"Feb. 26, 2019",151.15B
"Feb. 25, 2019",152.09B
"Feb. 22, 2019",151.65B
"Feb. 21, 2019",150.41B
"Feb. 20, 2019",152.22B
"Feb. 19, 2019",152.40B
"Feb. 15, 2019",151.65B
"Feb. 14, 2019",148.52B
"Feb. 13, 2019",148.77B
"Feb. 12, 2019",148.39B
"Feb. 11, 2019",147.30B
"Feb. 8, 2019",147.10B
"Feb. 7, 2019",145.58B
"Feb. 6, 2019",146.13B
"Feb. 5, 2019",145.62B
"Feb. 4, 2019",144.22B
"Feb. 1, 2019",144.08B
"Jan. 31, 2019",143.30B
"Jan. 30, 2019",144.17B
