date,net_income_cs_rev
"Dec. 31, 2019",5.85%
"Sept. 30, 2019",5.89%
"June 30, 2019",9.68%
"March 31, 2019",7.33%
"Dec. 31, 2018",3.80%
"Sept. 30, 2018",7.50%
"June 30, 2018",12.26%
"March 31, 2018",8.51%
"Dec. 31, 2017",2.53%
"Sept. 30, 2017",8.83%
"June 30, 2017",9.42%
"March 31, 2017",10.03%
"Dec. 31, 2016",6.91%
"Sept. 30, 2016",10.31%
"June 30, 2016",9.27%
"March 31, 2016",8.86%
"Dec. 31, 2015",22.92%
"Sept. 30, 2015",9.88%
"June 30, 2015",10.50%
"March 31, 2015",10.71%
"Dec. 31, 2014",9.83%
"Sept. 30, 2014",12.69%
"June 30, 2014",9.77%
"March 31, 2014",8.23%
"Dec. 31, 2013",13.63%
"Sept. 30, 2013",9.26%
"June 30, 2013",9.75%
"March 31, 2013",8.79%
"Dec. 31, 2012",12.51%
"Sept. 30, 2012",9.41%
"June 30, 2012",9.62%
"March 31, 2012",2.66%
"Dec. 31, 2011",9.22%
"Sept. 30, 2011",9.30%
"June 30, 2011",9.11%
"March 31, 2011",7.98%
"Dec. 31, 2010",9.36%
"Sept. 30, 2010",8.80%
"June 30, 2010",8.04%
"March 31, 2010",7.19%
"Dec. 31, 2009",7.89%
"Sept. 30, 2009",7.91%
"June 30, 2009",7.40%
"March 31, 2009",5.89%
"Dec. 31, 2008",7.75%
"Sept. 30, 2008",8.41%
"June 30, 2008",8.00%
"March 31, 2008",7.16%
"Dec. 31, 2007",7.20%
"Sept. 30, 2007",8.63%
"June 30, 2007",8.26%
"March 31, 2007",6.67%
"Dec. 31, 2006",6.76%
"Sept. 30, 2006",8.19%
"June 30, 2006",8.99%
"March 31, 2006",7.24%
"Dec. 31, 2005",5.56%
"Sept. 30, 2005",7.53%
"June 30, 2005",8.71%
"March 31, 2005",6.92%
"Dec. 31, 2004",5.89%
"Sept. 30, 2004",7.42%
"June 30, 2004",8.49%
"March 31, 2004",6.37%
"Dec. 31, 2003",6.85%
"Sept. 30, 2003",8.03%
"June 30, 2003",8.11%
"March 31, 2003",7.49%
"Dec. 31, 2002",7.39%
"Sept. 30, 2002",8.38%
"June 30, 2002",8.52%
"March 31, 2002",7.33%
"Dec. 31, 2001",4.95%
"Sept. 30, 2001",8.16%
"June 30, 2001",8.02%
"March 31, 2001",6.60%
"Dec. 31, 2000",6.03%
"Sept. 30, 2000",7.82%
"June 30, 2000",7.41%
"March 31, 2000",5.98%
"Dec. 31, 1999",0.87%
"Sept. 30, 1999",1.48%
"June 30, 1999",18.00%
"March 31, 1999",5.72%
"Dec. 31, 1998",4.78%
"Sept. 30, 1998",6.09%
"June 30, 1998",6.16%
"March 31, 1998",4.98%
"Dec. 31, 1997",8.69%
"Sept. 30, 1997",5.05%
"June 30, 1997",4.73%
"March 31, 1997",3.81%
"Dec. 31, 1996",4.14%
"Sept. 30, 1996",4.30%
"June 30, 1996",4.32%
"March 31, 1996",3.07%
"Dec. 31, 1995",3.15%
"Sept. 30, 1995",3.75%
"June 30, 1995",3.78%
"March 31, 1995",2.54%
"Dec. 31, 1994",2.01%
"Sept. 30, 1994",3.78%
"June 30, 1994",3.24%
"March 31, 1994",1.41%
"Dec. 31, 1993",2.50%
"Sept. 30, 1993",3.11%
"June 30, 1993",2.36%
"March 31, 1993",1.35%
"Dec. 31, 1992",-13.12%
"Sept. 30, 1992",2.64%
"June 30, 1992",2.89%
"March 31, 1992",2.11%
"Dec. 31, 1991",-22.73%
"Sept. 30, 1991",2.27%
"June 30, 1991",0.81%
"March 31, 1991",0.84%
"Dec. 31, 1990",2.84%
"Sept. 30, 1990",4.49%
"June 30, 1990",3.65%
"March 31, 1990",2.84%
"Dec. 31, 1989",3.57%
"Sept. 30, 1989",4.18%
"June 30, 1989",3.74%
"March 31, 1989",2.77%
"Dec. 31, 1988",2.91%
"Sept. 30, 1988",4.36%
"June 30, 1988",4.50%
"March 31, 1988",2.97%
"Dec. 31, 1987",3.64%
"Sept. 30, 1987",3.92%
"June 30, 1987",3.64%
"March 31, 1987",2.49%
"Dec. 31, 1986",-5.74%
"Sept. 30, 1986",2.81%
"June 30, 1986",1.62%
"March 31, 1986",3.64%
"Dec. 31, 1985",3.95%
"Sept. 30, 1985",-1.34%
"June 30, 1985",1.45%
"March 31, 1985",3.82%
"Dec. 31, 1984",3.42%
"Sept. 30, 1984",4.96%
"June 30, 1984",4.04%
"March 31, 1984",3.43%
