date,cash_financing_ttm
"Dec. 31, 2019",-4.564B
"Sept. 30, 2019",-5.768B
"June 30, 2019",6.41B
"March 31, 2019",7.798B
"Dec. 31, 2018",7.965B
"Sept. 30, 2018",10.14B
"June 30, 2018",-1.152B
"March 31, 2018",-974.00M
"Dec. 31, 2017",-993.00M
"Sept. 30, 2017",-1.278B
"June 30, 2017",-2.154B
"March 31, 2017",-4.147B
"Dec. 31, 2016",-1.188B
"Sept. 30, 2016",-9.126B
"June 30, 2016",-8.325B
"March 31, 2016",-7.371B
"Dec. 31, 2015",-10.78B
"Sept. 30, 2015",-3.05B
"June 30, 2015",-3.964B
"March 31, 2015",-4.65B
"Dec. 31, 2014",-4.261B
"Sept. 30, 2014",-4.787B
"June 30, 2014",-4.796B
"March 31, 2014",-5.916B
"Dec. 31, 2013",-5.94B
"Sept. 30, 2013",-10.19B
"June 30, 2013",-4.343B
"March 31, 2013",7.841B
"Dec. 31, 2012",8.021B
"Sept. 30, 2012",12.39B
"June 30, 2012",6.481B
"March 31, 2012",-3.965B
"Dec. 31, 2011",-4.005B
"Sept. 30, 2011",-5.255B
"June 30, 2011",-4.667B
"March 31, 2011",-5.35B
"Dec. 31, 2010",-3.153B
"Sept. 30, 2010",-1.591B
"June 30, 2010",-2.001B
"March 31, 2010",-1.664B
"Dec. 31, 2009",-4.191B
"Sept. 30, 2009",-2.91B
"June 30, 2009",-3.411B
"March 31, 2009",-3.148B
"Dec. 31, 2008",-2.238B
"Sept. 30, 2008",-3.189B
"June 30, 2008",-1.876B
"March 31, 2008",-1.877B
"Dec. 31, 2007",-1.955B
"Sept. 30, 2007",-2.468B
"June 30, 2007",-3.512B
"March 31, 2007",-3.235B
"Dec. 31, 2006",-3.342B
"Sept. 30, 2006",-2.034B
"June 30, 2006",-621.00M
"March 31, 2006",827.00M
"Dec. 31, 2005",335.00M
"Sept. 30, 2005",534.00M
"June 30, 2005",140.00M
"March 31, 2005",-1.716B
"Dec. 31, 2004",-1.299B
"Sept. 30, 2004",-1.797B
"June 30, 2004",-2.229B
"March 31, 2004",-1.932B
"Dec. 31, 2003",-1.696B
"Sept. 30, 2003",-1.845B
"June 30, 2003",-1.299B
"March 31, 2003",-1.062B
"Dec. 31, 2002",-1.251B
"Sept. 30, 2002",-1.174B
"June 30, 2002",-970.00M
"March 31, 2002",-1.211B
"Dec. 31, 2001",-860.00M
"Sept. 30, 2001",-20.00M
"June 30, 2001",-331.00M
"March 31, 2001",-311.00M
"Dec. 31, 2000",-582.00M
"Sept. 30, 2000",-473.00M
"June 30, 2000",248.00M
"March 31, 2000",27.00M
"Dec. 31, 1999",375.00M
"Sept. 30, 1999",-169.00M
"June 30, 1999",-307.00M
"March 31, 1999",-234.00M
"Dec. 31, 1998",-335.00M
"Sept. 30, 1998",-557.00M
"June 30, 1998",-1.179B
"March 31, 1998",-1.142B
"Dec. 31, 1997",-1.197B
"Sept. 30, 1997",-1.161B
"June 30, 1997",-996.00M
"March 31, 1997",-1.134B
"Dec. 31, 1996",-1.03B
"Sept. 30, 1996",-805.00M
"June 30, 1996",-945.00M
"March 31, 1996",-1.03B
"Dec. 31, 1995",-874.00M
"Sept. 30, 1995",-1.413B
"June 30, 1995",-1.605B
"March 31, 1995",-1.185B
"Dec. 31, 1994",-1.098B
"Sept. 30, 1994",-692.00M
"June 30, 1994",-483.00M
"March 31, 1994",-851.00M
"Dec. 31, 1993",-379.00M
"Sept. 30, 1993",-482.00M
"June 30, 1993",-260.00M
"March 31, 1993",82.00M
"Dec. 31, 1992",-435.00M
"Sept. 30, 1992",-657.80M
"June 30, 1992",-833.30M
"March 31, 1992",-839.10M
"Dec. 31, 1991",-517.00M
"Sept. 30, 1991",-90.60M
"June 30, 1991",-484.50M
"March 31, 1991",-295.20M
"Dec. 31, 1990",-254.80M
