date,revenues_ttm
"Dec. 31, 2019",77.05B
"Sept. 30, 2019",75.54B
"June 30, 2019",72.55B
"March 31, 2019",69.62B
"Dec. 31, 2018",66.50B
"Sept. 30, 2018",64.14B
"June 30, 2018",62.69B
"March 31, 2018",61.26B
"Dec. 31, 2017",59.84B
"Sept. 30, 2017",58.82B
"June 30, 2017",58.11B
"March 31, 2017",57.70B
"Dec. 31, 2016",57.24B
"Sept. 30, 2016",56.88B
"June 30, 2016",56.32B
"March 31, 2016",56.14B
"Dec. 31, 2015",56.10B
"Sept. 30, 2015",56.78B
"June 30, 2015",57.60B
"March 31, 2015",60.10B
"Dec. 31, 2014",61.53B
"Sept. 30, 2014",57.28B
"June 30, 2014",58.13B
"March 31, 2014",56.95B
"Dec. 31, 2013",56.60B
"Sept. 30, 2013",62.31B
"June 30, 2013",61.89B
"March 31, 2013",59.69B
"Dec. 31, 2012",57.71B
"Sept. 30, 2012",55.64B
"June 30, 2012",54.84B
"March 31, 2012",55.50B
"Dec. 31, 2011",55.76B
"Sept. 30, 2011",54.20B
"June 30, 2011",53.58B
"March 31, 2011",52.92B
"Dec. 31, 2010",52.28B
"Sept. 30, 2010",53.07B
"June 30, 2010",52.82B
"March 31, 2010",52.22B
"Dec. 31, 2009",52.42B
"Sept. 30, 2009",53.59B
"June 30, 2009",55.30B
"March 31, 2009",58.05B
"Dec. 31, 2008",59.76B
"Sept. 30, 2008",59.70B
"June 30, 2008",58.48B
"March 31, 2008",56.44B
"Dec. 31, 2007",54.76B
"Sept. 30, 2007",52.83B
"June 30, 2007",51.13B
"March 31, 2007",49.49B
"Dec. 31, 2006",47.83B
"Sept. 30, 2006",46.30B
"June 30, 2006",45.04B
"March 31, 2006",43.93B
"Dec. 31, 2005",42.72B
"Sept. 30, 2005",41.85B
"June 30, 2005",40.28B
"March 31, 2005",38.75B
"Dec. 31, 2004",37.99B
"Sept. 30, 2004",36.20B
"June 30, 2004",34.81B
"March 31, 2004",32.98B
"Dec. 31, 2003",31.03B
"Sept. 30, 2003",29.66B
"June 30, 2003",29.01B
"March 31, 2003",28.54B
"Dec. 31, 2002",28.21B
"Sept. 30, 2002",27.97B
"June 30, 2002",27.59B
"March 31, 2002",27.60B
"Dec. 31, 2001",27.90B
"Sept. 30, 2001",27.99B
"June 30, 2001",27.41B
"March 31, 2001",26.95B
"Dec. 31, 2000",26.58B
"Sept. 30, 2000",25.93B
"June 30, 2000",25.66B
"March 31, 2000",24.77B
"Dec. 31, 1999",23.84B
"Sept. 30, 1999",23.44B
"June 30, 1999",23.08B
"March 31, 1999",22.95B
"Dec. 31, 1998",22.79B
"Sept. 30, 1998",19.59B
"June 30, 1998",19.81B
"March 31, 1998",20.40B
"Dec. 31, 1997",21.06B
"Sept. 30, 1997",23.78B
"June 30, 1997",23.76B
"March 31, 1997",23.33B
"Dec. 31, 1996",22.79B
"Sept. 30, 1996",23.19B
"June 30, 1996",22.88B
"March 31, 1996",22.65B
"Dec. 31, 1995",22.62B
"Sept. 30, 1995",22.31B
"June 30, 1995",21.84B
"March 31, 1995",21.37B
"Dec. 31, 1994",20.80B
"Sept. 30, 1994",20.63B
"June 30, 1994",20.55B
"March 31, 1994",20.76B
"Dec. 31, 1993",20.74B
"Sept. 30, 1993",20.65B
"June 30, 1993",20.97B
"March 31, 1993",21.20B
"Dec. 31, 1992",21.64B
"Sept. 30, 1992",21.66B
"June 30, 1992",21.56B
"March 31, 1992",21.20B
"Dec. 31, 1991",20.84B
"Sept. 30, 1991",21.40B
"June 30, 1991",21.47B
"March 31, 1991",21.79B
"Dec. 31, 1990",21.71B
"Sept. 30, 1990",20.94B
"June 30, 1990",20.30B
"March 31, 1990",19.88B
"Dec. 31, 1989",19.62B
"Sept. 30, 1989",19.62B
"June 30, 1989",19.27B
"March 31, 1989",18.36B
"Dec. 31, 1988",18.00B
"Sept. 30, 1988",17.56B
"June 30, 1988",17.42B
"March 31, 1988",17.34B
"Dec. 31, 1987",17.17B
"Sept. 30, 1987",16.84B
"June 30, 1987",16.47B
"March 31, 1987",16.19B
"Dec. 31, 1986",15.76B
"Sept. 30, 1986",15.56B
"June 30, 1986",15.12B
"March 31, 1986",14.89B
"Dec. 31, 1985",14.99B
"Sept. 30, 1985",15.17B
"June 30, 1985",15.64B
"March 31, 1985",16.05B
"Dec. 31, 1984",16.33B
