date,cash_operations_ttm
"Dec. 31, 2019",7.375B
"Sept. 30, 2019",7.866B
"June 30, 2019",7.865B
"March 31, 2019",7.608B
"Dec. 31, 2018",7.669B
"Sept. 30, 2018",6.59B
"June 30, 2018",5.272B
"March 31, 2018",5.365B
"Dec. 31, 2017",4.861B
"Sept. 30, 2017",4.356B
"June 30, 2017",3.92B
"March 31, 2017",3.20B
"Dec. 31, 2016",3.384B
"Sept. 30, 2016",3.433B
"June 30, 2016",3.803B
"March 31, 2016",3.479B
"Dec. 31, 2015",3.351B
"Sept. 30, 2015",5.252B
"June 30, 2015",6.87B
"March 31, 2015",8.932B
"Dec. 31, 2014",11.07B
"Sept. 30, 2014",11.19B
"June 30, 2014",12.12B
"March 31, 2014",12.76B
"Dec. 31, 2013",12.78B
"Sept. 30, 2013",12.59B
"June 30, 2013",11.57B
"March 31, 2013",11.25B
"Dec. 31, 2012",11.30B
"Sept. 30, 2012",12.14B
"June 30, 2012",12.68B
"March 31, 2012",12.82B
"Dec. 31, 2011",12.28B
"Sept. 30, 2011",11.46B
"June 30, 2011",10.81B
"March 31, 2011",9.561B
"Dec. 31, 2010",9.566B
"Sept. 30, 2010",8.708B
"June 30, 2010",7.927B
"March 31, 2010",7.254B
"Dec. 31, 2009",5.807B
"Sept. 30, 2009",6.359B
"June 30, 2009",7.822B
"March 31, 2009",8.745B
"Dec. 31, 2008",10.65B
"Sept. 30, 2008",10.61B
"June 30, 2008",8.881B
"March 31, 2008",7.863B
"Dec. 31, 2007",6.798B
"Sept. 30, 2007",5.869B
"June 30, 2007",6.201B
"March 31, 2007",5.954B
"Dec. 31, 2006",6.353B
"Sept. 30, 2006",6.382B
"June 30, 2006",6.084B
"March 31, 2006",6.124B
"Dec. 31, 2005",5.337B
"Sept. 30, 2005",4.93B
"June 30, 2005",4.879B
"March 31, 2005",4.147B
"Dec. 31, 2004",3.878B
"Sept. 30, 2004",3.523B
"June 30, 2004",2.96B
"March 31, 2004",3.365B
"Dec. 31, 2003",3.074B
"Sept. 30, 2003",2.832B
"June 30, 2003",2.656B
"March 31, 2003",2.585B
"Dec. 31, 2002",2.10B
"Sept. 30, 2002",1.884B
"June 30, 2002",2.167B
"March 31, 2002",1.934B
"Dec. 31, 2001",2.566B
"Sept. 30, 2001",2.915B
"June 30, 2001",2.788B
"March 31, 2001",2.874B
"Dec. 31, 2000",2.401B
"Sept. 30, 2000",2.233B
"June 30, 2000",1.787B
"March 31, 2000",1.33B
"Dec. 31, 1999",1.044B
"Sept. 30, 1999",755.00M
"June 30, 1999",519.00M
"March 31, 1999",334.00M
"Dec. 31, 1998",80.00M
"Sept. 30, 1998",342.00M
"June 30, 1998",543.00M
"March 31, 1998",922.00M
"Dec. 31, 1997",1.371B
"Sept. 30, 1997",1.60B
"June 30, 1997",1.809B
"March 31, 1997",1.952B
"Dec. 31, 1996",1.987B
"Sept. 30, 1996",1.847B
"June 30, 1996",1.552B
"March 31, 1996",1.508B
"Dec. 31, 1995",1.501B
"Sept. 30, 1995",1.342B
"June 30, 1995",1.361B
"March 31, 1995",1.084B
"Dec. 31, 1994",760.00M
"Sept. 30, 1994",642.00M
"June 30, 1994",461.00M
"March 31, 1994",428.00M
"Dec. 31, 1993",608.00M
"Sept. 30, 1993",943.00M
"June 30, 1993",969.00M
"March 31, 1993",930.00M
"Dec. 31, 1992",550.00M
"Sept. 30, 1992",357.00M
"June 30, 1992",427.00M
"March 31, 1992",526.00M
"Dec. 31, 1991",727.00M
"Sept. 30, 1991",1.398B
"June 30, 1991",1.359B
"March 31, 1991",1.462B
"Dec. 31, 1990",1.526B
