date,springate_score
"Dec. 31, 2019",0.3104
"Sept. 30, 2019",0.5149
"June 30, 2019",1.063
"March 31, 2019",1.102
"Dec. 31, 2018",1.162
"Sept. 30, 2018",1.094
"June 30, 2018",0.7222
"March 31, 2018",0.6204
"Dec. 31, 2017",0.4514
"Sept. 30, 2017",0.2731
"June 30, 2017",0.1919
"March 31, 2017",0.0208
"Dec. 31, 2016",-0.1134
"Sept. 30, 2016",-1.142
"June 30, 2016",-1.509
"March 31, 2016",-1.390
"Dec. 31, 2015",-1.253
"Sept. 30, 2015",
"June 30, 2015",
"March 31, 2015",
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",
"March 31, 2014",1.104
"Dec. 31, 2013",1.166
"Sept. 30, 2013",0.9703
"June 30, 2013",0.9328
"March 31, 2013",0.9326
"Dec. 31, 2012",1.005
"Sept. 30, 2012",1.499
"June 30, 2012",
"March 31, 2012",
"Dec. 31, 2011",1.718
"Sept. 30, 2011",1.692
"June 30, 2011",1.584
"March 31, 2011",1.468
"Dec. 31, 2010",1.496
"Sept. 30, 2010",1.584
"June 30, 2010",1.539
"March 31, 2010",1.423
"Dec. 31, 2009",1.233
"Sept. 30, 2009",0.9291
"June 30, 2009",1.298
