date,cash_financing_ttm
"Dec. 31, 2019",22.19B
"Sept. 30, 2019",23.78B
"June 30, 2019",-3.853B
"March 31, 2019",-3.812B
"Dec. 31, 2018",-3.102B
"Sept. 30, 2018",-2.789B
"June 30, 2018",-1.974B
"March 31, 2018",-1.875B
"Dec. 31, 2017",-2.343B
"Sept. 30, 2017",-2.03B
"June 30, 2017",-2.026B
"March 31, 2017",-1.297B
"Dec. 31, 2016",-802.00M
"Sept. 30, 2016",-519.00M
"June 30, 2016",60.00M
"March 31, 2016",1.398B
"Dec. 31, 2015",1.484B
"Sept. 30, 2015",1.156B
"June 30, 2015",1.766B
"March 31, 2015",-808.00M
"Dec. 31, 2014",-2.202B
"Sept. 30, 2014",-3.814B
"June 30, 2014",-4.962B
"March 31, 2014",-4.349B
"Dec. 31, 2013",-2.933B
"Sept. 30, 2013",-2.184B
"June 30, 2013",-2.128B
"March 31, 2013",-444.00M
"Dec. 31, 2012",-846.00M
"Sept. 30, 2012",-135.00M
"June 30, 2012",1.515B
"March 31, 2012",-587.00M
"Dec. 31, 2011",-1.175B
"Sept. 30, 2011",1.548B
"June 30, 2011",62.00M
"March 31, 2011",615.00M
"Dec. 31, 2010",1.083B
"Sept. 30, 2010",-1.423B
"June 30, 2010",-2.088B
"March 31, 2010",-1.26B
"Dec. 31, 2009",-1.033B
"Sept. 30, 2009",-196.00M
"June 30, 2009",-12.00M
"March 31, 2009",-1.128B
"Dec. 31, 2008",-1.51B
"Sept. 30, 2008",-2.692B
"June 30, 2008",-2.375B
"March 31, 2008",-2.382B
"Dec. 31, 2007",-3.045B
"Sept. 30, 2007",-3.067B
"June 30, 2007",-2.997B
"March 31, 2007",-3.852B
"Dec. 31, 2006",-2.819B
"Sept. 30, 2006",-2.312B
"June 30, 2006",-2.393B
"March 31, 2006",-969.00M
"Dec. 31, 2005",-1.188B
"Sept. 30, 2005",-1.124B
"June 30, 2005",-819.00M
"March 31, 2005",-846.00M
"Dec. 31, 2004",-818.00M
"Sept. 30, 2004",-844.00M
"June 30, 2004",-710.00M
"March 31, 2004",-735.00M
"Dec. 31, 2003",-516.00M
"Sept. 30, 2003",-349.00M
"June 30, 2003",-616.00M
"March 31, 2003",-592.00M
"Dec. 31, 2002",-456.00M
"Sept. 30, 2002",-793.00M
"June 30, 2002",-1.432B
"March 31, 2002",-1.606B
"Dec. 31, 2001",-1.814B
"Sept. 30, 2001",-2.334B
"June 30, 2001",-2.12B
"March 31, 2001",206.00M
"Dec. 31, 2000",579.00M
"Sept. 30, 2000",300.00M
"June 30, 2000",716.00M
"March 31, 2000",-1.565B
"Dec. 31, 1999",-2.517B
"Sept. 30, 1999",-1.508B
"June 30, 1999",-1.149B
"March 31, 1999",-1.752B
"Dec. 31, 1998",1.119B
"Sept. 30, 1998",1.11B
"June 30, 1998",970.00M
"March 31, 1998",1.832B
"Dec. 31, 1997",-90.00M
"Sept. 30, 1997",-332.00M
"June 30, 1997",-596.00M
"March 31, 1997",-810.00M
"Dec. 31, 1996",-1.33B
"Sept. 30, 1996",-1.108B
"June 30, 1996",-846.00M
"March 31, 1996",-1.227B
"Dec. 31, 1995",-974.00M
"Sept. 30, 1995",-888.00M
"June 30, 1995",-834.00M
"March 31, 1995",-274.00M
"Dec. 31, 1994",219.00M
"Sept. 30, 1994",238.00M
"June 30, 1994",379.00M
"March 31, 1994",594.00M
"Dec. 31, 1993",340.00M
"Sept. 30, 1993",-349.00M
"June 30, 1993",-222.00M
"March 31, 1993",-303.00M
"Dec. 31, 1992",-317.00M
"Sept. 30, 1992",-645.00M
"June 30, 1992",-2.466B
"March 31, 1992",-2.567B
"Dec. 31, 1991",-2.387B
"Sept. 30, 1991",-2.113B
"June 30, 1991",-313.00M
"March 31, 1991",-319.00M
"Dec. 31, 1990",-343.00M
