date,times_interest_earned
"Dec. 31, 2019",1.274
"Sept. 30, 2019",4.931
"June 30, 2019",21.26
"March 31, 2019",27.59
"Dec. 31, 2018",23.15
"Sept. 30, 2018",21.51
"June 30, 2018",11.57
"March 31, 2018",9.874
"Dec. 31, 2017",6.801
"Sept. 30, 2017",2.978
"June 30, 2017",0.575
"March 31, 2017",-3.743
"Dec. 31, 2016",-8.350
"Sept. 30, 2016",-43.87
"June 30, 2016",-70.35
"March 31, 2016",-140.47
"Dec. 31, 2015",-328.86
"Sept. 30, 2015",
"June 30, 2015",
"March 31, 2015",
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",
"March 31, 2014",423.78
"Dec. 31, 2013",315.32
"Sept. 30, 2013",126.51
"June 30, 2013",104.12
"March 31, 2013",99.88
"Dec. 31, 2012",84.85
"Sept. 30, 2012",592.56
"June 30, 2012",
"March 31, 2012",
"Dec. 31, 2011",91.16
"Sept. 30, 2011",76.19
"June 30, 2011",52.99
"March 31, 2011",47.75
"Dec. 31, 2010",1868.75
"Sept. 30, 2010",65.03
"June 30, 2010",51.71
"March 31, 2010",42.13
"Dec. 31, 2009",31.72
"Sept. 30, 2009",81.51
"June 30, 2009",202.97
