date,beneish_m_score
"Dec. 31, 2019",-2.577
"Dec. 31, 2018",-3.039
"Dec. 31, 2017",-3.159
"Dec. 31, 2016",-1.830
"Dec. 31, 2015",-3.339
"Dec. 31, 2014",-3.548
"Dec. 31, 2013",-2.962
"Dec. 31, 2012",-3.177
"Dec. 31, 2011",-2.997
"Dec. 31, 2010",-2.774
"Dec. 31, 2009",-2.313
"Dec. 31, 2008",-3.261
"Dec. 31, 2007",
"Dec. 31, 2006",-2.705
"Dec. 31, 2005",-2.335
"Dec. 31, 2004",-1.942
"Dec. 31, 2003",-2.709
"Dec. 31, 2002",-2.550
"Dec. 31, 2001",-3.662
"Dec. 31, 2000",-2.782
"Dec. 31, 1999",-3.357
"Dec. 31, 1998",-3.606
"Dec. 31, 1997",-3.751
"Dec. 31, 1996",-2.748
"Dec. 31, 1995",-3.828
"Dec. 31, 1994",-3.389
"Dec. 31, 1993",-3.733
"Dec. 31, 1992",-3.528
"Dec. 31, 1991",-4.228
"Dec. 31, 1990",-4.090
