date,ebitda_margin_ttm
"Dec. 31, 2019",34.63%
"Sept. 30, 2019",39.02%
"June 30, 2019",52.15%
"March 31, 2019",53.61%
"Dec. 31, 2018",55.17%
"Sept. 30, 2018",56.31%
"June 30, 2018",48.30%
"March 31, 2018",48.74%
"Dec. 31, 2017",45.37%
"Sept. 30, 2017",39.44%
"June 30, 2017",36.17%
"March 31, 2017",30.55%
"Dec. 31, 2016",26.91%
"Sept. 30, 2016",-31.49%
"June 30, 2016",-55.89%
"March 31, 2016",-45.30%
"Dec. 31, 2015",-40.01%
"Sept. 30, 2015",-17.80%
"June 30, 2015",13.49%
"March 31, 2015",20.01%
"Dec. 31, 2014",28.80%
"Sept. 30, 2014",58.01%
"June 30, 2014",59.69%
"March 31, 2014",59.94%
"Dec. 31, 2013",59.92%
"Sept. 30, 2013",50.83%
"June 30, 2013",49.28%
"March 31, 2013",48.48%
"Dec. 31, 2012",49.07%
"Sept. 30, 2012",57.16%
"June 30, 2012",58.56%
"March 31, 2012",59.61%
"Dec. 31, 2011",59.94%
"Sept. 30, 2011",58.49%
"June 30, 2011",57.73%
"March 31, 2011",57.02%
"Dec. 31, 2010",55.80%
"Sept. 30, 2010",57.70%
"June 30, 2010",56.66%
"March 31, 2010",54.91%
"Dec. 31, 2009",52.39%
"Sept. 30, 2009",46.30%
"June 30, 2009",50.94%
"March 31, 2009",55.26%
"Dec. 31, 2008",58.32%
"Sept. 30, 2008",62.93%
"June 30, 2008",61.14%
"March 31, 2008",58.44%
"Dec. 31, 2007",55.74%
"Sept. 30, 2007",53.10%
"June 30, 2007",53.41%
"March 31, 2007",54.09%
"Dec. 31, 2006",55.64%
"Sept. 30, 2006",54.55%
"June 30, 2006",55.01%
"March 31, 2006",54.69%
"Dec. 31, 2005",53.84%
"Sept. 30, 2005",52.03%
"June 30, 2005",50.86%
"March 31, 2005",49.91%
"Dec. 31, 2004",48.13%
"Sept. 30, 2004",50.08%
"June 30, 2004",48.06%
"March 31, 2004",46.96%
"Dec. 31, 2003",47.11%
"Sept. 30, 2003",46.06%
"June 30, 2003",45.07%
"March 31, 2003",44.48%
"Dec. 31, 2002",42.42%
"Sept. 30, 2002",38.46%
"June 30, 2002",38.48%
"March 31, 2002",34.21%
"Dec. 31, 2001",30.39%
"Sept. 30, 2001",30.72%
"June 30, 2001",28.98%
"March 31, 2001",30.93%
"Dec. 31, 2000",42.22%
"Sept. 30, 2000",42.48%
"June 30, 2000",43.83%
"March 31, 2000",41.99%
"Dec. 31, 1999",23.57%
"Sept. 30, 1999",20.93%
"June 30, 1999",18.56%
"March 31, 1999",18.05%
"Dec. 31, 1998",19.84%
"Sept. 30, 1998",22.33%
"June 30, 1998",24.47%
"March 31, 1998",25.01%
"Dec. 31, 1997",25.57%
"Sept. 30, 1997",27.45%
"June 30, 1997",24.50%
"March 31, 1997",23.38%
"Dec. 31, 1996",22.32%
"Sept. 30, 1996",19.84%
"June 30, 1996",21.34%
"March 31, 1996",21.56%
"Dec. 31, 1995",21.53%
"Sept. 30, 1995",20.91%
"June 30, 1995",19.74%
"March 31, 1995",18.31%
"Dec. 31, 1994",15.27%
"Sept. 30, 1994",14.89%
"June 30, 1994",14.01%
"March 31, 1994",14.43%
"Dec. 31, 1993",15.73%
"Sept. 30, 1993",15.22%
"June 30, 1993",15.14%
"March 31, 1993",14.11%
"Dec. 31, 1992",13.77%
"Sept. 30, 1992",15.62%
"June 30, 1992",13.70%
"March 31, 1992",11.70%
"Dec. 31, 1991",10.89%
"Sept. 30, 1991",9.63%
"June 30, 1991",10.20%
"March 31, 1991",10.36%
"Dec. 31, 1990",10.49%
"Sept. 30, 1990",10.91%
"June 30, 1990",10.81%
"March 31, 1990",33.61%
"Dec. 31, 1989",56.23%
"Sept. 30, 1989",-11.85%
"June 30, 1989",9.88%
"March 31, 1989",8.50%
"Dec. 31, 1988",5.36%
"Sept. 30, 1988",13.25%
"June 30, 1988",9.89%
"March 31, 1988",7.74%
"Dec. 31, 1987",6.02%
"Sept. 30, 1987",13.90%
"June 30, 1987",11.24%
"March 31, 1987",8.44%
"Dec. 31, 1986",5.30%
"Sept. 30, 1986",9.73%
"June 30, 1986",7.67%
"March 31, 1986",6.72%
"Dec. 31, 1985",7.14%
"Sept. 30, 1985",5.94%
"June 30, 1985",8.90%
"March 31, 1985",9.26%
"Dec. 31, 1984",9.99%
