date,eps_est_0q
"March 20, 2020",-0.4393
"March 19, 2020",-0.4393
"March 18, 2020",-0.4316
"March 17, 2020",-0.4238
"March 16, 2020",-0.3894
"March 14, 2020",-0.2635
"March 12, 2020",-0.2488
"March 11, 2020",-0.2259
"March 10, 2020",-0.1706
"March 9, 2020",-0.1997
"March 5, 2020",-0.0886
"March 4, 2020",-0.0703
"March 2, 2020",-0.0513
"March 1, 2020",-0.0335
"Feb. 29, 2020",-0.0333
"Feb. 28, 2020",-0.0303
"Feb. 26, 2020",0.1978
"Feb. 25, 2020",0.1891
"Feb. 15, 2020",0.1885
"Feb. 14, 2020",0.1843
"Feb. 12, 2020",0.2019
"Feb. 11, 2020",0.2441
"Jan. 28, 2020",0.3037
"Jan. 27, 2020",0.3008
"Jan. 24, 2020",0.297
"Jan. 23, 2020",0.2578
"Jan. 22, 2020",0.2963
"Jan. 21, 2020",0.3016
"Jan. 17, 2020",0.305
"Jan. 16, 2020",0.3056
"Jan. 15, 2020",0.285
"Jan. 14, 2020",0.2828
"Jan. 13, 2020",0.2415
"Jan. 9, 2020",0.2103
"Jan. 7, 2020",0.2219
"Jan. 6, 2020",0.2311
"Jan. 3, 2020",0.1998
"Dec. 31, 2019",-0.1985
"Dec. 19, 2019",0.0526
"Dec. 18, 2019",0.0598
"Dec. 17, 2019",0.0588
"Dec. 9, 2019",0.0603
"Dec. 6, 2019",0.0687
"Nov. 25, 2019",0.0824
"Nov. 22, 2019",0.1003
"Nov. 21, 2019",0.1509
"Nov. 18, 2019",0.1891
"Nov. 15, 2019",0.1703
"Nov. 13, 2019",0.1813
"Nov. 12, 2019",0.1952
"Nov. 11, 2019",0.1965
"Nov. 8, 2019",0.2189
"Nov. 7, 2019",0.2452
"Nov. 6, 2019",0.2358
"Nov. 5, 2019",0.229
"Oct. 28, 2019",0.3459
"Oct. 23, 2019",0.3467
"Oct. 22, 2019",0.3641
"Oct. 21, 2019",0.3641
"Oct. 18, 2019",0.3947
"Oct. 17, 2019",0.4096
"Oct. 16, 2019",0.4735
"Oct. 15, 2019",0.5073
"Oct. 14, 2019",0.5267
"Oct. 10, 2019",0.5442
"Oct. 8, 2019",0.548
"Oct. 7, 2019",0.5546
"Oct. 4, 2019",0.5532
"Sept. 30, 2019",0.4394
"Sept. 23, 2019",0.6293
"Sept. 19, 2019",0.6352
"Sept. 11, 2019",0.6188
"Sept. 5, 2019",0.6391
"Aug. 28, 2019",0.7093
"Aug. 23, 2019",0.7323
"Aug. 22, 2019",0.7363
"Aug. 21, 2019",0.7726
"Aug. 16, 2019",0.8115
"Aug. 15, 2019",0.8115
"Aug. 14, 2019",0.8841
"Aug. 13, 2019",0.8852
"Aug. 12, 2019",0.9293
"Aug. 8, 2019",0.8887
"Aug. 7, 2019",0.8396
"Aug. 6, 2019",0.8367
"Aug. 5, 2019",0.8325
"Aug. 2, 2019",0.856
"Aug. 1, 2019",0.8626
"July 29, 2019",0.8996
"July 26, 2019",0.9178
"July 25, 2019",0.9205
"July 23, 2019",0.9399
"July 22, 2019",0.9435
"July 19, 2019",0.9694
"July 17, 2019",0.9641
"July 16, 2019",0.9685
"July 15, 2019",0.9851
"July 12, 2019",1.006
"July 11, 2019",1.010
"July 10, 2019",1.009
"July 8, 2019",1.011
"June 30, 2019",0.9369
"June 27, 2019",1.085
"June 24, 2019",1.087
"June 20, 2019",1.076
"June 18, 2019",1.078
"June 17, 2019",1.098
"June 14, 2019",1.111
"June 1, 2019",1.110
"May 23, 2019",1.111
"May 22, 2019",1.107
"May 21, 2019",1.094
"May 17, 2019",1.093
"May 16, 2019",1.093
"May 15, 2019",1.073
"May 14, 2019",1.065
"May 13, 2019",1.062
"May 10, 2019",1.027
"May 9, 2019",1.025
"May 8, 2019",1.024
"May 7, 2019",1.034
"May 6, 2019",1.022
"April 29, 2019",0.9854
"April 26, 2019",0.9854
"April 25, 2019",0.9843
"April 24, 2019",0.9843
"April 22, 2019",0.9749
"April 18, 2019",0.9456
"April 17, 2019",0.9246
"April 16, 2019",0.9313
"April 12, 2019",0.9347
"April 11, 2019",0.9036
"April 10, 2019",0.9008
"April 8, 2019",0.8869
"April 4, 2019",0.8868
"April 3, 2019",0.8852
"April 2, 2019",0.8852
"March 31, 2019",0.7099
"March 26, 2019",0.7471
"March 22, 2019",0.7565
"March 21, 2019",0.7438
"March 20, 2019",0.7361
"March 19, 2019",0.6991
"March 18, 2019",0.6981
"March 11, 2019",0.6964
"March 5, 2019",0.6919
"March 2, 2019",0.6934
"Feb. 22, 2019",0.676
"Feb. 21, 2019",0.6719
"Feb. 20, 2019",0.6635
"Feb. 15, 2019",0.682
"Feb. 14, 2019",0.708
"Feb. 13, 2019",0.6984
"Feb. 12, 2019",0.8719
"Feb. 11, 2019",0.8719
"Feb. 7, 2019",0.8736
"Feb. 4, 2019",0.873
"Jan. 30, 2019",0.8811
"Jan. 29, 2019",0.8825
"Jan. 28, 2019",0.8785
"Jan. 25, 2019",0.8701
"Jan. 23, 2019",0.8626
"Jan. 18, 2019",0.8476
"Jan. 16, 2019",0.8933
"Jan. 14, 2019",0.9111
"Jan. 10, 2019",0.9162
"Jan. 9, 2019",0.9209
"Jan. 8, 2019",1.001
"Jan. 7, 2019",0.9897
"Jan. 4, 2019",1.106
"Jan. 2, 2019",1.143
"Dec. 31, 2018",1.166
"Dec. 22, 2018",1.365
"Dec. 21, 2018",1.390
"Dec. 20, 2018",1.386
"Dec. 18, 2018",1.402
"Dec. 15, 2018",1.420
"Dec. 13, 2018",1.424
"Dec. 10, 2018",1.432
"Dec. 1, 2018",1.481
"Nov. 29, 2018",1.481
"Nov. 26, 2018",1.493
"Nov. 20, 2018",1.478
"Nov. 19, 2018",1.494
"Nov. 16, 2018",1.512
"Nov. 14, 2018",1.533
"Nov. 13, 2018",1.533
"Nov. 12, 2018",1.549
"Nov. 9, 2018",1.552
