date,cash_investing_ttm
"Dec. 31, 2019",-29.03B
"Sept. 30, 2019",-29.23B
"June 30, 2019",-3.623B
"March 31, 2019",-3.65B
"Dec. 31, 2018",-3.206B
"Sept. 30, 2018",-2.653B
"June 30, 2018",-4.154B
"March 31, 2018",-3.378B
"Dec. 31, 2017",-3.079B
"Sept. 30, 2017",-4.893B
"June 30, 2017",-4.62B
"March 31, 2017",-4.778B
"Dec. 31, 2016",-4.743B
"Sept. 30, 2016",-2.281B
"June 30, 2016",-2.868B
"March 31, 2016",-3.854B
"Dec. 31, 2015",-5.423B
"Sept. 30, 2015",-6.758B
"June 30, 2015",-8.271B
"March 31, 2015",-8.303B
"Dec. 31, 2014",-8.47B
"Sept. 30, 2014",-8.254B
"June 30, 2014",-7.833B
"March 31, 2014",-8.222B
"Dec. 31, 2013",-8.044B
"Sept. 30, 2013",-10.39B
"June 30, 2013",-10.78B
"March 31, 2013",-12.42B
"Dec. 31, 2012",-12.64B
"Sept. 30, 2012",-12.29B
"June 30, 2012",-11.77B
"March 31, 2012",-10.58B
"Dec. 31, 2011",-9.903B
"Sept. 30, 2011",-11.08B
"June 30, 2011",-11.18B
"March 31, 2011",-9.968B
"Dec. 31, 2010",-9.295B
"Sept. 30, 2010",-6.786B
"June 30, 2010",-5.293B
"March 31, 2010",-5.228B
"Dec. 31, 2009",-5.327B
"Sept. 30, 2009",-6.007B
"June 30, 2009",-7.561B
"March 31, 2009",-7.986B
"Dec. 31, 2008",-9.329B
"Sept. 30, 2008",-7.912B
"June 30, 2008",-6.496B
"March 31, 2008",-5.277B
"Dec. 31, 2007",-3.128B
"Sept. 30, 2007",-2.54B
"June 30, 2007",-3.042B
"March 31, 2007",-2.617B
"Dec. 31, 2006",-4.406B
"Sept. 30, 2006",-4.371B
"June 30, 2006",-3.083B
"March 31, 2006",-4.593B
"Dec. 31, 2005",-3.289B
"Sept. 30, 2005",-3.376B
"June 30, 2005",-3.752B
"March 31, 2005",-2.704B
"Dec. 31, 2004",-2.552B
"Sept. 30, 2004",-2.423B
"June 30, 2004",-2.217B
"March 31, 2004",-2.399B
"Dec. 31, 2003",-2.131B
"Sept. 30, 2003",-2.252B
"June 30, 2003",-2.356B
"March 31, 2003",-1.944B
"Dec. 31, 2002",-1.70B
"Sept. 30, 2002",-1.369B
"June 30, 2002",-479.00M
"March 31, 2002",-542.00M
"Dec. 31, 2001",-659.00M
"Sept. 30, 2001",-285.00M
"June 30, 2001",-602.00M
"March 31, 2001",-2.909B
"Dec. 31, 2000",-3.097B
"Sept. 30, 2000",-2.416B
"June 30, 2000",-2.673B
"March 31, 2000",-208.00M
"Dec. 31, 1999",1.591B
"Sept. 30, 1999",786.00M
"June 30, 1999",763.00M
"March 31, 1999",1.734B
"Dec. 31, 1998",-1.216B
"Sept. 30, 1998",-1.483B
"June 30, 1998",-1.689B
"March 31, 1998",-2.802B
"Dec. 31, 1997",-1.426B
"Sept. 30, 1997",-1.314B
"June 30, 1997",-1.076B
"March 31, 1997",-1.017B
"Dec. 31, 1996",-979.00M
"Sept. 30, 1996",-722.00M
"June 30, 1996",-908.00M
"March 31, 1996",-281.00M
"Dec. 31, 1995",-136.00M
"Sept. 30, 1995",-428.00M
"June 30, 1995",-263.00M
"March 31, 1995",-791.00M
"Dec. 31, 1994",-1.007B
"Sept. 30, 1994",-881.00M
"June 30, 1994",-922.00M
"March 31, 1994",-1.01B
"Dec. 31, 1993",-876.00M
"Sept. 30, 1993",-733.00M
"June 30, 1993",-720.00M
"March 31, 1993",-590.00M
"Dec. 31, 1992",-361.00M
"Sept. 30, 1992",477.00M
"June 30, 1992",2.013B
"March 31, 1992",1.929B
"Dec. 31, 1991",1.582B
"Sept. 30, 1991",567.00M
"June 30, 1991",-1.115B
"March 31, 1991",-1.188B
"Dec. 31, 1990",-1.107B
