date,gross_profit_margin
"Dec. 31, 2019",30.28%
"Sept. 30, 2019",32.30%
"June 30, 2019",35.57%
"March 31, 2019",32.99%
"Dec. 31, 2018",36.81%
"Sept. 30, 2018",46.93%
"June 30, 2018",40.93%
"March 31, 2018",39.30%
"Dec. 31, 2017",36.25%
"Sept. 30, 2017",21.57%
"June 30, 2017",19.12%
"March 31, 2017",19.92%
"Dec. 31, 2016",14.78%
"Sept. 30, 2016",9.97%
"June 30, 2016",8.57%
"March 31, 2016",-12.25%
"Dec. 31, 2015",6.27%
"Sept. 30, 2015",18.61%
"June 30, 2015",25.17%
"March 31, 2015",16.28%
"Dec. 31, 2014",31.81%
"Sept. 30, 2014",43.07%
"June 30, 2014",47.11%
"March 31, 2014",47.26%
"Dec. 31, 2013",38.05%
"Sept. 30, 2013",50.16%
"June 30, 2013",46.66%
"March 31, 2013",46.58%
"Dec. 31, 2012",55.74%
"Sept. 30, 2012",46.76%
"June 30, 2012",46.95%
"March 31, 2012",52.94%
"Dec. 31, 2011",52.75%
"Sept. 30, 2011",52.06%
"June 30, 2011",55.94%
"March 31, 2011",55.89%
"Dec. 31, 2010",53.05%
"Sept. 30, 2010",51.23%
"June 30, 2010",50.21%
"March 31, 2010",50.76%
"Dec. 31, 2009",
"Sept. 30, 2009",46.73%
"June 30, 2009",43.23%
"March 31, 2009",31.61%
"Dec. 31, 2008",
"Sept. 30, 2008",58.85%
"June 30, 2008",63.05%
"March 31, 2008",59.10%
"Dec. 31, 2007",
"Sept. 30, 2007",49.95%
"June 30, 2007",47.90%
"March 31, 2007",48.92%
"Dec. 31, 2006",95.22%
"Sept. 30, 2006",51.39%
"June 30, 2006",51.86%
"March 31, 2006",54.95%
"Dec. 31, 2005",84.92%
"Sept. 30, 2005",60.25%
"June 30, 2005",52.40%
"March 31, 2005",52.72%
"Dec. 31, 2004",86.74%
"Sept. 30, 2004",51.92%
"June 30, 2004",46.12%
"March 31, 2004",44.42%
"Dec. 31, 2003",95.74%
"Sept. 30, 2003",43.85%
"June 30, 2003",43.90%
"March 31, 2003",44.86%
"Dec. 31, 2002",89.47%
"Sept. 30, 2002",41.21%
"June 30, 2002",37.42%
"March 31, 2002",34.50%
"Dec. 31, 2001",93.06%
"Sept. 30, 2001",38.98%
"June 30, 2001",29.17%
"March 31, 2001",26.83%
"Dec. 31, 2000",46.02%
"Sept. 30, 2000",29.63%
"June 30, 2000",40.59%
"March 31, 2000",39.27%
"Dec. 31, 1999",30.04%
"Sept. 30, 1999",33.13%
"June 30, 1999",32.42%
"March 31, 1999",33.48%
"Dec. 31, 1998",20.41%
"Sept. 30, 1998",27.87%
"June 30, 1998",34.67%
"March 31, 1998",37.76%
"Dec. 31, 1997",31.39%
"Sept. 30, 1997",38.22%
"June 30, 1997",31.39%
"March 31, 1997",39.80%
"Dec. 31, 1996",
"Sept. 30, 1996",30.87%
"June 30, 1996",33.33%
"March 31, 1996",34.63%
"Dec. 31, 1995",25.06%
"Sept. 30, 1995",32.42%
"June 30, 1995",34.60%
"March 31, 1995",33.42%
"Dec. 31, 1994",27.30%
"Sept. 30, 1994",28.04%
"June 30, 1994",25.44%
"March 31, 1994",22.51%
"Dec. 31, 1993",22.67%
"Sept. 30, 1993",25.89%
"June 30, 1993",26.55%
"March 31, 1993",26.28%
"Dec. 31, 1992",26.74%
"Sept. 30, 1992",23.85%
"June 30, 1992",23.25%
"March 31, 1992",25.35%
"Dec. 31, 1991",24.26%
"Sept. 30, 1991",22.36%
"June 30, 1991",13.11%
"March 31, 1991",15.82%
"Dec. 31, 1990",16.94%
"Sept. 30, 1990",15.46%
"June 30, 1990",14.55%
"March 31, 1990",16.88%
"Dec. 31, 1989",17.63%
"Sept. 30, 1989",18.28%
