date,ni_per_employee_annual
"Dec. 31, 2019",-52519.68
"Dec. 31, 2018",375545.5
"Dec. 31, 2017",119181.8
"Dec. 31, 2016",-51945.70
"Dec. 31, 2015",-686754.4
"Dec. 31, 2014",50081.30
"Dec. 31, 2013",468492.1
"Dec. 31, 2012",389661.0
"Dec. 31, 2011",607264.6
"Dec. 31, 2010",429383.9
"Dec. 31, 2009",284390.2
"Dec. 31, 2008",682288.6
"Dec. 31, 2007",581082.5
"Dec. 31, 2006",495888.3
"Dec. 31, 2005",695258.1
"Dec. 31, 2004",358109.1
"Dec. 31, 2003",212422.6
"Dec. 31, 2002",127786.0
"Dec. 31, 2001",135557.4
"Dec. 31, 2000",179510.6
"Dec. 31, 1999",48852.30
"Dec. 31, 1998",32970.03
"Dec. 31, 1997",-29268.29
"Dec. 31, 1996",42345.48
"Dec. 31, 1995",27711.50
"Dec. 31, 1994",-1824.63
"Dec. 31, 1993",13023.47
"Dec. 31, 1992",-24472.05
"Dec. 31, 1991",12315.93
"Dec. 31, 1990",-33425.74
