date,f_score_ttm
"Dec. 31, 2019",1.00
"Sept. 30, 2019",3.00
"June 30, 2019",5.00
"March 31, 2019",3.00
"Dec. 31, 2018",7.00
"Sept. 30, 2018",7.00
"June 30, 2018",6.00
"March 31, 2018",7.00
"Dec. 31, 2017",7.00
"Sept. 30, 2017",6.00
"June 30, 2017",7.00
"March 31, 2017",5.00
"Dec. 31, 2016",5.00
"Sept. 30, 2016",4.00
"June 30, 2016",4.00
"March 31, 2016",4.00
"Dec. 31, 2015",2.00
"Sept. 30, 2015",3.00
"June 30, 2015",2.00
"March 31, 2015",2.00
"Dec. 31, 2014",4.00
"Sept. 30, 2014",2.00
"June 30, 2014",6.00
"March 31, 2014",5.00
"Dec. 31, 2013",6.00
"Sept. 30, 2013",9.00
"June 30, 2013",4.00
"March 31, 2013",3.00
"Dec. 31, 2012",2.00
"Sept. 30, 2012",2.00
"June 30, 2012",3.00
"March 31, 2012",6.00
"Dec. 31, 2011",5.00
"Sept. 30, 2011",8.00
"June 30, 2011",8.00
"March 31, 2011",6.00
"Dec. 31, 2010",6.00
"Sept. 30, 2010",8.00
"June 30, 2010",9.00
"March 31, 2010",7.00
"Dec. 31, 2009",5.00
"Sept. 30, 2009",3.00
"June 30, 2009",3.00
"March 31, 2009",2.00
"Dec. 31, 2008",3.00
"Sept. 30, 2008",8.00
"June 30, 2008",8.00
"March 31, 2008",8.00
"Dec. 31, 2007",7.00
"Sept. 30, 2007",7.00
"June 30, 2007",7.00
"March 31, 2007",3.00
"Dec. 31, 2006",3.00
"Sept. 30, 2006",3.00
"June 30, 2006",2.00
"March 31, 2006",4.00
"Dec. 31, 2005",8.00
"Sept. 30, 2005",8.00
"June 30, 2005",7.00
"March 31, 2005",8.00
"Dec. 31, 2004",5.00
"Sept. 30, 2004",8.00
"June 30, 2004",7.00
"March 31, 2004",6.00
"Dec. 31, 2003",7.00
"Sept. 30, 2003",8.00
"June 30, 2003",7.00
"March 31, 2003",8.00
"Dec. 31, 2002",8.00
"Sept. 30, 2002",4.00
"June 30, 2002",4.00
"March 31, 2002",4.00
"Dec. 31, 2001",3.00
"Sept. 30, 2001",7.00
"June 30, 2001",3.00
"March 31, 2001",7.00
"Dec. 31, 2000",6.00
"Sept. 30, 2000",6.00
"June 30, 2000",8.00
"March 31, 2000",7.00
"Dec. 31, 1999",7.00
"Sept. 30, 1999",7.00
"June 30, 1999",5.00
"March 31, 1999",3.00
"Dec. 31, 1998",3.00
"Sept. 30, 1998",3.00
"June 30, 1998",4.00
"March 31, 1998",2.00
"Dec. 31, 1997",3.00
"Sept. 30, 1997",4.00
"June 30, 1997",5.00
"March 31, 1997",5.00
"Dec. 31, 1996",8.00
"Sept. 30, 1996",6.00
"June 30, 1996",3.00
"March 31, 1996",5.00
"Dec. 31, 1995",6.00
"Sept. 30, 1995",6.00
"June 30, 1995",8.00
"March 31, 1995",8.00
"Dec. 31, 1994",7.00
"Sept. 30, 1994",6.00
"June 30, 1994",3.00
"March 31, 1994",3.00
"Dec. 31, 1993",4.00
"Sept. 30, 1993",5.00
"June 30, 1993",5.00
"March 31, 1993",4.00
"Dec. 31, 1992",4.00
"Sept. 30, 1992",5.00
"June 30, 1992",3.00
"March 31, 1992",7.00
"Dec. 31, 1991",5.00
"Sept. 30, 1991",4.00
"June 30, 1991",4.00
"March 31, 1991",3.00
