date,zmijewski_score
"Dec. 31, 2019",-0.3892
"Sept. 30, 2019",-0.5956
"June 30, 2019",-1.750
"March 31, 2019",-1.785
"Dec. 31, 2018",-1.842
"Sept. 30, 2018",-1.778
"June 30, 2018",-1.587
"March 31, 2018",-1.605
"Dec. 31, 2017",-1.573
"Sept. 30, 2017",-1.543
"June 30, 2017",-1.510
"March 31, 2017",-1.414
"Dec. 31, 2016",-1.423
"Sept. 30, 2016",-1.129
"June 30, 2016",-0.9823
"March 31, 2016",-1.169
"Dec. 31, 2015",-1.151
"Sept. 30, 2015",-1.560
"June 30, 2015",-1.964
"March 31, 2015",-2.215
"Dec. 31, 2014",-2.220
"Sept. 30, 2014",-2.519
"June 30, 2014",-2.586
"March 31, 2014",-2.599
"Dec. 31, 2013",-2.595
"Sept. 30, 2013",-2.478
"June 30, 2013",-2.479
"March 31, 2013",-2.492
"Dec. 31, 2012",-2.522
"Sept. 30, 2012",-2.584
"June 30, 2012",-2.622
"March 31, 2012",-2.754
"Dec. 31, 2011",-2.758
"Sept. 30, 2011",-2.808
"June 30, 2011",-2.820
"March 31, 2011",-2.648
"Dec. 31, 2010",-2.602
"Sept. 30, 2010",-2.884
"June 30, 2010",-2.855
"March 31, 2010",-2.778
"Dec. 31, 2009",-2.707
"Sept. 30, 2009",-2.750
"June 30, 2009",-2.846
"March 31, 2009",-3.086
"Dec. 31, 2008",-3.160
"Sept. 30, 2008",-3.168
"June 30, 2008",-2.951
"March 31, 2008",-2.965
"Dec. 31, 2007",-2.919
"Sept. 30, 2007",-2.993
"June 30, 2007",-2.935
"March 31, 2007",-2.793
"Dec. 31, 2006",-2.700
"Sept. 30, 2006",-2.776
"June 30, 2006",-2.805
"March 31, 2006",-2.868
"Dec. 31, 2005",-2.999
"Sept. 30, 2005",-2.846
"June 30, 2005",-2.567
"March 31, 2005",-2.253
"Dec. 31, 2004",-2.131
"Sept. 30, 2004",-2.001
"June 30, 2004",-1.866
"March 31, 2004",-1.757
"Dec. 31, 2003",-1.627
"Sept. 30, 2003",-1.551
"June 30, 2003",-1.478
"March 31, 2003",-1.348
"Dec. 31, 2002",-1.199
"Sept. 30, 2002",-0.9456
"June 30, 2002",-0.8679
"March 31, 2002",-1.322
"Dec. 31, 2001",-1.427
"Sept. 30, 2001",-1.504
"June 30, 2001",-1.321
"March 31, 2001",-1.199
"Dec. 31, 2000",-1.258
"Sept. 30, 2000",-1.187
"June 30, 2000",-0.9297
"March 31, 2000",-0.6727
"Dec. 31, 1999",-0.5075
"Sept. 30, 1999",-0.2566
"June 30, 1999",-0.1725
"March 31, 1999",-0.1983
"Dec. 31, 1998",-0.0122
"Sept. 30, 1998",0.1923
"June 30, 1998",0.0814
"March 31, 1998",0.068
"Dec. 31, 1997",-0.1387
"Sept. 30, 1997",-0.5581
"June 30, 1997",-0.5348
"March 31, 1997",-0.5328
"Dec. 31, 1996",-0.7785
"Sept. 30, 1996",-0.447
"June 30, 1996",-0.3426
"March 31, 1996",-0.2903
"Dec. 31, 1995",-0.259
"Sept. 30, 1995",-0.3112
"June 30, 1995",-0.2512
"March 31, 1995",-0.1427
"Dec. 31, 1994",-0.0525
"Sept. 30, 1994",-0.0745
"June 30, 1994",-0.1143
"March 31, 1994",-0.1748
"Dec. 31, 1993",-0.0432
"Sept. 30, 1993",0.172
"June 30, 1993",0.2172
"March 31, 1993",0.2223
"Dec. 31, 1992",0.417
"Sept. 30, 1992",-0.3191
"June 30, 1992",-0.376
"March 31, 1992",-0.3933
"Dec. 31, 1991",-0.3364
"Sept. 30, 1991",0.1884
"June 30, 1991",0.3901
"March 31, 1991",0.445
"Dec. 31, 1990",0.4638
"Sept. 30, 1990",-0.4825
"June 30, 1990",-0.5288
"March 31, 1990",-0.5444
"Dec. 31, 1989",-0.3936
