date,liabilities
"Dec. 31, 2019",75.10B
"Sept. 30, 2019",84.44B
"June 30, 2019",23.42B
"March 31, 2019",23.14B
"Dec. 31, 2018",22.52B
"Sept. 30, 2018",23.46B
"June 30, 2018",23.14B
"March 31, 2018",22.09B
"Dec. 31, 2017",21.45B
"Sept. 30, 2017",20.77B
"June 30, 2017",20.94B
"March 31, 2017",21.39B
"Dec. 31, 2016",21.61B
"Sept. 30, 2016",19.33B
"June 30, 2016",19.29B
"March 31, 2016",18.23B
"Dec. 31, 2015",19.06B
"Sept. 30, 2015",20.21B
"June 30, 2015",21.07B
"March 31, 2015",19.22B
"Dec. 31, 2014",21.30B
"Sept. 30, 2014",27.42B
"June 30, 2014",26.48B
"March 31, 2014",25.91B
"Dec. 31, 2013",26.07B
"Sept. 30, 2013",26.47B
"June 30, 2013",25.57B
"March 31, 2013",24.88B
"Dec. 31, 2012",24.16B
"Sept. 30, 2012",25.15B
"June 30, 2012",24.73B
"March 31, 2012",22.88B
"Dec. 31, 2011",22.42B
"Sept. 30, 2011",20.76B
"June 30, 2011",19.44B
"March 31, 2011",20.41B
"Dec. 31, 2010",19.95B
"Sept. 30, 2010",15.66B
"June 30, 2010",15.35B
"March 31, 2010",15.49B
"Dec. 31, 2009",15.07B
"Sept. 30, 2009",13.69B
"June 30, 2009",13.95B
"March 31, 2009",13.15B
"Dec. 31, 2008",14.21B
"Sept. 30, 2008",15.62B
"June 30, 2008",16.26B
"March 31, 2008",14.51B
"Dec. 31, 2007",13.70B
"Sept. 30, 2007",12.02B
"June 30, 2007",12.18B
"March 31, 2007",12.30B
"Dec. 31, 2006",12.83B
"Sept. 30, 2006",12.49B
"June 30, 2006",12.84B
"March 31, 2006",13.90B
"Dec. 31, 2005",10.74B
"Sept. 30, 2005",10.86B
"June 30, 2005",10.89B
"March 31, 2005",10.69B
"Dec. 31, 2004",10.51B
"Sept. 30, 2004",10.26B
"June 30, 2004",9.998B
"March 31, 2004",9.877B
"Dec. 31, 2003",9.927B
"Sept. 30, 2003",9.888B
"June 30, 2003",9.799B
"March 31, 2003",9.934B
"Dec. 31, 2002",9.897B
"Sept. 30, 2002",10.06B
"June 30, 2002",10.39B
"March 31, 2002",9.911B
"Dec. 31, 2001",9.992B
"Sept. 30, 2001",10.67B
"June 30, 2001",11.67B
"March 31, 2001",12.49B
"Dec. 31, 2000",11.90B
"Sept. 30, 2000",12.51B
"June 30, 2000",13.08B
"March 31, 2000",9.878B
"Dec. 31, 1999",9.864B
"Sept. 30, 1999",10.16B
"June 30, 1999",10.42B
"March 31, 1999",10.26B
"Dec. 31, 1998",11.88B
"Sept. 30, 1998",11.86B
"June 30, 1998",11.80B
"March 31, 1998",12.58B
"Dec. 31, 1997",11.00B
"Sept. 30, 1997",12.21B
"June 30, 1997",12.39B
"March 31, 1997",12.32B
"Dec. 31, 1996",9.841B
"Sept. 30, 1996",12.26B
"June 30, 1996",12.65B
"March 31, 1996",12.80B
"Dec. 31, 1995",13.18B
"Sept. 30, 1995",12.75B
"June 30, 1995",12.98B
"March 31, 1995",13.36B
"Dec. 31, 1994",13.53B
"Sept. 30, 1994",12.98B
"June 30, 1994",12.85B
"March 31, 1994",12.74B
"Dec. 31, 1993",13.15B
"Sept. 30, 1993",13.08B
"June 30, 1993",13.65B
"March 31, 1993",13.69B
"Dec. 31, 1992",14.43B
"Sept. 30, 1992",11.55B
"June 30, 1992",11.36B
"March 31, 1992",11.28B
"Dec. 31, 1991",11.71B
"Sept. 30, 1991",12.14B
"June 30, 1991",14.68B
"March 31, 1991",15.05B
"Dec. 31, 1990",15.38B
"Sept. 30, 1990",14.55B
"June 30, 1990",14.02B
"March 31, 1990",14.02B
"Dec. 31, 1989",14.59B
"Sept. 30, 1989",14.42B
"Dec. 31, 1988",14.56B
"Dec. 31, 1987",11.62B
"Dec. 31, 1986",13.16B
"Dec. 31, 1985",8.305B
"Dec. 31, 1984",9.704B
