date,kz_index
"Dec. 31, 2019",-1.436
"Dec. 31, 2018",-1.638
"Dec. 31, 2017",-1.184
"Dec. 31, 2016",
"Dec. 31, 2015",
"Dec. 31, 2014",
"Dec. 31, 2013",-0.4911
"Dec. 31, 2012",
"Dec. 31, 2011",-0.9304
"Dec. 31, 2010",-0.6993
"Dec. 31, 2009",
"Dec. 31, 2008",-1.263
"Dec. 31, 2007",-0.631
"Dec. 31, 2006",-1.023
"Dec. 31, 2005",-0.8722
"Dec. 31, 2004",-0.196
"Dec. 31, 2003",0.1127
"Dec. 31, 2002",
"Dec. 31, 2001",
"Dec. 31, 2000",0.3978
"Dec. 31, 1999",0.6649
"Dec. 31, 1998",
"Dec. 31, 1997",0.1538
"Dec. 31, 1996",
"Dec. 31, 1995",
"Dec. 31, 1994",0.9737
"Dec. 31, 1993",
"Dec. 31, 1992",
"Dec. 31, 1991",
"Dec. 31, 1990",0.5102
"Dec. 31, 1989",0.2866
"Dec. 31, 1988",1.961
"Dec. 31, 1987",1.938
"Dec. 31, 1986",2.182
