date,revenue_per_employee_annual
"Dec. 31, 2019",1.606M
"Dec. 31, 2018",1.620M
"Dec. 31, 2017",1.137M
"Dec. 31, 2016",913122.2
"Dec. 31, 2015",1.095M
"Dec. 31, 2014",1.570M
"Dec. 31, 2013",1.601M
"Dec. 31, 2012",1.703M
"Dec. 31, 2011",2.147M
"Dec. 31, 2010",1.805M
"Dec. 31, 2009",1.458M
"Dec. 31, 2008",2.436M
"Dec. 31, 2007",2.154M
"Dec. 31, 2006",2.091M
"Dec. 31, 2005",1.997M
"Dec. 31, 2004",1.537M
"Dec. 31, 2003",1.302M
"Dec. 31, 2002",948123.3
"Dec. 31, 2001",951720.9
"Dec. 31, 2000",1.552M
"Dec. 31, 1999",852734.3
"Dec. 31, 1998",618074.5
"Dec. 31, 1997",601576.0
"Dec. 31, 1996",506307.4
"Dec. 31, 1995",454934.9
"Dec. 31, 1994",468119.6
"Dec. 31, 1993",373492.9
"Dec. 31, 1992",351718.4
"Dec. 31, 1991",270307.9
"Dec. 31, 1990",429584.2
