date,net_income_ttm
"Dec. 31, 2019",-667.00M
"Sept. 30, 2019",1.178B
"June 30, 2019",3.841B
"March 31, 2019",4.054B
"Dec. 31, 2018",4.131B
"Sept. 30, 2018",3.922B
"June 30, 2018",2.243B
"March 31, 2018",1.902B
"Dec. 31, 2017",1.311B
"Sept. 30, 2017",542.00M
"June 30, 2017",111.00M
"March 31, 2017",-535.00M
"Dec. 31, 2016",-574.00M
"Sept. 30, 2016",-5.48B
"June 30, 2016",-7.848B
"March 31, 2016",-7.533B
"Dec. 31, 2015",-7.829B
"Sept. 30, 2015",-6.064B
"June 30, 2015",-2.247B
"March 31, 2015",-992.00M
"Dec. 31, 2014",616.00M
"Sept. 30, 2014",5.672B
"June 30, 2014",6.047B
"March 31, 2014",5.938B
"Dec. 31, 2013",5.903B
"Sept. 30, 2013",4.596B
"June 30, 2013",4.388B
"March 31, 2013",4.394B
"Dec. 31, 2012",4.598B
"Sept. 30, 2012",5.896B
"June 30, 2012",6.292B
"March 31, 2012",6.781B
"Dec. 31, 2011",6.771B
"Sept. 30, 2011",6.349B
"June 30, 2011",5.769B
"March 31, 2011",5.015B
"Dec. 31, 2010",4.53B
"Sept. 30, 2010",4.256B
"June 30, 2010",3.992B
"March 31, 2010",3.611B
"Dec. 31, 2009",2.915B
"Sept. 30, 2009",2.42B
"June 30, 2009",3.764B
"March 31, 2009",5.379B
"Dec. 31, 2008",6.857B
"Sept. 30, 2008",7.866B
"June 30, 2008",6.919B
"March 31, 2008",6.034B
"Dec. 31, 2007",5.40B
"Sept. 30, 2007",4.878B
"June 30, 2007",4.724B
"March 31, 2007",4.172B
"Dec. 31, 2006",4.191B
"Sept. 30, 2006",4.425B
"June 30, 2006",5.002B
"March 31, 2006",5.678B
"Dec. 31, 2005",5.293B
"Sept. 30, 2005",4.871B
"June 30, 2005",3.882B
"March 31, 2005",2.927B
"Dec. 31, 2004",2.568B
"Sept. 30, 2004",2.208B
"June 30, 2004",1.896B
"March 31, 2004",1.689B
"Dec. 31, 2003",1.527B
"Sept. 30, 2003",1.467B
"June 30, 2003",1.423B
"March 31, 2003",1.289B
"Dec. 31, 2002",989.00M
"Sept. 30, 2002",420.00M
"June 30, 2002",462.00M
"March 31, 2002",695.00M
"Dec. 31, 2001",1.154B
"Sept. 30, 2001",1.734B
"June 30, 2001",1.692B
"March 31, 2001",1.783B
"Dec. 31, 2000",1.57B
"Sept. 30, 2000",1.62B
"June 30, 2000",1.344B
"March 31, 2000",789.00M
"Dec. 31, 1999",448.00M
"Sept. 30, 1999",27.00M
"June 30, 1999",-61.00M
"March 31, 1999",116.00M
"Dec. 31, 1998",363.00M
"Sept. 30, 1998",-483.00M
"June 30, 1998",-364.00M
"March 31, 1998",-392.00M
"Dec. 31, 1997",-390.00M
"Sept. 30, 1997",653.00M
"June 30, 1997",690.00M
"March 31, 1997",713.00M
"Dec. 31, 1996",668.00M
"Sept. 30, 1996",516.00M
"June 30, 1996",461.00M
"March 31, 1996",467.00M
"Dec. 31, 1995",511.00M
"Sept. 30, 1995",504.00M
"June 30, 1995",388.00M
"March 31, 1995",182.00M
"Dec. 31, 1994",-36.00M
"Sept. 30, 1994",21.00M
"June 30, 1994",69.00M
"March 31, 1994",163.00M
"Dec. 31, 1993",283.00M
"Sept. 30, 1993",-599.00M
"June 30, 1993",-609.00M
"March 31, 1993",-609.00M
"Dec. 31, 1992",-591.00M
"Sept. 30, 1992",366.00M
"June 30, 1992",476.00M
"March 31, 1992",548.00M
"Dec. 31, 1991",533.00M
"Sept. 30, 1991",-1.577B
"June 30, 1991",-1.637B
"March 31, 1991",-1.715B
"Dec. 31, 1990",-1.688B
"Sept. 30, 1990",320.00M
"June 30, 1990",275.00M
"March 31, 1990",290.00M
"Dec. 31, 1989",256.00M
"Sept. 30, 1989",233.00M
"June 30, 1989",275.00M
"March 31, 1989",278.00M
"Dec. 31, 1988",313.00M
"Sept. 30, 1988",308.00M
"June 30, 1988",246.00M
"March 31, 1988",218.00M
"Dec. 31, 1987",184.00M
"Sept. 30, 1987",202.10M
"June 30, 1987",195.20M
"March 31, 1987",174.90M
"Dec. 31, 1986",172.10M
"Sept. 30, 1986",185.70M
"June 30, 1986",347.40M
"March 31, 1986",446.40M
"Dec. 31, 1985",455.00M
"Sept. 30, 1985",605.50M
"June 30, 1985",557.60M
"March 31, 1985",544.90M
"Dec. 31, 1984",554.80M
