date,assets
"Dec. 31, 2019",109.33B
"Sept. 30, 2019",125.44B
"June 30, 2019",44.77B
"March 31, 2019",44.38B
"Dec. 31, 2018",43.85B
"Sept. 30, 2018",44.96B
"June 30, 2018",44.07B
"March 31, 2018",42.81B
"Dec. 31, 2017",42.03B
"Sept. 30, 2017",41.44B
"June 30, 2017",41.98B
"March 31, 2017",42.46B
"Dec. 31, 2016",43.11B
"Sept. 30, 2016",41.63B
"June 30, 2016",42.40B
"March 31, 2016",42.02B
"Dec. 31, 2015",43.41B
"Sept. 30, 2015",50.09B
"June 30, 2015",54.37B
"March 31, 2015",53.39B
"Dec. 31, 2014",56.26B
"Sept. 30, 2014",71.51B
"June 30, 2014",70.29B
"March 31, 2014",69.28B
"Dec. 31, 2013",69.44B
"Sept. 30, 2013",69.44B
"June 30, 2013",67.42B
"March 31, 2013",65.82B
"Dec. 31, 2012",64.21B
"Sept. 30, 2012",65.62B
"June 30, 2012",64.28B
"March 31, 2012",61.62B
"Dec. 31, 2011",60.04B
"Sept. 30, 2011",57.24B
"June 30, 2011",54.60B
"March 31, 2011",54.06B
"Dec. 31, 2010",52.43B
"Sept. 30, 2010",47.50B
"June 30, 2010",46.26B
"March 31, 2010",45.53B
"Dec. 31, 2009",44.23B
"Sept. 30, 2009",42.21B
"June 30, 2009",41.84B
"March 31, 2009",40.62B
"Dec. 31, 2008",41.54B
"Sept. 30, 2008",42.59B
"June 30, 2008",41.44B
"March 31, 2008",38.49B
"Dec. 31, 2007",36.52B
"Sept. 30, 2007",34.02B
"June 30, 2007",33.67B
"March 31, 2007",32.88B
"Dec. 31, 2006",32.43B
"Sept. 30, 2006",31.70B
"June 30, 2006",31.16B
"March 31, 2006",32.20B
"Dec. 31, 2005",26.11B
"Sept. 30, 2005",25.10B
"June 30, 2005",23.96B
"March 31, 2005",22.28B
"Dec. 31, 2004",21.39B
"Sept. 30, 2004",20.38B
"June 30, 2004",19.34B
"March 31, 2004",18.67B
"Dec. 31, 2003",18.17B
"Sept. 30, 2003",17.71B
"June 30, 2003",17.18B
"March 31, 2003",16.94B
"Dec. 31, 2002",16.55B
"Sept. 30, 2002",16.34B
"June 30, 2002",16.48B
"March 31, 2002",17.71B
"Dec. 31, 2001",17.85B
"Sept. 30, 2001",18.76B
"June 30, 2001",19.49B
"March 31, 2001",19.88B
"Dec. 31, 2000",19.41B
"Sept. 30, 2000",19.77B
"June 30, 2000",19.56B
"March 31, 2000",14.34B
"Dec. 31, 1999",14.12B
"Sept. 30, 1999",14.14B
"June 30, 1999",14.29B
"March 31, 1999",13.99B
"Dec. 31, 1998",15.25B
"Sept. 30, 1998",15.34B
"June 30, 1998",15.54B
"March 31, 1998",16.63B
"Dec. 31, 1997",15.29B
"Sept. 30, 1997",17.57B
"June 30, 1997",17.68B
"March 31, 1997",17.53B
"Dec. 31, 1996",14.98B
"Sept. 30, 1996",17.33B
"June 30, 1996",17.49B
"March 31, 1996",17.47B
"Dec. 31, 1995",17.82B
"Sept. 30, 1995",17.45B
"June 30, 1995",17.64B
"March 31, 1995",17.90B
"Dec. 31, 1994",17.99B
"Sept. 30, 1994",17.30B
"June 30, 1994",17.22B
"March 31, 1994",17.23B
"Dec. 31, 1993",17.12B
"Sept. 30, 1993",17.09B
"June 30, 1993",17.67B
"March 31, 1993",17.72B
"Dec. 31, 1992",17.88B
"Sept. 30, 1992",15.94B
"June 30, 1992",15.79B
"March 31, 1992",15.70B
"Dec. 31, 1991",16.12B
"Sept. 30, 1991",16.61B
"June 30, 1991",19.16B
"March 31, 1991",19.45B
"Dec. 31, 1990",19.74B
"Sept. 30, 1990",21.08B
"June 30, 1990",20.61B
"March 31, 1990",20.69B
"Dec. 31, 1989",20.74B
"Sept. 30, 1989",20.71B
"Dec. 31, 1988",20.75B
"Dec. 31, 1987",16.74B
"Dec. 31, 1986",17.47B
"Dec. 31, 1985",11.59B
"Dec. 31, 1984",12.27B
