date,free_cash_flow
"Dec. 31, 2019",-284.00M
"Sept. 30, 2019",639.00M
"June 30, 2019",745.00M
"March 31, 2019",-362.00M
"Dec. 31, 2018",1.156B
"Sept. 30, 2018",1.098B
"June 30, 2018",508.00M
"March 31, 2018",-68.00M
"Dec. 31, 2017",241.00M
"Sept. 30, 2017",194.00M
"June 30, 2017",1.085B
"March 31, 2017",-258.00M
"Dec. 31, 2016",137.00M
"Sept. 30, 2016",54.00M
"June 30, 2016",527.00M
"March 31, 2016",-165.00M
"Dec. 31, 2015",-55.00M
"Sept. 30, 2015",-174.00M
"June 30, 2015",-712.00M
"March 31, 2015",-1.572B
"Dec. 31, 2014",437.00M
"Sept. 30, 2014",603.00M
"June 30, 2014",737.00M
"March 31, 2014",903.00M
"Dec. 31, 2013",2.335B
"Sept. 30, 2013",1.29B
"June 30, 2013",1.303B
"March 31, 2013",642.00M
"Dec. 31, 2012",2.655B
"Sept. 30, 2012",-50.00M
"June 30, 2012",480.00M
"March 31, 2012",353.00M
"Dec. 31, 2011",1.094B
"Sept. 30, 2011",1.063B
"June 30, 2011",1.709B
"March 31, 2011",897.00M
"Dec. 31, 2010",1.462B
"Sept. 30, 2010",1.403B
"June 30, 2010",1.302B
"March 31, 2010",1.459B
"Dec. 31, 2009",1.368B
"Sept. 30, 2009",895.00M
"June 30, 2009",654.00M
"March 31, 2009",-355.00M
"Dec. 31, 2008",-3.626B
"Sept. 30, 2008",1.753B
"June 30, 2008",2.963B
"March 31, 2008",197.00M
"Dec. 31, 2007",102.00M
"Sept. 30, 2007",496.00M
"June 30, 2007",480.00M
"March 31, 2007",838.00M
"Dec. 31, 2006",-2.01B
"Sept. 30, 2006",961.00M
"June 30, 2006",445.00M
"March 31, 2006",1.425B
"Dec. 31, 2005",-1.264B
"Sept. 30, 2005",825.00M
"June 30, 2005",657.00M
"March 31, 2005",698.00M
"Dec. 31, 2004",930.00M
"Sept. 30, 2004",680.00M
"June 30, 2004",-74.00M
"March 31, 2004",622.00M
"Dec. 31, 2003",363.00M
"Sept. 30, 2003",436.00M
"June 30, 2003",299.00M
"March 31, 2003",376.00M
"Dec. 31, 2002",272.00M
"Sept. 30, 2002",239.00M
"June 30, 2002",418.00M
"March 31, 2002",-65.00M
"Dec. 31, 2001",-8.00M
"Sept. 30, 2001",504.00M
"June 30, 2001",179.00M
"March 31, 2001",583.00M
"Dec. 31, 2000",359.00M
"Sept. 30, 2000",501.00M
"June 30, 2000",363.00M
"March 31, 2000",226.00M
"Dec. 31, 1999",444.00M
"Sept. 30, 1999",196.00M
"June 30, 1999",-127.00M
"March 31, 1999",-70.00M
"Dec. 31, 1998",3.54B
"Sept. 30, 1998",-172.00M
"June 30, 1998",-374.00M
"March 31, 1998",-3.988B
"Dec. 31, 1997",-13.00M
"Sept. 30, 1997",-86.00M
"June 30, 1997",-117.00M
"March 31, 1997",-5.00M
"Dec. 31, 1996",479.00M
"Sept. 30, 1996",214.00M
"June 30, 1996",179.00M
"March 31, 1996",59.00M
"Dec. 31, 1995",367.00M
"Sept. 30, 1995",-12.00M
"June 30, 1995",185.00M
"March 31, 1995",125.00M
"Dec. 31, 1994",-38.00M
"Sept. 30, 1994",25.00M
"June 30, 1994",-44.00M
"March 31, 1994",-286.00M
"Dec. 31, 1993",51.00M
"Sept. 30, 1993",-189.00M
"June 30, 1993",-312.00M
"March 31, 1993",-25.00M
"Dec. 31, 1992",250.00M
"Sept. 30, 1992",-128.00M
"June 30, 1992",-136.00M
"March 31, 1992",-380.00M
"Dec. 31, 1991",153.00M
"Sept. 30, 1991",-27.00M
"June 30, 1991",-117.00M
"March 31, 1991",-350.00M
"Dec. 31, 1990",639.00M
"Sept. 30, 1990",-250.00M
"June 30, 1990",-93.00M
"March 31, 1990",-216.00M
