date,operating_margin_ttm
"Dec. 31, 2019",13.80%
"Sept. 30, 2019",19.26%
"June 30, 2019",25.66%
"March 31, 2019",26.92%
"Dec. 31, 2018",28.71%
"Sept. 30, 2018",27.32%
"June 30, 2018",20.16%
"March 31, 2018",14.32%
"Dec. 31, 2017",8.75%
"Sept. 30, 2017",4.41%
"June 30, 2017",1.64%
"March 31, 2017",-1.67%
"Dec. 31, 2016",-10.27%
"Sept. 30, 2016",-11.55%
"June 30, 2016",-7.95%
"March 31, 2016",-1.82%
"Dec. 31, 2015",3.87%
"Sept. 30, 2015",10.58%
"June 30, 2015",18.19%
"March 31, 2015",24.47%
"Dec. 31, 2014",31.30%
"Sept. 30, 2014",34.55%
"June 30, 2014",36.69%
"March 31, 2014",36.19%
"Dec. 31, 2013",35.81%
"Sept. 30, 2013",37.65%
"June 30, 2013",36.72%
"March 31, 2013",37.57%
"Dec. 31, 2012",39.35%
"Sept. 30, 2012",39.08%
"June 30, 2012",41.26%
"March 31, 2012",43.56%
"Dec. 31, 2011",44.18%
"Sept. 30, 2011",43.87%
"June 30, 2011",43.04%
"March 31, 2011",41.40%
"Dec. 31, 2010",40.10%
"Sept. 30, 2010",42.45%
"June 30, 2010",41.04%
"March 31, 2010",39.00%
"Dec. 31, 2009",34.86%
"Sept. 30, 2009",30.36%
"June 30, 2009",38.19%
"March 31, 2009",45.12%
"Dec. 31, 2008",49.94%
"Sept. 30, 2008",53.56%
"June 30, 2008",51.26%
"March 31, 2008",47.56%
"Dec. 31, 2007",44.15%
"Sept. 30, 2007",40.17%
"June 30, 2007",40.65%
"March 31, 2007",41.93%
"Dec. 31, 2006",44.40%
"Sept. 30, 2006",44.14%
"June 30, 2006",45.63%
"March 31, 2006",45.63%
"Dec. 31, 2005",44.89%
"Sept. 30, 2005",42.75%
"June 30, 2005",40.74%
"March 31, 2005",39.12%
"Dec. 31, 2004",36.78%
"Sept. 30, 2004",38.11%
"June 30, 2004",35.51%
"March 31, 2004",34.23%
"Dec. 31, 2003",34.56%
"Sept. 30, 2003",33.59%
"June 30, 2003",32.64%
"March 31, 2003",31.83%
"Dec. 31, 2002",28.63%
"Sept. 30, 2002",23.62%
"June 30, 2002",23.76%
"March 31, 2002",23.03%
"Dec. 31, 2001",22.17%
"Sept. 30, 2001",24.15%
"June 30, 2001",23.08%
"March 31, 2001",25.01%
"Dec. 31, 2000",35.95%
"Sept. 30, 2000",35.64%
"June 30, 2000",36.42%
"March 31, 2000",33.17%
"Dec. 31, 1999",13.12%
"Sept. 30, 1999",9.48%
"June 30, 1999",6.26%
"March 31, 1999",5.27%
"Dec. 31, 1998",7.24%
"Sept. 30, 1998",9.34%
"June 30, 1998",11.78%
"March 31, 1998",13.34%
"Dec. 31, 1997",14.51%
"Sept. 30, 1997",15.87%
"June 30, 1997",13.96%
"March 31, 1997",13.25%
"Dec. 31, 1996",12.70%
"Sept. 30, 1996",10.35%
"June 30, 1996",11.58%
"March 31, 1996",11.98%
"Dec. 31, 1995",11.99%
"Sept. 30, 1995",11.92%
"June 30, 1995",10.67%
"March 31, 1995",8.88%
"Dec. 31, 1994",5.55%
"Sept. 30, 1994",4.58%
"June 30, 1994",3.10%
"March 31, 1994",3.34%
"Dec. 31, 1993",4.56%
"Sept. 30, 1993",3.30%
"June 30, 1993",3.98%
"March 31, 1993",3.42%
"Dec. 31, 1992",3.32%
"Sept. 30, 1992",5.68%
"June 30, 1992",4.18%
"March 31, 1992",4.12%
"Dec. 31, 1991",4.65%
"Sept. 30, 1991",4.36%
"June 30, 1991",5.28%
"March 31, 1991",5.39%
"Dec. 31, 1990",5.39%
"Sept. 30, 1990",5.42%
"June 30, 1990",5.16%
"March 31, 1990",29.22%
"Dec. 31, 1989",53.09%
"Sept. 30, 1989",-13.13%
"June 30, 1989",9.88%
"March 31, 1989",8.50%
"Dec. 31, 1988",5.36%
"Sept. 30, 1988",13.25%
"June 30, 1988",9.89%
"March 31, 1988",7.74%
"Dec. 31, 1987",6.02%
"Sept. 30, 1987",13.90%
"June 30, 1987",11.24%
"March 31, 1987",8.44%
"Dec. 31, 1986",5.30%
"Sept. 30, 1986",9.73%
"June 30, 1986",7.67%
"March 31, 1986",6.72%
"Dec. 31, 1985",7.14%
"Sept. 30, 1985",5.94%
"June 30, 1985",8.90%
"March 31, 1985",9.26%
"Dec. 31, 1984",9.99%
