date,revenues_ttm
"Dec. 31, 2019",20.39B
"Sept. 30, 2019",18.87B
"June 30, 2019",18.40B
"March 31, 2019",18.06B
"Dec. 31, 2018",17.82B
"Sept. 30, 2018",16.55B
"June 30, 2018",14.34B
"March 31, 2018",13.31B
"Dec. 31, 2017",12.51B
"Sept. 30, 2017",11.80B
"June 30, 2017",11.45B
"March 31, 2017",10.92B
"Dec. 31, 2016",10.09B
"Sept. 30, 2016",10.11B
"June 30, 2016",10.58B
"March 31, 2016",11.51B
"Dec. 31, 2015",12.48B
"Sept. 30, 2015",13.98B
"June 30, 2015",15.77B
"March 31, 2015",17.43B
"Dec. 31, 2014",19.31B
"Sept. 30, 2014",16.89B
"June 30, 2014",18.44B
"March 31, 2014",19.27B
"Dec. 31, 2013",20.17B
"Sept. 30, 2013",20.38B
"June 30, 2013",19.90B
"March 31, 2013",19.70B
"Dec. 31, 2012",20.10B
"Sept. 30, 2012",24.04B
"June 30, 2012",24.08B
"March 31, 2012",24.48B
"Dec. 31, 2011",23.94B
"Sept. 30, 2011",22.97B
"June 30, 2011",21.72B
"March 31, 2011",20.16B
"Dec. 31, 2010",19.04B
"Sept. 30, 2010",18.05B
"June 30, 2010",17.39B
"March 31, 2010",16.51B
"Dec. 31, 2009",15.00B
"Sept. 30, 2009",15.21B
"June 30, 2009",18.17B
"March 31, 2009",21.67B
"Dec. 31, 2008",24.64B
"Sept. 30, 2008",27.10B
"June 30, 2008",24.88B
"March 31, 2008",22.07B
"Dec. 31, 2007",20.01B
"Sept. 30, 2007",17.80B
"June 30, 2007",17.36B
"March 31, 2007",17.42B
"Dec. 31, 2006",17.86B
"Sept. 30, 2006",17.12B
"June 30, 2006",17.36B
"March 31, 2006",16.45B
"Dec. 31, 2005",15.33B
"Sept. 30, 2005",14.20B
"June 30, 2005",12.60B
"March 31, 2005",11.78B
"Dec. 31, 2004",11.02B
"Sept. 30, 2004",10.66B
"June 30, 2004",9.974B
"March 31, 2004",9.536B
"Dec. 31, 2003",9.361B
"Sept. 30, 2003",9.044B
"June 30, 2003",8.658B
"March 31, 2003",8.245B
"Dec. 31, 2002",7.388B
"Sept. 30, 2002",6.787B
"June 30, 2002",6.807B
"March 31, 2002",8.823B
"Dec. 31, 2001",11.80B
"Sept. 30, 2001",14.36B
"June 30, 2001",16.45B
"March 31, 2001",16.35B
"Dec. 31, 2000",14.47B
"Sept. 30, 2000",13.24B
"June 30, 2000",11.28B
"March 31, 2000",9.124B
"Dec. 31, 1999",7.82B
"Sept. 30, 1999",7.005B
"June 30, 1999",6.553B
"March 31, 1999",6.449B
"Dec. 31, 1998",6.805B
"Sept. 30, 1998",6.838B
"June 30, 1998",7.184B
"March 31, 1998",8.358B
"Dec. 31, 1997",8.575B
"Sept. 30, 1997",6.863B
"June 30, 1997",7.642B
"March 31, 1997",7.382B
"Dec. 31, 1996",7.989B
"Sept. 30, 1996",8.206B
"June 30, 1996",7.977B
"March 31, 1996",8.199B
"Dec. 31, 1995",8.389B
"Sept. 30, 1995",10.51B
"June 30, 1995",10.36B
"March 31, 1995",9.844B
"Dec. 31, 1994",9.236B
"Sept. 30, 1994",8.692B
"June 30, 1994",8.204B
"March 31, 1994",8.053B
"Dec. 31, 1993",8.116B
"Sept. 30, 1993",7.992B
"June 30, 1993",8.344B
"March 31, 1993",8.509B
"Dec. 31, 1992",8.494B
"Sept. 30, 1992",9.207B
"June 30, 1992",9.269B
"March 31, 1992",12.15B
"Dec. 31, 1991",15.30B
"Sept. 30, 1991",18.75B
"June 30, 1991",21.77B
"March 31, 1991",21.84B
"Dec. 31, 1990",21.69B
"Sept. 30, 1990",20.68B
"June 30, 1990",20.16B
"March 31, 1990",20.08B
"Dec. 31, 1989",20.07B
"Sept. 30, 1989",20.30B
"June 30, 1989",20.39B
"March 31, 1989",20.08B
"Dec. 31, 1988",19.42B
"Sept. 30, 1988",18.52B
"June 30, 1988",17.83B
"March 31, 1988",17.42B
"Dec. 31, 1987",17.10B
"Sept. 30, 1987",16.88B
"June 30, 1987",16.37B
"March 31, 1987",15.87B
"Dec. 31, 1986",15.34B
"Sept. 30, 1986",14.95B
"June 30, 1986",14.62B
"March 31, 1986",14.47B
"Dec. 31, 1985",14.53B
"Sept. 30, 1985",14.71B
"June 30, 1985",15.19B
"March 31, 1985",15.25B
"Dec. 31, 1984",15.38B
