date,shares_outstanding
"Jan. 31, 2020",895.22M
"Dec. 31, 2019",894.11M
"Sept. 30, 2019",893.32M
"Aug. 8, 2019",894.48M
"July 11, 2019",748.35M
"June 30, 2019",748.30M
"May 31, 2019",748.19M
"April 30, 2019",748.02M
"April 25, 2019",748.02M
"March 31, 2019",747.88M
"March 15, 2019",747.88M
"Jan. 31, 2019",749.55M
"Dec. 31, 2018",749.39M
"Sept. 30, 2018",755.03M
"June 30, 2018",764.72M
"March 31, 2018",765.77M
"March 9, 2018",765.67M
"Jan. 31, 2018",765.15M
"Dec. 31, 2017",765.10M
"Sept. 30, 2017",765.25M
"June 30, 2017",764.57M
"March 31, 2017",764.58M
"March 14, 2017",764.58M
"Jan. 31, 2017",764.29M
"Dec. 31, 2016",764.24M
"Sept. 30, 2016",764.19M
"June 30, 2016",763.93M
"March 31, 2016",763.74M
"Feb. 29, 2016",763.74M
"Jan. 31, 2016",763.85M
"Dec. 31, 2015",763.68M
"Sept. 30, 2015",763.74M
"June 30, 2015",763.95M
"March 31, 2015",768.12M
"March 10, 2015",769.67M
"Jan. 31, 2015",770.55M
"Dec. 31, 2014",770.61M
"Sept. 30, 2014",775.43M
"June 30, 2014",779.63M
"March 31, 2014",785.61M
"March 13, 2014",790.11M
"Jan. 31, 2014",794.75M
"Dec. 31, 2013",795.99M
"Sept. 30, 2013",806.06M
"June 30, 2013",805.76M
"March 31, 2013",805.64M
"March 13, 2013",805.64M
"Jan. 31, 2013",805.52M
"Dec. 31, 2012",805.51M
"Sept. 30, 2012",810.18M
"June 30, 2012",809.95M
"March 31, 2012",811.07M
"March 13, 2012",810.94M
"Jan. 31, 2012",811.06M
"Dec. 31, 2011",811.01M
"Sept. 30, 2011",811.79M
"June 30, 2011",812.77M
"March 31, 2011",812.87M
"March 15, 2011",812.87M
"Jan. 31, 2011",812.85M
"Dec. 31, 2010",812.79M
"Sept. 30, 2010",812.59M
"June 30, 2010",812.24M
"March 31, 2010",812.17M
"March 15, 2010",812.16M
"Jan. 31, 2010",811.96M
"Dec. 31, 2009",811.92M
"Sept. 30, 2009",811.67M
"June 30, 2009",810.78M
"March 31, 2009",810.58M
"Jan. 31, 2009",810.29M
"Sept. 30, 2008",809.88M
"June 30, 2008",817.08M
"March 31, 2008",820.73M
"Jan. 31, 2008",822.57M
"Sept. 30, 2007",828.60M
"June 30, 2007",830.74M
"March 31, 2007",833.81M
"Jan. 31, 2007",838.10M
"Sept. 30, 2006",841.08M
"June 30, 2006",845.34M
"March 31, 2006",856.54M
"Jan. 31, 2006",804.57M
"Dec. 31, 2005",804.43M
"Sept. 30, 2005",804.00M
"June 30, 2005",799.60M
"March 31, 2005",796.50M
"Jan. 31, 2005",794.46M
"Dec. 31, 2004",793.45M
"Sept. 30, 2004",789.44M
"June 30, 2004",783.40M
"March 31, 2004",782.38M
"Jan. 31, 2004",776.30M
"Dec. 31, 2003",774.10M
"Sept. 30, 2003",770.25M
"June 30, 2003",765.53M
"March 31, 2003",758.52M
"Jan. 31, 2003",755.87M
"Dec. 31, 2002",755.72M
"Sept. 30, 2002",753.90M
"June 30, 2002",752.78M
"March 31, 2002",749.88M
"Feb. 28, 2002",748.91M
"Dec. 31, 2001",748.25M
"Sept. 30, 2001",747.18M
"June 30, 2001",746.64M
"March 31, 2001",740.96M
"Feb. 28, 2001",740.61M
"Dec. 31, 2000",739.97M
"Sept. 30, 2000",738.75M
"June 30, 2000",737.76M
"March 31, 2000",737.25M
"Feb. 29, 2000",736.22M
"Dec. 31, 1999",735.83M
"Sept. 30, 1999",735.16M
"June 30, 1999",697.11M
"March 31, 1999",695.99M
"Feb. 8, 1999",695.54M
"Dec. 31, 1998",695.44M
"Sept. 30, 1998",691.84M
"June 30, 1998",706.07M
"March 6, 1998",698.00M
"Dec. 31, 1997",682.25M
"Sept. 30, 1997",662.53M
"June 30, 1997",662.53M
"March 31, 1997",659.61M
"March 7, 1997",659.51M
"Dec. 31, 1996",658.46M
"Sept. 30, 1996",650.60M
"June 30, 1996",646.03M
"March 31, 1996",638.71M
"Feb. 29, 1996",638.38M
"Dec. 31, 1995",637.42M
"Sept. 30, 1995",637.20M
"June 30, 1995",636.37M
"March 31, 1995",634.88M
"Feb. 28, 1995",634.68M
"Dec. 31, 1994",633.71M
"Sept. 30, 1994",624.80M
"June 30, 1994",623.80M
"March 31, 1994",623.00M
"Dec. 31, 1993",611.21M
"Sept. 30, 1993",610.20M
"June 30, 1993",609.65M
"March 31, 1993",608.95M
"Dec. 31, 1992",607.46M
"Sept. 30, 1992",604.80M
"June 30, 1992",603.76M
"March 31, 1992",602.29M
"Dec. 31, 1991",602.29M
"Sept. 30, 1991",592.72M
"June 30, 1991",596.87M
"March 31, 1991",595.54M
"Dec. 31, 1990",592.72M
"Sept. 30, 1990",590.72M
"June 30, 1990",589.25M
"March 31, 1990",588.63M
"Dec. 31, 1989",540.50M
"Sept. 30, 1989",539.61M
"June 30, 1989",538.29M
"March 31, 1989",534.49M
"Dec. 31, 1988",575.92M
"Sept. 30, 1988",533.41M
"June 30, 1988",533.19M
"March 31, 1988",425.55M
"Dec. 31, 1987",427.35M
"Sept. 30, 1987",408.62M
"June 30, 1987",396.43M
"March 31, 1987",396.43M
"Dec. 31, 1986",329.46M
"Sept. 30, 1986",316.70M
"June 30, 1986",316.70M
"March 31, 1986",219.52M
"Dec. 31, 1985",222.03M
"Sept. 30, 1985",217.06M
"June 30, 1985",192.55M
"March 31, 1985",191.92M
"Dec. 31, 1984",191.92M
"Sept. 30, 1984",191.92M
"June 30, 1984",191.92M
"March 31, 1984",191.92M
