date,total_employee_number
"Dec. 31, 2019",14400
"Dec. 31, 2018",11000
"Dec. 31, 2017",11000
"Dec. 31, 2016",11000
"Dec. 31, 2015",11100
"Dec. 31, 2014",11700
"Dec. 31, 2013",12900
"Dec. 31, 2012",12300
"Dec. 31, 2011",11300
"Dec. 31, 2010",11000
"Dec. 31, 2009",10100
"Sept. 30, 2009",10400
"Dec. 31, 2008",10400
"Dec. 31, 2007",9700
"Dec. 31, 2006",8886
"Dec. 31, 2005",8017
"Dec. 31, 2004",7209
"Dec. 31, 2003",7133
"Dec. 31, 2002",7244
"Dec. 31, 2001",8235
"Dec. 31, 2000",8791
"Dec. 31, 1999",8701
"Dec. 31, 1998",9640
"Dec. 31, 1997",12380
"Dec. 31, 1996",14270
"Dec. 31, 1995",17280
"Dec. 31, 1994",19600
"Dec. 31, 1993",19860
"Dec. 31, 1992",23600
"Dec. 31, 1991",24700
"Dec. 31, 1990",50000
"Dec. 31, 1989",51000
