date,cash_on_hand
"Dec. 31, 2019",3.032B
"Sept. 30, 2019",4.84B
"June 30, 2019",1.751B
"March 31, 2019",1.752B
"Dec. 31, 2018",3.033B
"Sept. 30, 2018",2.954B
"June 30, 2018",1.362B
"March 31, 2018",1.606B
"Dec. 31, 2017",1.672B
"Sept. 30, 2017",1.806B
"June 30, 2017",2.218B
"March 31, 2017",1.494B
"Dec. 31, 2016",2.233B
"Sept. 30, 2016",3.18B
"June 30, 2016",3.751B
"March 31, 2016",3.176B
"Dec. 31, 2015",3.201B
"Sept. 30, 2015",2.547B
"June 30, 2015",2.756B
"March 31, 2015",2.153B
"Dec. 31, 2014",3.789B
"Sept. 30, 2014",2.897B
"June 30, 2014",2.391B
"March 31, 2014",2.332B
"Dec. 31, 2013",3.393B
"Sept. 30, 2013",3.771B
"June 30, 2013",3.069B
"March 31, 2013",2.14B
"Dec. 31, 2012",1.592B
"Sept. 30, 2012",4.91B
"June 30, 2012",5.321B
"March 31, 2012",4.634B
"Dec. 31, 2011",3.781B
"Sept. 30, 2011",4.888B
"June 30, 2011",2.807B
"March 31, 2011",3.098B
"Dec. 31, 2010",3.478B
"Sept. 30, 2010",3.008B
"June 30, 2010",3.194B
"March 31, 2010",2.972B
"Dec. 31, 2009",2.299B
"Sept. 30, 2009",2.23B
"June 30, 2009",2.504B
"March 31, 2009",2.125B
"Dec. 31, 2008",2.789B
"Sept. 30, 2008",1.452B
"June 30, 2008",1.506B
"March 31, 2008",1.495B
"Dec. 31, 2007",2.38B
"Sept. 30, 2007",1.455B
"June 30, 2007",1.505B
"March 31, 2007",1.505B
"Dec. 31, 2006",1.579B
"Sept. 30, 2006",1.439B
"June 30, 2006",1.583B
"March 31, 2006",2.031B
"Dec. 31, 2005",2.44B
"Sept. 30, 2005",1.716B
"June 30, 2005",870.00M
"March 31, 2005",1.362B
"Dec. 31, 2004",1.449B
"Sept. 30, 2004",998.00M
"June 30, 2004",383.00M
"March 31, 2004",470.00M
"Dec. 31, 2003",683.00M
"Sept. 30, 2003",529.00M
"June 30, 2003",115.00M
"March 31, 2003",146.00M
"Dec. 31, 2002",146.00M
"Sept. 30, 2002",298.00M
"June 30, 2002",430.00M
"March 31, 2002",95.00M
"Dec. 31, 2001",198.00M
"Sept. 30, 2001",569.00M
"June 30, 2001",163.00M
"March 31, 2001",299.00M
"Dec. 31, 2000",97.00M
"Sept. 30, 2000",268.00M
"June 30, 2000",97.00M
"March 31, 2000",128.00M
"Dec. 31, 1999",214.00M
"Sept. 30, 1999",151.00M
"June 30, 1999",267.00M
"March 31, 1999",571.00M
"Dec. 31, 1998",96.00M
"Sept. 30, 1998",118.00M
"June 30, 1998",134.00M
"March 31, 1998",255.00M
"Dec. 31, 1997",113.00M
"Sept. 30, 1997",170.00M
"June 30, 1997",331.00M
"March 31, 1997",342.00M
"Dec. 31, 1996",258.00M
"Sept. 30, 1996",135.00M
"June 30, 1996",113.00M
"March 31, 1996",118.00M
"Dec. 31, 1995",520.00M
"Sept. 30, 1995",118.00M
"June 30, 1995",315.00M
"March 31, 1995",118.00M
"Dec. 31, 1994",129.00M
"Sept. 30, 1994",92.00M
"June 30, 1994",51.00M
"March 31, 1994",99.00M
"Dec. 31, 1993",157.00M
"Sept. 30, 1993",93.00M
"June 30, 1993",133.00M
"March 31, 1993",87.00M
"Dec. 31, 1992",85.00M
"Sept. 30, 1992",210.00M
"June 30, 1992",84.00M
"March 31, 1992",28.00M
"Dec. 31, 1991",191.00M
"Sept. 30, 1991",21.00M
"June 30, 1991",126.00M
"March 31, 1991",156.00M
"Dec. 31, 1990",285.00M
"Sept. 30, 1990",185.00M
"June 30, 1990",195.00M
"March 31, 1990",201.00M
"Dec. 31, 1989",209.00M
"Sept. 30, 1989",173.00M
"Dec. 31, 1988",567.00M
"Dec. 31, 1987",542.00M
"Dec. 31, 1986",654.70M
"Dec. 31, 1985",509.60M
"Dec. 31, 1984",1.195B
