date,capex_ttm
"Dec. 31, 2019",4.936B
"Sept. 30, 2019",5.227B
"June 30, 2019",5.245B
"March 31, 2019",5.263B
"Dec. 31, 2018",5.168B
"Sept. 30, 2018",4.965B
"June 30, 2018",4.944B
"March 31, 2018",4.354B
"Dec. 31, 2017",3.891B
"Sept. 30, 2017",3.525B
"June 30, 2017",3.264B
"March 31, 2017",3.322B
"Dec. 31, 2016",3.391B
"Sept. 30, 2016",3.475B
"June 30, 2016",3.357B
"March 31, 2016",3.23B
"Dec. 31, 2015",2.945B
"Sept. 30, 2015",2.727B
"June 30, 2015",2.622B
"March 31, 2015",2.221B
"Dec. 31, 2014",2.249B
"Sept. 30, 2014",2.494B
"June 30, 2014",2.668B
"March 31, 2014",2.488B
"Dec. 31, 2013",2.521B
"Sept. 30, 2013",2.154B
"June 30, 2013",1.949B
"March 31, 2013",2.208B
"Dec. 31, 2012",1.968B
"Sept. 30, 2012",1.798B
"June 30, 2012",1.605B
"March 31, 2012",1.321B
"Dec. 31, 2011",1.254B
"Sept. 30, 2011",1.307B
"June 30, 2011",1.471B
"March 31, 2011",1.354B
"Dec. 31, 2010",1.342B
"Sept. 30, 2010",1.391B
"June 30, 2010",1.115B
"March 31, 2010",1.095B
"Dec. 31, 2009",1.202B
"Sept. 30, 2009",1.038B
"June 30, 2009",1.227B
"March 31, 2009",1.371B
"Dec. 31, 2008",1.522B
"Sept. 30, 2008",1.623B
"June 30, 2008",1.614B
"March 31, 2008",1.467B
"Dec. 31, 2007",1.036B
"Sept. 30, 2007",783.00M
"June 30, 2007",577.00M
"March 31, 2007",476.00M
"Dec. 31, 2006",413.00M
"Sept. 30, 2006",342.00M
"June 30, 2006",390.00M
"March 31, 2006",617.00M
"Dec. 31, 2005",814.00M
"Sept. 30, 2005",816.00M
"June 30, 2005",828.00M
"March 31, 2005",800.00M
"Dec. 31, 2004",760.00M
"Sept. 30, 2004",856.00M
"June 30, 2004",960.00M
"March 31, 2004",800.00M
"Dec. 31, 2003",744.00M
"Sept. 30, 2003",751.00M
"June 30, 2003",589.00M
"March 31, 2003",716.00M
"Dec. 31, 2002",1.286B
"Sept. 30, 2002",1.731B
"June 30, 2002",2.245B
"March 31, 2002",2.736B
"Dec. 31, 2001",2.793B
"Sept. 30, 2001",2.594B
"June 30, 2001",3.206B
"March 31, 2001",1.559B
"Sept. 30, 2000",3.14B
"June 30, 2000",3.289B
"March 31, 2000",2.179B
"Dec. 31, 1999",4.407B
"Sept. 30, 1999",2.798B
"June 30, 1999",2.819B
"March 31, 1999",3.534B
"Dec. 31, 1998",2.724B
"Sept. 30, 1998",2.428B
"June 30, 1998",2.291B
"March 31, 1998",2.046B
"Dec. 31, 1997",2.063B
"Sept. 30, 1997",2.055B
"June 30, 1997",1.948B
"March 31, 1997",1.743B
"Dec. 31, 1996",1.268B
"Sept. 30, 1996",1.054B
"June 30, 1996",936.00M
"March 31, 1996",816.00M
"Dec. 31, 1995",931.00M
"Sept. 30, 1995",782.00M
"June 30, 1995",626.00M
"March 31, 1995",568.00M
"Dec. 31, 1994",485.00M
"Sept. 30, 1994",916.20M
"June 30, 1994",1.205B
"March 31, 1994",1.330B
"Dec. 31, 1993",1.505B
"Sept. 30, 1993",1.498B
"June 30, 1993",1.413B
"March 31, 1993",1.748B
"Dec. 31, 1992",2.103B
"Sept. 30, 1992",2.312B
"June 30, 1992",2.481B
"March 31, 1992",2.411B
"Dec. 31, 1991",2.480B
"Sept. 30, 1991",2.144B
"June 30, 1991",2.145B
"March 31, 1991",2.161B
"Dec. 31, 1990",1.882B
"Sept. 30, 1990",1.800B
"June 30, 1990",1.690B
"March 31, 1990",1.084B
"Dec. 31, 1989",688.60M
"Sept. 30, 1989",350.00M
