date,revenues_growth
"Dec. 31, 2019",6.49%
"Sept. 30, 2019",5.08%
"June 30, 2019",6.46%
"March 31, 2019",5.06%
"Dec. 31, 2018",5.03%
"Sept. 30, 2018",8.06%
"June 30, 2018",9.57%
"March 31, 2018",9.53%
"Dec. 31, 2017",10.35%
"Sept. 30, 2017",5.51%
"June 30, 2017",2.87%
"March 31, 2017",-1.62%
"Dec. 31, 2016",-2.45%
"Sept. 30, 2016",-5.62%
"June 30, 2016",-2.43%
"March 31, 2016",-1.46%
"Dec. 31, 2015",-1.50%
"Sept. 30, 2015",-0.64%
"June 30, 2015",0.81%
"March 31, 2015",5.29%
"Dec. 31, 2014",6.29%
"Sept. 30, 2014",6.56%
"June 30, 2014",9.42%
"March 31, 2014",4.89%
"Dec. 31, 2013",5.51%
"Sept. 30, 2013",5.71%
"June 30, 2013",-0.26%
"March 31, 2013",1.03%
"Dec. 31, 2012",2.42%
"Sept. 30, 2012",1.09%
"June 30, 2012",6.33%
"March 31, 2012",8.60%
"Dec. 31, 2011",7.83%
"Sept. 30, 2011",9.68%
"June 30, 2011",12.06%
"March 31, 2011",13.13%
"Dec. 31, 2010",14.46%
"Sept. 30, 2010",18.17%
"June 30, 2010",16.69%
"March 31, 2010",2.45%
"Dec. 31, 2009",1.37%
"Sept. 30, 2009",32.44%
"June 30, 2009",27.30%
"March 31, 2009",40.24%
"Dec. 31, 2008",43.35%
"Sept. 30, 2008",9.41%
"June 30, 2008",9.91%
"March 31, 2008",12.38%
"Dec. 31, 2007",10.29%
"Sept. 30, 2007",10.02%
"June 30, 2007",5.53%
"March 31, 2007",14.04%
"Dec. 31, 2006",0.69%
"Sept. 30, 2006",10.28%
"June 30, 2006",11.58%
"March 31, 2006",0.35%
"Dec. 31, 2005",8.85%
"Sept. 30, 2005",11.29%
"June 30, 2005",7.27%
"March 31, 2005",5.02%
"Dec. 31, 2004",1.12%
"Sept. 30, 2004",5.85%
"June 30, 2004",13.30%
"March 31, 2004",11.85%
"Dec. 31, 2003",-0.98%
"Sept. 30, 2003",6.93%
"June 30, 2003",0.63%
"March 31, 2003",1.68%
"Dec. 31, 2002",35.14%
"Sept. 30, 2002",0.65%
"June 30, 2002",-8.00%
"March 31, 2002",-19.23%
"Dec. 31, 2001",-26.80%
"Sept. 30, 2001",1.95%
"June 30, 2001",-4.65%
"March 31, 2001",3.47%
"Sept. 30, 2000",2.14%
"June 30, 2000",-13.27%
"March 31, 2000",13.01%
"Dec. 31, 1999",7.69%
"Sept. 30, 1999",0.71%
"June 30, 1999",2.18%
"March 31, 1999",3.36%
"Dec. 31, 1998",0.41%
"Sept. 30, 1998",7.01%
"June 30, 1998",6.09%
"March 31, 1998",-0.88%
"Dec. 31, 1997",7.41%
"Sept. 30, 1997",3.53%
"June 30, 1997",5.51%
"March 31, 1997",15.38%
"Dec. 31, 1996",8.59%
"Sept. 30, 1996",7.65%
"June 30, 1996",4.48%
"March 31, 1996",2.14%
"Dec. 31, 1995",0.86%
"Sept. 30, 1995",0.98%
"June 30, 1995",3.44%
"March 31, 1995",0.83%
"Dec. 31, 1994",-1.12%
"Sept. 30, 1994",-1.95%
"June 30, 1994",-0.72%
"March 31, 1994",-1.66%
"Dec. 31, 1993",2.70%
"Sept. 30, 1993",5.08%
"June 30, 1993",10.81%
"March 31, 1993",3.98%
"Dec. 31, 1992",9.58%
"Sept. 30, 1992",19.08%
"June 30, 1992",11.96%
"March 31, 1992",22.41%
"Dec. 31, 1991",23.17%
"Sept. 30, 1991",16.03%
"June 30, 1991",12.69%
"March 31, 1991",8.44%
"Dec. 31, 1990",3.96%
"Sept. 30, 1990",2.03%
"June 30, 1990",-3.11%
"March 31, 1990",4.04%
"Dec. 31, 1989",10.25%
"Sept. 30, 1989",15.51%
"June 30, 1989",17.44%
"March 31, 1989",21.36%
"Dec. 31, 1988",11.65%
"Sept. 30, 1988",17.35%
"June 30, 1988",25.68%
"March 31, 1988",15.59%
"Dec. 31, 1987",38.96%
"Sept. 30, 1987",45.49%
"June 30, 1987",53.61%
"March 31, 1987",30.92%
"Dec. 31, 1986",6.94%
"Sept. 30, 1986",-1.88%
"June 30, 1986",-20.16%
"March 31, 1986",-5.15%
"Dec. 31, 1985",-0.65%
"Sept. 30, 1985",1.21%
"June 30, 1985",11.71%
"March 31, 1985",8.47%
