date,net_income_annual_cs_rev
"Dec. 31, 2019",10.14%
"Dec. 31, 2018",8.86%
"Dec. 31, 2017",7.79%
"Dec. 31, 2016",10.63%
"Dec. 31, 2015",11.12%
"Dec. 31, 2014",1.63%
"Dec. 31, 2013",27.90%
"Dec. 31, 2012",2.75%
"Dec. 31, 2011",2.43%
"Dec. 31, 2010",1.87%
"Dec. 31, 2009",-4.41%
"Dec. 31, 2008",-39.31%
"Dec. 31, 2007",8.42%
"Dec. 31, 2006",-35.38%
"Dec. 31, 2005",-23.17%
"Dec. 31, 2004",-34.12%
"Dec. 31, 2003",-5.40%
"Dec. 31, 2002",-9.17%
"Dec. 31, 2001",-8.76%
"Dec. 31, 2000",4.95%
"June 30, 2000",8.12%
"June 30, 1999",7.54%
"June 30, 1998",7.08%
"June 30, 1997",6.28%
"June 30, 1996",1.25%
"June 30, 1995",3.35%
"June 30, 1994",-3.39%
"June 30, 1993",-8.35%
"June 30, 1992",-4.67%
"June 30, 1991",-3.54%
"June 30, 1990",3.53%
"June 30, 1989",5.70%
"June 30, 1988",4.44%
"June 30, 1987",4.96%
"June 30, 1986",1.08%
"June 30, 1985",5.54%
"June 30, 1984",4.12%
