date,free_cash_flow
"Dec. 31, 2019",-115.00M
"Sept. 30, 2019",1.301B
"June 30, 2019",1.712B
"March 31, 2019",591.00M
"Dec. 31, 2018",-118.00M
"Sept. 30, 2018",537.00M
"June 30, 2018",1.32B
"March 31, 2018",107.00M
"Dec. 31, 2017",731.00M
"Sept. 30, 2017",652.00M
"June 30, 2017",1.381B
"March 31, 2017",-1.632B
"Dec. 31, 2016",341.00M
"Sept. 30, 2016",1.174B
"June 30, 2016",2.169B
"March 31, 2016",140.00M
"Dec. 31, 2015",601.00M
"Sept. 30, 2015",1.505B
"June 30, 2015",1.826B
"March 31, 2015",1.05B
"Dec. 31, 2014",-78.00M
"Sept. 30, 2014",901.00M
"June 30, 2014",1.538B
"March 31, 2014",337.00M
"Dec. 31, 2013",226.00M
"Sept. 30, 2013",530.00M
"June 30, 2013",870.00M
"March 31, 2013",357.00M
"Dec. 31, 2012",12.00M
"Sept. 30, 2012",37.00M
"June 30, 2012",35.00M
"March 31, 2012",424.00M
"Dec. 31, 2011",790.00M
"Sept. 30, 2011",-331.00M
"June 30, 2011",673.00M
"March 31, 2011",448.00M
"Dec. 31, 2010",-103.00M
"Sept. 30, 2010",117.00M
"June 30, 2010",838.00M
"March 31, 2010",638.00M
"Dec. 31, 2009",-543.00M
"Sept. 30, 2009",-146.00M
"June 30, 2009",658.00M
"March 31, 2009",208.00M
"Dec. 31, 2008",-2.295B
"Sept. 30, 2008",-1.30B
"June 30, 2008",669.00M
"March 31, 2008",-303.00M
"Dec. 31, 2007",125.00M
"Sept. 30, 2007",-289.00M
"June 30, 2007",282.00M
"March 31, 2007",205.00M
"Dec. 31, 2006",-153.00M
"Sept. 30, 2006",127.00M
"June 30, 2006",67.00M
"March 31, 2006",539.00M
"Dec. 31, 2005",-553.00M
"Sept. 30, 2005",-43.00M
"June 30, 2005",-412.00M
"March 31, 2005",-113.00M
"Dec. 31, 2004",-695.00M
"Sept. 30, 2004",-477.00M
"June 30, 2004",-155.00M
"March 31, 2004",-556.00M
"Dec. 31, 2003",-99.00M
"Sept. 30, 2003",-58.00M
"June 30, 2003",224.00M
"March 31, 2003",-358.00M
"Dec. 31, 2002",19.00M
"Sept. 30, 2002",-94.00M
"June 30, 2002",-201.00M
"March 31, 2002",-725.00M
"Dec. 31, 2001",-1.001B
"Sept. 30, 2001",-558.00M
"June 30, 2001",-474.00M
"March 31, 2001",-524.00M
"Sept. 30, 2000",309.00M
"June 30, 2000",-229.00M
"March 31, 2000",1.658B
"Dec. 31, 1999",-2.128B
"Sept. 30, 1999",-212.00M
"June 30, 1999",1.029B
"March 31, 1999",-463.00M
"Dec. 31, 1998",-381.00M
"Sept. 30, 1998",-67.00M
"June 30, 1998",72.00M
"March 31, 1998",306.00M
"Dec. 31, 1997",-264.00M
"Sept. 30, 1997",511.00M
"June 30, 1997",137.00M
"March 31, 1997",59.00M
"Dec. 31, 1996",-179.00M
"Sept. 30, 1996",74.00M
"June 30, 1996",354.00M
"March 31, 1996",304.00M
"Dec. 31, 1995",-160.00M
"Sept. 30, 1995",-43.00M
"June 30, 1995",272.00M
"March 31, 1995",190.00M
"Dec. 31, 1994",-126.00M
"Sept. 30, 1994",152.00M
"June 30, 1994",251.00M
"March 31, 1994",502.00M
"Dec. 31, 1993",-580.20M
"Sept. 30, 1993",-53.80M
"June 30, 1993",64.10M
"March 31, 1993",-170.30M
"Dec. 31, 1992",-328.50M
"Sept. 30, 1992",-301.50M
"June 30, 1992",-653.40M
"March 31, 1992",-593.80M
"Dec. 31, 1991",-749.50M
"Sept. 30, 1991",-334.80M
"June 30, 1991",-158.90M
"March 31, 1991",-795.30M
"Dec. 31, 1990",-562.90M
"Sept. 30, 1990",-303.70M
"June 30, 1990",-268.00M
"March 31, 1990",-289.50M
"Dec. 31, 1989",-214.10M
"Sept. 30, 1989",-114.10M
