date,altman_z_score
"Dec. 31, 2019",1.573
"Sept. 30, 2019",1.531
"June 30, 2019",1.473
"March 31, 2019",1.378
"Dec. 31, 2018",1.452
"Sept. 30, 2018",1.688
"June 30, 2018",1.540
"March 31, 2018",1.636
"Dec. 31, 2017",1.677
"Sept. 30, 2017",1.707
"June 30, 2017",1.754
"March 31, 2017",1.696
"Dec. 31, 2016",1.790
"Sept. 30, 2016",1.846
"June 30, 2016",1.762
"March 31, 2016",1.806
"Dec. 31, 2015",1.756
"Sept. 30, 2015",1.608
"June 30, 2015",1.469
"March 31, 2015",1.402
"Dec. 31, 2014",1.310
"Sept. 30, 2014",1.467
"June 30, 2014",1.506
"March 31, 2014",1.365
"Dec. 31, 2013",1.260
"Sept. 30, 2013",0.9872
"June 30, 2013",0.839
"March 31, 2013",0.7581
"Dec. 31, 2012",0.7366
"Sept. 30, 2012",0.7516
"June 30, 2012",0.6579
"March 31, 2012",0.6958
"Dec. 31, 2011",0.6326
"Sept. 30, 2011",0.5897
"June 30, 2011",0.5461
"March 31, 2011",0.5596
"Dec. 31, 2010",0.6083
"Sept. 30, 2010",0.5121
"June 30, 2010",0.4307
"March 31, 2010",0.397
"Dec. 31, 2009",0.3641
"Sept. 30, 2009",0.2782
"June 30, 2009",0.1566
"March 31, 2009",0.0304
"Dec. 31, 2008",-0.3233
"Sept. 30, 2008",-0.507
"June 30, 2008",-0.4333
"March 31, 2008",-0.0504
"Dec. 31, 2007",0.9223
"Sept. 30, 2007",0.9207
"June 30, 2007",0.8192
