date,ebitda_margin_ttm
"Dec. 31, 2019",14.08%
"Sept. 30, 2019",13.48%
"June 30, 2019",13.10%
"March 31, 2019",12.17%
"Dec. 31, 2018",11.85%
"Sept. 30, 2018",11.98%
"June 30, 2018",12.50%
"March 31, 2018",13.92%
"Dec. 31, 2017",14.50%
"Sept. 30, 2017",13.73%
"June 30, 2017",14.23%
"March 31, 2017",15.63%
"Dec. 31, 2016",17.09%
"Sept. 30, 2016",19.19%
"June 30, 2016",19.38%
"March 31, 2016",19.38%
"Dec. 31, 2015",18.76%
"Sept. 30, 2015",12.24%
"June 30, 2015",8.65%
"March 31, 2015",6.17%
"Dec. 31, 2014",4.27%
"Sept. 30, 2014",8.56%
"June 30, 2014",10.87%
"March 31, 2014",9.63%
"Dec. 31, 2013",8.95%
"Sept. 30, 2013",7.89%
"June 30, 2013",7.25%
"March 31, 2013",5.05%
"Dec. 31, 2012",5.54%
"Sept. 30, 2012",7.17%
"June 30, 2012",6.82%
"March 31, 2012",8.93%
"Dec. 31, 2011",8.56%
"Sept. 30, 2011",7.63%
"June 30, 2011",7.32%
"March 31, 2011",8.44%
"Dec. 31, 2010",9.23%
"Sept. 30, 2010",8.99%
"June 30, 2010",7.48%
"March 31, 2010",5.50%
"Dec. 31, 2009",3.80%
"Sept. 30, 2009",-0.11%
"June 30, 2009",-0.28%
"March 31, 2009",-5.06%
"Dec. 31, 2008",-31.24%
"Sept. 30, 2008",-28.85%
"June 30, 2008",-27.52%
"March 31, 2008",-13.58%
"Dec. 31, 2007",18.98%
"Sept. 30, 2007",19.68%
"June 30, 2007",18.38%
"March 31, 2007",10.45%
"Dec. 31, 2006",7.64%
"Sept. 30, 2006",3.48%
"June 30, 2006",1.31%
"March 31, 2006",-1.62%
"Dec. 31, 2005",-4.42%
"Sept. 30, 2005",-16.27%
"June 30, 2005",-17.93%
"March 31, 2005",-19.09%
"Dec. 31, 2004",-15.62%
"Sept. 30, 2004",-3.21%
"June 30, 2004",-1.01%
"March 31, 2004",1.93%
"Dec. 31, 2003",0.91%
"Sept. 30, 2003",-57.61%
"June 30, 2003",-40.39%
"March 31, 2003",-23.22%
"Dec. 31, 2002",-3.23%
"Sept. 30, 2002",-7.52%
"June 30, 2002",-8.08%
"March 31, 2002",-6.53%
"Dec. 31, 2001",-2.30%
"Sept. 30, 2001",81.41%
"June 30, 2001",86.64%
"March 31, 2001",86.38%
"Sept. 30, 2000",86.57%
"June 30, 2000",86.83%
"March 31, 2000",22.87%
"Dec. 31, 1999",21.43%
"Sept. 30, 1999",20.21%
"June 30, 1999",3.21%
"March 31, 1999",4.05%
"Dec. 31, 1998",3.28%
"Sept. 30, 1998",3.09%
"June 30, 1998",18.06%
"March 31, 1998",81.76%
"Dec. 31, 1997",81.30%
"Sept. 30, 1997",80.88%
"June 30, 1997",80.46%
"March 31, 1997",79.80%
"Dec. 31, 1996",79.77%
"Sept. 30, 1996",80.63%
"June 30, 1996",81.46%
"March 31, 1996",82.24%
"Dec. 31, 1995",83.00%
"Sept. 30, 1995",83.05%
"June 30, 1995",83.23%
"March 31, 1995",82.95%
"Dec. 31, 1994",83.16%
"Sept. 30, 1994",83.08%
"June 30, 1994",63.27%
"March 31, 1994",42.83%
"Dec. 31, 1993",23.43%
"Sept. 30, 1993",3.64%
"June 30, 1993",1.52%
"March 31, 1993",-0.46%
"Dec. 31, 1992",-1.37%
"Sept. 30, 1992",-2.10%
"June 30, 1992",-0.91%
"March 31, 1992",1.68%
"Dec. 31, 1991",2.28%
"Sept. 30, 1991",1.35%
"June 30, 1991",0.17%
"March 31, 1991",0.80%
"Dec. 31, 1990",2.67%
"Sept. 30, 1990",7.14%
"June 30, 1990",10.24%
"March 31, 1990",-51.43%
"Dec. 31, 1989",-30.04%
"Sept. 30, 1989",-10.75%
"June 30, 1989",8.38%
"March 31, 1989",17.14%
"Dec. 31, 1988",13.12%
"Sept. 30, 1988",10.78%
"June 30, 1988",7.19%
"March 31, 1988",24.56%
"Dec. 31, 1987",21.84%
"Sept. 30, 1987",15.58%
"June 30, 1987",7.62%
"March 31, 1987",7.26%
"Dec. 31, 1986",0.08%
"Sept. 30, 1986",-1.70%
"June 30, 1986",-1.21%
"March 31, 1986",6.73%
"Dec. 31, 1985",7.93%
"Sept. 30, 1985",8.08%
"June 30, 1985",7.81%
"March 31, 1985",10.94%
"Dec. 31, 1984",9.11%
