date,return_on_assets
"Dec. 31, 2019",7.63%
"Sept. 30, 2019",7.74%
"June 30, 2019",7.64%
"March 31, 2019",7.16%
"Dec. 31, 2018",7.05%
"Sept. 30, 2018",5.94%
"June 30, 2018",5.71%
"March 31, 2018",6.08%
"Dec. 31, 2017",6.16%
"Sept. 30, 2017",6.51%
"June 30, 2017",6.71%
"March 31, 2017",7.37%
"Dec. 31, 2016",8.06%
"Sept. 30, 2016",9.00%
"June 30, 2016",9.05%
"March 31, 2016",8.86%
"Dec. 31, 2015",8.47%
"Sept. 30, 2015",5.32%
"June 30, 2015",3.54%
"March 31, 2015",2.26%
"Dec. 31, 2014",1.26%
"Sept. 30, 2014",19.35%
"June 30, 2014",21.87%
"March 31, 2014",22.27%
"Dec. 31, 2013",22.56%
"Sept. 30, 2013",4.58%
"June 30, 2013",3.89%
"March 31, 2013",2.00%
"Dec. 31, 2012",2.28%
"Sept. 30, 2012",3.25%
"June 30, 2012",2.12%
"March 31, 2012",2.97%
"Dec. 31, 2011",1.96%
"Sept. 30, 2011",1.03%
"June 30, 2011",0.60%
"March 31, 2011",1.22%
"Dec. 31, 2010",1.36%
"Sept. 30, 2010",1.25%
"June 30, 2010",0.06%
"March 31, 2010",-1.58%
"Dec. 31, 2009",-2.78%
"Sept. 30, 2009",-6.48%
"June 30, 2009",-6.78%
"March 31, 2009",-9.81%
"Dec. 31, 2008",-28.32%
"Sept. 30, 2008",-26.01%
"June 30, 2008",-23.75%
"March 31, 2008",-15.97%
"Dec. 31, 2007",5.83%
"Sept. 30, 2007",-1.18%
"June 30, 2007",-2.04%
"March 31, 2007",-21.02%
"Dec. 31, 2006",-30.52%
"Sept. 30, 2006",-26.69%
"June 30, 2006",-32.19%
"March 31, 2006",-23.13%
"Dec. 31, 2005",-18.12%
"Sept. 30, 2005",-22.00%
"June 30, 2005",-19.08%
"March 31, 2005",-25.07%
"Dec. 31, 2004",-21.37%
"Sept. 30, 2004",-13.22%
"June 30, 2004",-11.12%
"March 31, 2004",-2.70%
"Dec. 31, 2003",-3.06%
"Sept. 30, 2003",-3.25%
"June 30, 2003",-3.95%
"March 31, 2003",-5.54%
"Dec. 31, 2002",-5.29%
"Sept. 30, 2002",-6.86%
"June 30, 2002",-6.64%
"March 31, 2002",-6.34%
"Dec. 31, 2001",-5.30%
"Sept. 30, 2001",-1.19%
"June 30, 2001",1.28%
"March 31, 2001",2.81%
"Sept. 30, 2000",5.37%
"June 30, 2000",5.98%
"March 31, 2000",6.73%
"Dec. 31, 1999",7.12%
"Sept. 30, 1999",6.62%
"June 30, 1999",7.18%
"March 31, 1999",7.45%
"Dec. 31, 1998",7.62%
"Sept. 30, 1998",7.72%
"June 30, 1998",7.37%
"March 31, 1998",7.15%
"Dec. 31, 1997",7.31%
"Sept. 30, 1997",6.91%
"June 30, 1997",6.93%
"March 31, 1997",5.85%
"Dec. 31, 1996",2.06%
"Sept. 30, 1996",1.60%
"June 30, 1996",1.29%
"March 31, 1996",2.05%
"Dec. 31, 1995",4.31%
"Sept. 30, 1995",3.57%
"June 30, 1995",3.47%
"March 31, 1995",-0.80%
"Dec. 31, 1994",-1.37%
"Sept. 30, 1994",-2.40%
"June 30, 1994",-3.47%
"March 31, 1994",-6.96%
"Dec. 31, 1993",-7.65%
"Sept. 30, 1993",-7.73%
"June 30, 1993",-9.55%
"March 31, 1993",-5.44%
"Dec. 31, 1992",-5.73%
"Sept. 30, 1992",-6.58%
"June 30, 1992",-5.52%
"March 31, 1992",-3.53%
"Dec. 31, 1991",-2.91%
"Sept. 30, 1991",-3.31%
"June 30, 1991",-4.27%
"March 31, 1991",-3.68%
"Dec. 31, 1990",-2.18%
"Sept. 30, 1990",1.70%
"June 30, 1990",4.46%
"March 31, 1990",6.28%
"Dec. 31, 1989",7.21%
