date,total_employee_number
"Dec. 31, 2019",91000
"Dec. 31, 2018",89000
"Dec. 31, 2017",86564
"June 30, 2017",87000
"March 31, 2017",85000
"Dec. 31, 2016",84000
"Sept. 30, 2016",84000
"June 30, 2016",85000
"March 31, 2016",84000
"Dec. 31, 2015",82949
"Sept. 30, 2015",83000
"June 30, 2015",83000
"March 31, 2015",81000
"Dec. 31, 2014",80000
"Sept. 30, 2014",79710
"June 30, 2014",80723
"March 31, 2014",78870
"Dec. 31, 2013",78000
"Sept. 30, 2013",77900
"June 30, 2013",79600
"March 31, 2013",73400
"Dec. 31, 2012",74000
"Sept. 30, 2012",77000
"June 30, 2012",80600
"March 31, 2012",78761
"Dec. 31, 2011",78400
"Sept. 30, 2011",79700
"Dec. 31, 2010",80000
"June 30, 2010",81916
"March 31, 2010",81096
"Dec. 31, 2009",81106
"Sept. 30, 2009",81740
"June 30, 2009",82968
"March 31, 2009",83822
"Dec. 31, 2008",84306
"Dec. 31, 2007",55044
"Dec. 31, 2006",51300
"Dec. 31, 2005",55700
"Dec. 31, 2004",69150
"Dec. 31, 2003",70600
"Dec. 31, 2002",75100
"Dec. 31, 2001",76273
"Dec. 31, 2000",85647
"June 30, 2000",81000
"June 30, 1999",74000
"June 30, 1998",70846
"June 30, 1997",63441
"June 30, 1996",60289
"June 30, 1995",59717
"June 30, 1994",60724
"June 30, 1993",67724
"June 30, 1992",72075
"June 30, 1991",66512
"June 30, 1990",61675
