date,six_month_return
"March 19, 2020",-63.35%
"March 18, 2020",-60.39%
"March 17, 2020",-46.54%
"March 16, 2020",-39.38%
"March 13, 2020",-36.08%
"March 12, 2020",-43.29%
"March 11, 2020",-27.41%
"March 10, 2020",-22.46%
"March 9, 2020",-25.11%
"March 6, 2020",-20.85%
"March 5, 2020",-22.65%
"March 4, 2020",-15.25%
"March 3, 2020",-19.39%
"March 2, 2020",-18.49%
"Feb. 28, 2020",-18.61%
"Feb. 27, 2020",-14.16%
"Feb. 26, 2020",-11.89%
"Feb. 25, 2020",-9.45%
"Feb. 24, 2020",-3.51%
"Feb. 21, 2020",-0.24%
"Feb. 20, 2020",1.21%
"Feb. 19, 2020",0.55%
"Feb. 18, 2020",1.17%
"Feb. 14, 2020",2.92%
"Feb. 13, 2020",0.49%
"Feb. 12, 2020",1.38%
"Feb. 11, 2020",-1.46%
"Feb. 10, 2020",-3.06%
"Feb. 7, 2020",-2.23%
"Feb. 6, 2020",-1.04%
"Feb. 5, 2020",1.85%
"Feb. 4, 2020",-3.66%
"Feb. 3, 2020",-6.80%
"Jan. 31, 2020",-8.68%
"Jan. 30, 2020",-8.83%
"Jan. 29, 2020",-9.30%
"Jan. 28, 2020",-7.53%
"Jan. 27, 2020",-8.57%
"Jan. 24, 2020",-6.89%
"Jan. 23, 2020",-4.47%
"Jan. 22, 2020",-2.69%
"Jan. 21, 2020",-0.94%
"Jan. 17, 2020",-0.35%
"Jan. 16, 2020",-2.03%
"Jan. 15, 2020",-0.13%
"Jan. 14, 2020",-0.32%
"Jan. 13, 2020",-3.50%
"Jan. 10, 2020",-0.39%
"Jan. 9, 2020",0.00%
"Jan. 8, 2020",-0.88%
"Jan. 7, 2020",-1.86%
"Jan. 6, 2020",-1.77%
"Jan. 3, 2020",-1.84%
"Jan. 2, 2020",0.85%
"Dec. 31, 2019",3.05%
"Dec. 30, 2019",3.37%
"Dec. 27, 2019",3.98%
"Dec. 26, 2019",5.64%
"Dec. 24, 2019",5.92%
"Dec. 23, 2019",6.16%
"Dec. 20, 2019",5.36%
"Dec. 19, 2019",4.93%
"Dec. 18, 2019",4.55%
"Dec. 17, 2019",5.42%
"Dec. 16, 2019",4.34%
"Dec. 13, 2019",0.37%
"Dec. 12, 2019",2.24%
"Dec. 11, 2019",0.36%
"Dec. 10, 2019",1.46%
"Dec. 9, 2019",1.33%
"Dec. 6, 2019",2.65%
"Dec. 5, 2019",1.71%
"Dec. 4, 2019",3.22%
"Dec. 3, 2019",6.76%
"Dec. 2, 2019",10.19%
"Nov. 29, 2019",7.71%
"Nov. 27, 2019",5.45%
