date,assets
"Dec. 31, 2019",64.53B
"Sept. 30, 2019",63.22B
"June 30, 2019",62.52B
"March 31, 2019",61.84B
"Dec. 31, 2018",60.27B
"Sept. 30, 2018",55.00B
"June 30, 2018",55.80B
"March 31, 2018",54.08B
"Dec. 31, 2017",53.67B
"Sept. 30, 2017",51.93B
"June 30, 2017",51.82B
"March 31, 2017",51.46B
"Dec. 31, 2016",51.26B
"Sept. 30, 2016",50.95B
"June 30, 2016",51.63B
"March 31, 2016",53.34B
"Dec. 31, 2015",53.13B
"Sept. 30, 2015",53.65B
"June 30, 2015",52.78B
"March 31, 2015",53.75B
"Dec. 31, 2014",54.00B
"Sept. 30, 2014",51.94B
"June 30, 2014",52.19B
"March 31, 2014",52.17B
"Dec. 31, 2013",52.25B
"Sept. 30, 2013",46.00B
"June 30, 2013",45.77B
"March 31, 2013",45.07B
"Dec. 31, 2012",44.55B
"Sept. 30, 2012",44.35B
"June 30, 2012",44.72B
"March 31, 2012",44.19B
"Dec. 31, 2011",43.50B
"Sept. 30, 2011",43.04B
"June 30, 2011",43.88B
"March 31, 2011",43.88B
"Dec. 31, 2010",43.19B
"Sept. 30, 2010",43.15B
"June 30, 2010",43.81B
"March 31, 2010",44.34B
"Dec. 31, 2009",43.79B
"Sept. 30, 2009",44.85B
"June 30, 2009",44.48B
"March 31, 2009",44.40B
"Dec. 31, 2008",45.08B
"Sept. 30, 2008",25.60B
"June 30, 2008",27.65B
"March 31, 2008",26.76B
"Dec. 31, 2007",32.42B
"Sept. 30, 2007",32.77B
"June 30, 2007",33.73B
"March 31, 2007",19.81B
"Dec. 31, 2006",19.62B
"Sept. 30, 2006",20.68B
"June 30, 2006",20.74B
"March 31, 2006",20.56B
"Dec. 31, 2005",20.04B
"Sept. 30, 2005",20.22B
"June 30, 2005",21.56B
"March 31, 2005",21.74B
"Dec. 31, 2004",21.80B
"Sept. 30, 2004",23.53B
"June 30, 2004",24.18B
"March 31, 2004",26.17B
"Dec. 31, 2003",25.94B
"Sept. 30, 2003",25.76B
"June 30, 2003",25.56B
"March 31, 2003",24.46B
"Dec. 31, 2002",24.72B
"Sept. 30, 2002",24.04B
"June 30, 2002",24.06B
"March 31, 2002",23.70B
"Dec. 31, 2001",23.60B
"Sept. 30, 2001",24.38B
"June 30, 2001",22.88B
"March 31, 2001",22.10B
"Sept. 30, 2000",21.80B
"June 30, 2000",20.57B
"March 31, 2000",20.18B
"Dec. 31, 1999",19.87B
"Sept. 30, 1999",17.42B
"June 30, 1999",16.75B
"March 31, 1999",16.16B
"Dec. 31, 1998",14.73B
"Sept. 30, 1998",14.44B
"June 30, 1998",14.60B
"March 31, 1998",13.87B
"Dec. 31, 1997",13.14B
"Sept. 30, 1997",13.54B
"June 30, 1997",12.74B
"March 31, 1997",12.49B
"Dec. 31, 1996",12.03B
"Sept. 30, 1996",12.14B
"June 30, 1996",12.23B
"March 31, 1996",12.11B
"Dec. 31, 1995",12.00B
"Sept. 30, 1995",12.29B
"June 30, 1995",12.14B
"March 31, 1995",11.50B
"Dec. 31, 1994",11.38B
"Sept. 30, 1994",11.94B
"June 30, 1994",11.90B
"March 31, 1994",11.71B
"Dec. 31, 1993",11.60B
"Sept. 30, 1993",11.73B
"June 30, 1993",11.87B
"March 31, 1993",10.13B
"Dec. 31, 1992",10.16B
"Sept. 30, 1992",10.11B
"June 30, 1992",10.16B
"March 31, 1992",9.727B
"Dec. 31, 1991",9.083B
"Sept. 30, 1991",8.471B
"June 30, 1991",8.411B
"March 31, 1991",7.784B
"Dec. 31, 1990",7.327B
"Sept. 30, 1990",7.238B
"June 30, 1990",7.227B
"March 31, 1990",7.032B
"Dec. 31, 1989",6.554B
"Sept. 30, 1989",6.659B
"June 30, 1989",6.484B
"June 30, 1988",5.748B
"June 30, 1987",5.342B
"June 30, 1986",3.786B
"June 30, 1985",3.627B
"June 30, 1984",3.269B
