date,cash_investing_ttm
"Dec. 31, 2019",-4.563B
"Sept. 30, 2019",-4.816B
"June 30, 2019",-4.594B
"March 31, 2019",-4.571B
"Dec. 31, 2018",-4.393B
"Sept. 30, 2018",-4.678B
"June 30, 2018",-5.07B
"March 31, 2018",-4.485B
"Dec. 31, 2017",-5.266B
"Sept. 30, 2017",-3.516B
"June 30, 2017",-3.108B
"March 31, 2017",-3.262B
"Dec. 31, 2016",-2.155B
"Sept. 30, 2016",-3.779B
"June 30, 2016",-3.901B
"March 31, 2016",-3.744B
"Dec. 31, 2015",-3.955B
"Sept. 30, 2015",-2.814B
"June 30, 2015",-3.388B
"March 31, 2015",-2.712B
"Dec. 31, 2014",-2.463B
"Sept. 30, 2014",-3.373B
"June 30, 2014",-2.407B
"March 31, 2014",-2.689B
"Dec. 31, 2013",-2.756B
"Sept. 30, 2013",-2.341B
"June 30, 2013",-2.152B
"March 31, 2013",-2.243B
"Dec. 31, 2012",-1.962B
"Sept. 30, 2012",-1.841B
"June 30, 2012",-1.625B
"March 31, 2012",-1.271B
"Dec. 31, 2011",-1.498B
"Sept. 30, 2011",-1.755B
"June 30, 2011",-2.345B
"March 31, 2011",-2.309B
"Dec. 31, 2010",-2.026B
"Sept. 30, 2010",-1.716B
"June 30, 2010",-1.159B
"March 31, 2010",-1.029B
"Dec. 31, 2009",-1.008B
"Sept. 30, 2009",2.864B
"June 30, 2009",2.003B
"March 31, 2009",1.876B
"Dec. 31, 2008",1.598B
"Sept. 30, 2008",-2.105B
"June 30, 2008",-1.281B
"March 31, 2008",-1.10B
"Dec. 31, 2007",-625.00M
"Sept. 30, 2007",-482.00M
"June 30, 2007",-389.00M
"March 31, 2007",-374.00M
"Dec. 31, 2006",-361.00M
"Sept. 30, 2006",527.00M
"June 30, 2006",63.00M
"March 31, 2006",38.00M
"Dec. 31, 2005",22.00M
"Sept. 30, 2005",-416.00M
"June 30, 2005",92.00M
"March 31, 2005",-106.00M
"Dec. 31, 2004",-220.00M
"Sept. 30, 2004",-687.00M
"June 30, 2004",-755.00M
"March 31, 2004",-287.00M
"Dec. 31, 2003",-260.00M
"Sept. 30, 2003",-308.00M
"June 30, 2003",-145.00M
"March 31, 2003",-556.00M
"Dec. 31, 2002",-1.109B
"Sept. 30, 2002",-1.518B
"June 30, 2002",-2.399B
"March 31, 2002",-2.836B
"Dec. 31, 2001",-2.696B
"Sept. 30, 2001",-2.882B
"June 30, 2001",-3.047B
"March 31, 2001",-3.087B
"Sept. 30, 2000",-4.162B
"June 30, 2000",-3.902B
"March 31, 2000",-3.433B
"Dec. 31, 1999",-3.845B
"Sept. 30, 1999",-2.563B
"June 30, 1999",-2.765B
"March 31, 1999",-3.016B
"Dec. 31, 1998",-2.391B
"Sept. 30, 1998",-2.515B
"June 30, 1998",-2.324B
"March 31, 1998",-2.133B
"Dec. 31, 1997",-2.055B
"Sept. 30, 1997",-2.042B
"June 30, 1997",-1.941B
"March 31, 1997",-1.632B
"Dec. 31, 1996",-1.262B
"Sept. 30, 1996",-1.035B
"June 30, 1996",-888.00M
"March 31, 1996",-496.00M
"Dec. 31, 1995",-319.00M
"Sept. 30, 1995",-184.00M
"June 30, 1995",-495.00M
"March 31, 1995",-1.11B
"Dec. 31, 1994",-1.313B
"Sept. 30, 1994",-1.659B
"June 30, 1994",-1.51B
"March 31, 1994",-1.228B
"Dec. 31, 1993",-1.390B
"Sept. 30, 1993",-1.434B
"June 30, 1993",-1.327B
"March 31, 1993",-1.675B
"Dec. 31, 1992",-2.048B
"Sept. 30, 1992",-2.658B
"June 30, 1992",-3.039B
"March 31, 1992",-2.950B
"Dec. 31, 1991",-3.059B
"Sept. 30, 1991",-2.360B
"June 30, 1991",-2.172B
"March 31, 1991",-2.198B
"Dec. 31, 1990",-1.924B
"Sept. 30, 1990",-2.007B
"June 30, 1990",-1.974B
